Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V91	0.03853	0.01955	0.7234	0.07903	0.06606	0.00162	0.02928	0	0.02489	0.01764
V92	0.00692	0.01834	0.06333	0.02481	0.0711	0.01653	0.73329	0	0.06568	0
V93	0.00501	0.05492	0.11689	0.01983	0.08003	0.00757	0.2676	0.00935	0.43453	0.00428
V94	0.77254	0	0.06439	0.0096	0.03409	0.02427	0.05142	0.02061	0.0111	0.01198
V95	0.0062	0.01649	0.04946	0.02033	0.07787	0.017	0.54482	0.23259	0.03526	0
V96	0.01727	0.11553	0.36209	0.34833	0.05026	0.02207	0.02928	0.0098	0.03458	0.01078
V97	0.00596	0.0057	0.05431	0.02228	0.05942	0.00729	0.68952	0	0.03394	0.12158
V98	0	0.26933	0.04827	0.05405	0.15837	0.02381	0.0674	0.07469	0.15019	0.1539
V99	0.5472	0.0035	0.05738	0.01055	0.05115	0.00253	0.10605	0.00073	0.21242	0.00849
V100	0.17772	0.01797	0.09599	0.18657	0.0693	0.27861	0.04486	0	0.10953	0.01944
V101	0.00149	0	0.01982	0.00605	0.00503	0.06369	0.15687	0.0234	0.02098	0.70266
V102	0.04042	0.21274	0.03638	0.01185	0.11179	0.2858	0.15672	0.09208	0.02788	0.02435
V103	0.07709	0.0298	0.07673	0.0199	0.0777	0.00773	0.03678	0.00165	0.65239	0.02021
V104	0.03934	0.01885	0.73052	0.07465	0.05765	0.00144	0.02925	0	0.04154	0.00676
V105	0.32816	0	0.113	0.02274	0.04959	0.1392	0.03974	0.28481	0.02275	0
V106	0.01684	0.61542	0.21136	0.02237	0.04255	0.02516	0.01846	0	0.02263	0.0252
V107	0.26145	0.20785	0.05351	0.01697	0.23833	0.02074	0.04071	0.0282	0.13224	0
V108	0	0	0.05527	0.12573	0.03126	0.33667	0.02868	0.01713	0.0225	0.38275
V109	0	0.03346	0.05077	0.0246	0.07249	0.7562	0.03848	0.00252	0.02148	0
V110	0.00207	0.13187	0.0601	0.0164	0.62518	0.01008	0.04466	0.06443	0.0383	0.00692
V111	0.00595	0.01963	0.06119	0.03029	0.12918	0.00809	0.70597	0	0.03006	0.00964
V112	0.00417	0.0105	0.04704	0.01802	0.04886	0.00591	0.56552	0	0.06503	0.23495
V113	0.013	0.01213	0.05851	0.0097	0.05946	0.05595	0.04972	0.01607	0.52027	0.20518
V114	0.01636	0.03221	0.08805	0.01413	0.08196	0.00827	0.03718	0.0017	0.69843	0.0217
V115	0.00286	0.78779	0.04716	0.00771	0.04349	0.00603	0.03804	0	0.03796	0.02897
V116	0.43157	0.07597	0.04017	0.00918	0.04299	0.01981	0.05195	0.31157	0.01679	0
V117	0.01879	0.00958	0.06329	0.02589	0.07072	0.00906	0.77242	0	0.03025	0
V118	0.01656	0.00656	0.05026	0.01841	0.0674	0.77744	0.0393	0.00906	0.01501	0
V119	0	0.03197	0.15835	0.45044	0.05985	0.17003	0.05302	0.00129	0.07506	0
V120	0.59774	0.00075	0.21521	0.0241	0.03947	0.07577	0.03193	0	0.0092	0.00583
V121	0.03917	0.09362	0.24514	0.03745	0.06469	0.10475	0.3169	0.00847	0.02721	0.0626
V122	0.00523	0.03649	0.16021	0.02208	0.07846	0.05729	0.16306	0	0.4585	0.01868
V123	0.015	0.05747	0.04048	0.0202	0.35235	0.02169	0.05212	0.38122	0.05949	0
V124	0.66657	0.0377	0.03388	0.00775	0.03356	0.00699	0.0431	0.16043	0.01001	0
V125	0.00379	0.16388	0.116	0.03688	0.06575	0.13523	0.05654	0.39135	0.03057	0
V126	0.00192	0.17423	0.06087	0.016	0.58259	0.00945	0.04233	0.04845	0.06416	0
V127	0.01841	0.02086	0.5022	0.0536	0.05924	0.003	0.23042	0	0.09647	0.0158
V128	0.01232	0.19059	0.39646	0.04202	0.24938	0.04998	0.02969	0.00099	0.02531	0.00324
V129	0.01263	0.08363	0.13173	0.20285	0.11852	0.01689	0.03429	0	0.37101	0.02845
V130	0.01875	0.01731	0.43581	0.04611	0.05644	0.01695	0.04251	0.3418	0.02378	0.00053
V131	0.03236	0.35512	0.38017	0.09339	0.04727	0.01074	0.02924	0	0.04234	0.00937
V132	0.10309	0.01245	0.05782	0.02067	0.10579	0.00837	0.602	0.0636	0.02621	0
V133	7e-04	0.03281	0.07336	0.17367	0.06214	0.13066	0.10656	0.39653	0.02357	0
V134	0.01614	0.05533	0.20403	0.06277	0.19159	0.00493	0.18965	0.0024	0.03714	0.23603
V135	0.00733	0.191	0.19785	0.02338	0.07462	0.00602	0.0458	0	0.44481	0.00918
V136	0	0.53196	0.05772	0.1293	0.03321	0.00606	0.02116	0	0.02227	0.19832
V137	0.00101	0.01896	0.0645	0.02775	0.08493	0.29062	0.44725	0	0.065	0
V138	0.01317	0.02558	0.04876	0.01633	0.05264	0.00509	0.49999	0	0.05253	0.28592
V139	0.56217	0.01686	0.05496	0.01551	0.08914	0.0707	0.03326	0	0.1574	0
V140	0.02629	0.01925	0.3515	0.40426	0.07177	0.05205	0.03833	0	0.01756	0.01899
V141	0.00701	0.01819	0.19	0.60421	0.05424	0.03421	0.03446	0.00182	0.01702	0.03882
V142	0.00333	0.01014	0.10367	0.19293	0.06207	0.00892	0.57317	0	0.02556	0.0202
V143	0.00165	0.75031	0.05097	0.05078	0.04949	0.01394	0.01872	0	0.04854	0.0156
V144	0.00185	0.00721	0.05743	0.02868	0.06814	0.30097	0.49966	0.01245	0.02362	0
V145	0.02939	0.08951	0.14792	0.43466	0.05434	0.03793	0.03672	0.14484	0.02469	0
V146	0.01417	0.00208	0.40039	0.03933	0.03629	0.01821	0.0675	0.08721	0.02548	0.30935
V147	0.00232	0.02743	0.05697	0.01681	0.14783	0.00703	0.03651	0.01595	0.43248	0.25667
V148	0.01451	0.04002	0.07508	0.01295	0.07991	0.05193	0.06843	0	0.65101	0.00616
V149	0	0.02475	0.16218	0.49085	0.05454	0.01439	0.03707	0.08196	0.12862	0.00563
V150	0.06054	0.00119	0.02155	0.00473	0.06459	0.00842	0.03616	0.00251	0.04439	0.75592
V151	0.01075	0	0.03652	0.00557	0	0.05736	0.02987	0	0.02178	0.83814
V152	0.0067	0.00156	0.02639	0.01084	0.06066	0.03007	0.06419	0.60502	0.02927	0.1653
V153	0.0022	0.12038	0.05926	0.01661	0.61871	0.01116	0.04565	0.08764	0.03838	0
