B_cells	NK_cells	T_cells_CD4.	Monocytes
V238	0.10512	0.56196	0.33292	0
V239	0.08059	0.45951	0.00488	0.45503
V240	0.47082	0.02357	0.50561	0
V241	0	0	1	0
V242	0.12636	0.74514	0.12849	0
V243	0.2141	0.04534	0.74057	0
V244	0.18393	0	0.81607	0
V245	0.63802	0.30461	0.05737	0
V246	0	0.16422	0.83578	0
V247	0.09932	0.03032	0.87035	0
V248	0.015	0.02781	0.10098	0.85622
V249	0	0.0589	0.9411	0
V250	0.73081	0	0.26919	0
V251	0.93434	0.06566	0	0
V252	0	0.78683	0.21317	0
V253	0.41629	0.05418	0.23299	0.29655
V254	0	0.88406	0.11594	0
V255	0.06092	0.93908	0	0
V256	0.14736	0.23209	0.62056	0
V257	0.46605	0.10816	0.32189	0.10389
V258	0.16797	0.30111	0.53092	0
V259	0	0.29347	0.70653	0
V260	0	0.24952	0.75048	0
V261	0.67333	0.02649	0.29263	0.00756
V262	0.14689	0.05345	0	0.79966
V263	0.0245	0.9755	0	0
V264	0.16003	0.03237	0.56399	0.24361
V265	0.00512	0	0.21446	0.78042
V266	0.6709	0.32649	0.00261	0
V267	0	0.18807	0.3703	0.44163
V268	0.44086	0	0.20142	0.35771
V269	0	0.5453	0.4547	0
V270	0.6693	0.00907	0.32162	0
V271	0.855	0.09111	0.0539	0
V272	0.08389	0.89026	0.02585	0
V273	0.09931	0	0.06666	0.83402
V274	0.73118	0	0.26882	0
V275	0	0.04931	0.95069	0
V276	0.59555	0.3892	0	0.01525
V277	0.0037	0.24374	0.21632	0.53625
V278	0.01248	0.05471	0.39269	0.54012
V279	0.75477	0.07149	0.17373	0
V280	0.01701	0	0.08373	0.89925
V281	0.60745	0.01493	0.21341	0.1642
V282	0.01449	0.10306	0.88246	0
V283	0.26042	0.65609	0.07362	0.00987
V284	0.01115	0.85762	0.13123	0
V285	0.01754	0	0.98246	0
V286	0.27376	0.58891	0.13733	0
V287	0.12201	0.87799	0	0
V288	0	0.31483	0.54772	0.13745
V289	0.26443	0.23418	0.50139	0
V290	0.83479	0.15327	0.01194	0
V291	0.44995	0.04894	0.50111	0
V292	0.98596	0.01404	0	0
V293	0.26077	0.00828	0.73095	0
V294	0.08203	0.41071	0	0.50726
V295	0	0.19872	0.25325	0.54803
V296	0.14619	0.1383	0.71551	0
V297	0.09522	0	0.12033	0.78445
V298	0.24593	0.09324	0.66083	0
V299	0.07235	0.3112	0	0.61644
