Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V99	0.61184	0.00849	0.00125	0	0	0.01344	0.05311	0.01302	0.29885	0
V100	0.18175	0.00593	0.03391	0.26034	0.03121	0.32111	0.03205	0	0.12716	0.00655
V101	0.00312	0.02533	0.04313	0.00115	0.12393	0.11036	0.10713	0.06554	0	0.52031
V102	0.04773	0.17395	0.01329	0	0.1469	0.3389	0.08851	0.18053	0	0.0102
V103	0.10941	0.0207	0.00925	0.03029	0.01226	0.00296	0.01421	0.00854	0.79238	0
V104	0.02076	0	0.92983	0	0.00385	0.00692	0.0029	0.00413	0.03161	0
V105	0.28639	0	0.08007	0	0	0.11818	0	0.51536	0	0
V106	0.02661	0.53323	0.2615	0	0.16591	0.01154	0	0	0	0.00121
V107	0.27105	0.12931	0.02776	0.00362	0.37399	0.0118	0.00272	0.05704	0.1227	0
V108	0	0	0.03134	0.19505	0.06693	0.42555	0.0221	0.03238	0	0.22666
V109	0.00054	0.01823	0	0.01576	0.02062	0.8715	0.05718	0.00011	0.01606	0
V110	0.02007	0	0.02529	0	0.85304	0	0	0.1016	0	0
V111	0.00782	0.11248	0.02295	0.0103	0.10213	0.1183	0.56529	0.01077	0.04069	0.00926
V112	0.00951	0.10191	0.03194	0	0.01438	0.09459	0.45982	0.00855	0.10812	0.17119
V113	0.05238	0.01091	0.01586	0.01783	0.03325	0.05391	0.02213	0.03447	0.66781	0.09145
V114	0.05993	0.02284	0.01871	0.02255	0.01471	0.00333	0.01477	0.00785	0.83531	0
V115	0.0205	0.69698	0.05307	0	0.21752	0	0.00549	0	0	0.00644
V116	0.38217	0.04262	0.00043	0.00016	0.00683	0	0	0.56778	0	0
V117	0.01688	0.12797	0.01681	0	0	0.13452	0.64039	0.01268	0.05074	0
V118	0.01929	0	0	0.00497	0.00144	0.89583	0.05828	0.01276	0.00743	0
V119	0	0.02171	0.04805	0.61615	0.01926	0.17643	0.03855	0	0.07985	0
V120	0.67382	0	0.2219	0	0	0.10098	0.0033	0	0	0
V121	0.04583	0.11876	0.32224	0	0.04	0.18193	0.21558	0.03024	0.01381	0.03161
V122	0.03883	0.03872	0.13605	0.0016	0.01727	0.07362	0.09232	0.00163	0.59997	0
V123	0.01871	0	0.00151	0.0175	0.38633	0	0	0.57596	0	0
V124	0.66006	0.01761	0	0	0	0	0	0.32233	0	0
V125	0.00476	0.09279	0.09026	0.02429	0.04308	0.0955	0.00223	0.64709	0	0
V126	0.02317	0.02983	0.03068	0	0.82978	0	0	0.08082	0.00572	0
V127	0.01689	0.02751	0.65408	0	0	0.03405	0.14143	0.00378	0.12225	0
V128	0.01572	0.09993	0.45179	0	0.37996	0.04575	0	0.00686	0	0
V129	0.03663	0.0494	0.0656	0.26066	0.11389	0.00964	0.01467	0	0.44413	0.00538
V130	0.00522	0	0.42286	0	0	0	0	0.57192	0	0
V131	0.0353	0.30722	0.50236	0.03067	0.09671	0.00739	0.0047	0	0.01564	0
V132	0.12185	0.0789	0.02339	0	0.05366	0.09211	0.44227	0.16861	0.01921	0
V133	0	0.0113	0.00523	0.20742	0.00799	0.09582	0.03037	0.64188	0	0
V134	0.0221	0.03439	0.27442	0.03109	0.35241	0.02103	0.10642	0.01273	0.01201	0.1334
V135	0.04017	0.14678	0.18426	0	0.05825	0.00214	0.01758	0	0.55083	0
V136	0.00939	0.4661	0.05852	0.18146	0.18345	0	0	0	0	0.10109
V137	0.00731	0.06855	0.02106	0.01234	0.0129	0.44837	0.32981	0.00641	0.09325	0
V138	0.02108	0.10529	0.04567	0	0.05641	0.08174	0.39942	0.00708	0.07679	0.20653
V139	0.62193	0.00294	0	0.0043	0.07043	0.0863	0.00723	0.00021	0.20666	0
V140	0.01105	0.00268	0.33265	0.52314	0.04801	0.05535	0.02081	0	0.00043	0.00588
V141	0	0.01068	0.06203	0.82222	0.0279	0.02924	0.02199	0	0.00442	0.02153
V142	0	0.08324	0.04784	0.30645	0	0.08969	0.42214	0.00633	0.03152	0.01278
V143	0.0193	0.6556	0.05204	0.05467	0.21481	0	0	0	0.00264	0.00094
V144	0.00129	0.06506	0.00592	0.01408	0	0.4747	0.37651	0.03644	0.026	0
V145	0.01803	0.05729	0.04689	0.56921	0.0302	0.02123	0.01138	0.24576	0	0
V146	0.0086	0	0.54345	0	0.04832	0.01844	0.01952	0.19489	0	0.16678
V147	0.03913	0.00329	0.02428	0.0234	0.20441	0	0.00768	0.03316	0.54484	0.11981
V148	0.0572	0.0323	0.00715	0.0205	0.01063	0.0498	0.03438	0	0.78803	0
V149	0	0.0128	0.04328	0.6422	0.01263	0.00329	0.01698	0.13394	0.13298	0.0019
V150	0.08307	0	0.05069	0.00129	0.29551	0.00239	0.00029	0.00849	0.0301	0.52818
V151	0.0155	0	0.08966	0	0.17838	0.08064	0	0	0	0.63582
V152	0.00015	0	0	0.02102	0.02279	0	0	0.89332	0	0.06272
V153	0.01886	0	0.02198	0	0.82283	0	0	0.13633	0	0
V154	0.04838	0.00482	0.62605	0.27605	0.0078	0.02415	0.01091	0.00184	0	0
V155	0.04756	0	0	0.01671	0	0.07101	0	0.68841	0.17547	0.00085
V156	0.10841	0.01346	0.1897	0	0.00301	0.49604	0.03651	0.06283	0.09004	0
V157	0.01457	0.32067	0.04415	0.04564	0.34231	0.22067	0.00793	0	0	0.00405
V158	0.28888	0.43948	0.03378	0	0.18809	0	0	0.04977	0	0
V159	0.03039	0.00335	0.28457	0.01568	0.42388	0.01907	0	0.1379	0	0.08517
V160	0.03877	0.69565	0.04147	0	0.21875	0	0	0	0	0.00536
V161	0	0.01247	0.06088	0.84098	0.02408	0.01464	0.02222	0	0.02096	0.00378
V162	0.00768	0.00251	0.08638	0.00471	0.20968	0	0	0	0.00542	0.68362
V163	0.09119	0	0.84314	0	0.00561	0.02082	0.00103	0.03821	0	0
V164	0.00863	0	0.93933	0	0.0048	0.02531	0.01211	0.00451	0.00532	0
V165	0.00802	0	0.40841	0	0.14074	0	0	0.02175	0.00015	0.42093
V166	0.02992	0.07357	0.04997	0.63195	0.03363	0.01103	0.02296	0.08715	0.0395	0.02032
V167	0.9144	0	0	0	0	0.00582	0.00335	0.00072	0.07572	0
V168	0.05735	0.00236	0	0.01141	0.00349	0.24226	0.01178	0.51528	0.14868	0.00738
V169	0	0	0.05752	0.21339	0.11005	0.19324	0.01016	0.01906	0	0.39658
V170	0.06037	0.01639	0.0074	0.02461	0.01061	0.004	0.01566	0	0.86096	0
V171	0.0091	0	0.25528	0.05527	0.02708	0.42019	0.0445	0.07722	0.11136	0
V172	0.00616	0.11043	0.02479	0	0	0.2828	0.47669	0.02431	0.07482	0
V173	0.019	0.07493	0.0357	0	0.04103	0.09935	0.3847	0.00686	0.06582	0.2726
V174	0	0.0466	0.24662	0.42524	0.17319	0.02564	0.01365	0.01801	0	0.05104
V175	0.85392	0	0.11206	0	0	0.00794	0.01373	0.01236	0	0
V176	0.18174	0	0	0	0.00204	0.73748	0.03605	0	0.04081	0.00187
V177	0.72346	0	0.00088	0.1262	0.02011	0.00336	0.00181	0.02143	0	0.10274
V178	0.19449	0	0.00026	0.03187	0.06499	0.64303	0.03194	0	0	0.03341
V179	0.16933	0	0.02685	0.00179	0.80202	0	0	0	0	0
V180	0.43355	0.0923	0.02772	0.39239	0.02904	0.01197	0.01303	0	0	0
V181	0.01331	0.12828	0.72114	0	0.06819	0.02028	0.048	8e-04	0	0
V182	0.01049	0	0.00512	0.04182	0.33122	0.00949	0	0.58854	0.0123	0.00103
V183	8e-05	0.13838	0.05581	0.65319	0.0382	0.02561	0.086	0	0.00273	0
V184	0.18315	0	0.00307	0.01445	0.01947	0.60582	0.02364	0.0446	0	0.10579
V185	0.58882	0	0.00148	0.22365	0	0.00311	0.00406	0.12846	0.05042	0
V186	0.83985	0.00441	0	0.12445	0	0.00758	0.01234	0.01137	0	0
V187	0.77542	0	0.11243	0	0	0.0059	0.00616	0.01236	0.066	0.02173
V188	0.08639	0.06413	0.03121	0.07682	0.71571	0	0.00434	0.01697	0	0.00443
V189	0.87045	0	0	0.0855	0	0.02037	0.00373	0.01114	0	0.00881
V190	0.04464	0.01604	0.00829	0.0184	0.08769	0.08884	0.01723	0	0.71886	0
V191	0.01053	0	0.09264	0.40689	0.42411	0.00506	0.03174	0.02904	0	0
V192	0.00952	0	0.06977	0	0.41751	0	0	0.01864	0	0.48456
V193	0.0753	0.01763	0.2043	0.34809	0.14008	0.01794	0.08342	0.10116	0.01209	0
V194	0	0.01504	0	0.01609	0	0.79215	0.14749	0.01542	0.01379	0
V195	0.04285	0.10395	0.02586	0	0.08794	0.23744	0.38635	0.08272	0.0265	0.0064
V196	0.74454	0.00362	0.00184	0.23741	0	0.00609	0.00651	0	0	0
V197	0.01945	0.00212	0.01428	0.21294	0.01866	0	0.0094	0.54092	0.18223	0
V198	0.01714	0	0.03451	0.00538	0.64164	0.24059	0.02278	0	0.03795	0
V199	0.03123	0.02397	0.10721	0.00957	0.42273	0.02247	0.08757	0	0	0.29526
V200	0.01097	0.00869	0.02255	0	0.51634	0.14088	0.14512	0.15453	0	0.00093
V201	0.24736	0.04961	0.01301	0.00939	0.01206	0.01368	0.06981	0.01241	0.55318	0.01949
V202	0.02711	0.24487	0.55123	0	0.06851	0.00977	0.04881	0.01213	0.03757	0
V203	0.01694	0.0657	0.42585	0.14667	0.032	0.02523	0.06937	0.00112	0.21291	0.00421
V204	0.00204	0.14347	0.29325	0.30956	0.05584	0.08224	0.00978	0.09436	0.00946	0
V205	0.07402	0.13276	0.02722	0	0	0.10594	0.41262	0.11668	0.13076	0
V206	0.28287	0	0.65409	0	0.03152	0.00591	0.00444	0.00133	0	0.01985
V207	0.02909	0.11749	0.06154	0.08666	0.17524	0	0.00561	0	0.21111	0.31326
V208	0.00359	0	0.01078	0.07288	0.0134	0.77128	0.04544	0	0.07892	0.00372
V209	0.05015	0	0.11323	0	0.8337	0.00291	0	0	0	0
V210	0.06517	0	0.08005	0	0.66381	0.00102	0	0.18611	0	0.00383
V211	0.01613	0.04854	0.73174	0	0.02455	0.01933	0.03939	0.06341	0.05692	0
V212	0.10037	0.04685	0.00317	0.01543	0.0138	0	0.00242	0.49771	0.32024	0
V213	0.11716	0	0	0.01492	0.17043	0.64601	0.03579	0.00856	0	0.00715
V214	0.0109	0.06621	0.02298	0	0.35899	0.11334	0.34579	0.0048	0.01366	0.06334
V215	0.00303	0.12836	0.01752	0.00094	0	0.14632	0.63871	0.01267	0.05247	0
V216	0.01964	0.51615	0.04415	0	0.40451	0	0	0.01362	0	0.00193
V217	0.02721	0.13745	0.06488	0.09653	0.27178	0.2538	0.00981	0.07084	0.00325	0.06444
V218	0.03393	0.01956	0.00245	0.00223	0.00998	0.71278	0.1712	0.00274	0.01019	0.03494
V219	0	0	0	0.08514	0	0	0.02157	0.89329	0	0
V220	0.01835	0.01544	0.03284	0.40763	0.01073	0.00279	0.01684	0.07852	0.41687	0
V221	0.15913	0.06992	0.35547	0	0.04616	0.00274	0.01621	0.12939	0.16984	0.05116
V222	0.01809	0	0.79389	0	0	0.17797	0.00854	0.0015	0	0
V223	0.00942	0	0.8438	0	0.00517	0.09283	0.04529	0.00349	0	0
V224	0.01511	0	0.7088	0	0.00409	0.01327	0.00427	0.11609	0.13838	0
