Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V208	0.41693	0.1882	0.39488	0	0	0
V209	0.28871	0.55753	0	0	0	0.15376
V210	0.02827	0.10942	0.86231	0	0	0
V211	0.65073	0.12647	0.0498	0	0.0623	0.1107
V212	0	0.33554	0.17504	0.48942	0	0
V213	0	0.15674	0.24854	0.06098	0.53374	0
V214	0.85901	0.14099	0	0	0	0
V215	0.01313	0.73033	0	0	0	0.25653
V216	0.10708	0.5837	0.30922	0	0	0
V217	0.09583	0.07514	0	0.10535	0.22915	0.49453
V218	0	0.38129	0	0.61871	0	0
V219	0.87564	0.1029	0	0	0	0.02146
V220	0	0.10174	0	0.89826	0	0
V221	0.08221	0.85209	0	0.0657	0	0
V222	0.03708	0.384	0	0.23102	0.34475	0.00315
V223	0	0.35528	0.25679	0	0	0.38793
V224	0	0.06302	0.42962	0.01847	0.48889	0
V225	0	0.04701	0	0	0	0.95299
V226	0.2878	0.15586	0.19356	0.35288	0	0.00989
V227	0.71713	0.11158	0	0.13826	0	0.03303
V228	0.10803	0.32623	0.53851	0	0	0.02724
V229	0.13262	0.1119	0.41556	0.32183	0	0.01808
V230	0	0.22261	0.77739	0	0	0
V231	0	0.07641	0	0.92359	0	0
V232	0.31094	0.10455	0	0.2375	0	0.34701
V233	0.86833	0.13167	0	0	0	0
V234	0.50635	0.12037	0	0	0.37328	0
V235	0	0.08308	0	0.91692	0	0
V236	0	0.06051	0.13095	0.03848	0.53295	0.23712
V237	0	0.06178	0.9255	0.01272	0	0
V238	0.71857	0.09802	0	0.00899	0	0.17442
V239	0.63676	0.14225	0.06181	0.12946	0.02972	0
V240	0	0.28998	0	0.17877	0.53125	0
V241	0.60971	0.26042	0	0.12987	0	0
V242	0.20963	0.13027	0	0.20098	0	0.45912
V243	0	0.46302	0.53698	0	0	0
V244	0.01807	0.10205	0	0	0.54682	0.33306
V245	0.74953	0.09549	0	0	0	0.15498
V246	0	0.10389	0.1876	0.52454	0.18397	0
V247	0.15103	0.15552	0	0.14162	0	0.55183
V248	0.23934	0.13721	0	0.29658	0.31987	0.007
V249	0.23065	0.25123	0.4059	0	0	0.11222
V250	0	0.04896	0	0.95104	0	0
V251	0	0.68017	0.12049	0.19934	0	0
V252	0	0.04519	0	0.95481	0	0
V253	0	0.10529	0	0.53423	0	0.36048
V254	0	0.35649	0	0.29687	0.30653	0.0401
V255	0.47617	0.39585	0.02412	0.03957	0	0.06429
V256	0.00504	0.99496	0	0	0	0
V257	0.02319	0.52833	0	0.0502	0.36165	0.03663
V258	0	0.29938	0.05278	0.64784	0	0
V259	0	0.64467	0.35533	0	0	0
V260	0.03208	0.13028	0	0.04043	0.65825	0.13896
V261	0.59203	0.11994	0	0.00202	0.1462	0.13981
V262	0	0.1053	0.8947	0	0	0
V263	0	0.12558	0.71248	0.16195	0	0
V264	0.70723	0.11929	0.04203	0	0	0.13144
V265	0	0.0697	0	0.07398	0.85632	0
V266	0	0.07932	0	0	0	0.92068
V267	0.16243	0.79846	0	0.03911	0	0
V268	0.88622	0.11378	0	0	0	0
V269	0	0.10539	0.00955	0.88506	0	0
V270	0.34325	0.59979	0	0	0.05696	0
V271	0	0.15547	0.21715	0	0	0.62738
V272	0	0.06622	0	0.14994	0.75995	0.02388
V273	0	0.08297	0	0.15525	0.72716	0.03462
V274	0	0.02564	0.11395	0	0	0.86041
V275	0.73323	0.26677	0	0	0	0
V276	0.01824	0.33842	0.03553	0.07431	0	0.5335
V277	0.46088	0.10424	0	0	0.02355	0.41132
V278	0.11452	0.22111	0.02176	0.35643	0.28618	0
V279	0	0.11558	0.17884	0	0	0.70558
V280	0	0.10122	0	0.89878	0	0
V281	0.00783	0.97566	0	0.01652	0	0
V282	0	0.09764	0	0.11971	0.78264	0
V283	0	0.52605	0	0.02078	0.45318	0
V284	0	0.16921	0.3188	0.39992	0	0.11207
V285	0	0.04882	0	0.95118	0	0
V286	0.72988	0.14949	0	0.12063	0	0
V287	0	0.07928	0	0.15747	0.76325	0
V288	0	0.35215	0	0	0.05131	0.59653
V289	0	0.14427	0.83052	0.0252	0	0
V290	0	0.0469	0.13183	0.82127	0	0
V291	0	0.07036	0	0.92964	0	0
V292	0.04946	0.19917	0	0.75137	0	0
V293	0	0.10008	0	0.04612	0.8538	0
V294	0.60824	0.13393	0	0	0.19845	0.05939
V295	0	0.04197	0	0	0	0.95803
V296	0	0.4742	0.03412	0.385	0	0.10668
V297	0	0.06726	0	0	0	0.93274
V298	0	0.8653	0.1347	0	0	0
V299	0.08518	0.16792	0.7469	0	0	0
V300	0.79743	0.19385	0	0	0	0.00872
V301	0.52537	0.47463	0	0	0	0
V302	0	0.34399	0	0.65601	0	0
V303	0	0.84283	0.04116	0.03264	0.08338	0
V304	0	0.06808	0	0.03665	0.89527	0
V305	0	0.06054	0.13045	0.58008	0	0.22893
V306	0.25005	0.15876	0	0	0	0.59119
V307	0.12657	0.10724	0	0.03551	0.65952	0.07116
V308	0	0.03405	0	0.96595	0	0
V309	0	0.59626	0	0.40374	0	0
V310	0.00284	0.45985	0.26176	0	0	0.27555
V311	0.38633	0.06877	0	0	0	0.5449
V312	0.0505	0.11662	0	0.49672	0.33035	0.00581
V313	0.09042	0.07296	0	0	0	0.83662
V314	0.14805	0.13035	0	0.7216	0	0
V315	0.18468	0.81532	0	0	0	0
V316	0.03914	0.07108	0	0.0147	0	0.87508
V317	0	0.06573	0	0.80903	0	0.12524
V318	0	0.04391	0	0.95609	0	0
V319	0.41243	0.27982	0.22465	0.08311	0	0
V320	0.25356	0.28496	0.34362	0.04541	0	0.07245
V321	0	0.71154	0	0.28846	0	0
V322	0	0.06251	0	0.05515	0.73516	0.14718
V323	0	0.35482	0	0.52358	0.1216	0
V324	0	0.11049	0	0.31375	0.34222	0.23354
V325	0.07666	0.92334	0	0	0	0
V326	0.16971	0.83029	0	0	0	0
V327	0.00355	0.09189	0.90456	0	0	0
V328	0.16691	0.30502	0.16295	0.1959	0.16922	0
V329	0	0.06914	0.67789	0.00308	0.24988	0
V330	0	0.05036	0.94964	0	0	0
V331	0.82587	0.17413	0	0	0	0
V332	0	0.12697	0.09772	0.00741	0.36774	0.40016
V333	0	0.08342	0.50208	0.4145	0	0
V334	0	0.48241	0.45528	0.06232	0	0
V335	0.02995	0.1016	0.76558	0	0	0.10287
V336	0.3514	0.6486	0	0	0	0
V337	0.01161	0.28827	0	0.03761	0.66252	0
V338	0.83689	0.11881	0	0	0.0443	0
V339	0	0.18276	0.42013	0.26144	0	0.13567
V340	0.6607	0.3393	0	0	0	0
V341	0.19373	0.15404	0	0.65223	0	0
V342	0	0.07039	0	0.78281	0	0.14679
V343	0	0.21611	0.06833	0	0	0.71556
V344	0.00794	0.75941	0	0.03877	0.11007	0.08382
V345	0	0.05473	0	0.05012	0.89516	0
V346	0.07711	0.11768	0	0.57579	0.2113	0.01812
V347	0.53526	0.23728	0	0.07193	0.15553	0
V348	0.06065	0.22232	0.71703	0	0	0
V349	0.79725	0.18793	0	0.01482	0	0
V350	0.44969	0.1398	0.06238	0.19882	0	0.14932
V351	0.05355	0.12639	0	0	0	0.82006
V352	0	0.40394	0	0	0.24563	0.35042
V353	0	0.20968	0.79032	0	0	0
V354	0.05574	0.12993	0.22794	0	0.24546	0.34092
V355	0	0.06944	0.93056	0	0	0
V356	0.58106	0.22361	0	0.19533	0	0
V357	0.34032	0.11674	0.45619	0	0.08675	0
V358	0	0.01279	0	0	0	0.98721
V359	0.04744	0.19784	0	0.75274	0	0.00197
