Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V185	0.08919	0.61364	0	0.00258	0.11169	0.1829
V186	0	0.01524	0.6536	0.33116	0	0
V187	0.32154	0.54849	0	0.00724	0.12273	0
V188	0.04509	0.65567	0	0	0	0.29924
V189	0	0.08514	0.16541	0.04044	0.60023	0.10878
V190	0	0.1925	0	0.02371	0.63578	0.14801
V191	0	0.63149	0	0	0	0.36851
V192	0.62268	0.27204	0.0648	0.00954	0.03094	0
V193	0	0.08155	0	0	0	0.91845
V194	0	0.03878	0	0.15816	0.80306	0
V195	0	0.02608	0.79438	0.09707	0.08247	0
V196	0	0.01076	0	0.98865	0.00059	0
V197	0.22423	0.03923	0	0.01263	0.72391	0
V198	0.11154	0.45136	0	0.20792	0.22918	0
V199	0	0.25516	0.07009	0.14659	0.52817	0
V200	0.03344	0.03713	0.64109	0.22711	0	0.06123
V201	0	0.01278	0	0.98722	0	0
V202	0.02503	0.08037	0.51315	0.02789	0.11016	0.24339
V203	0.57469	0.09576	0	0.32955	0	0
V204	0	0.05998	0	0.16308	0	0.77693
V205	0	0.04424	0.95576	0	0	0
V206	0	0.05814	0.07908	0.86278	0	0
V207	0.47409	0.2232	0	0.28332	0	0.01939
V208	0.40692	0.13569	0.41577	0.02692	0.0147	0
V209	0.2931	0.5343	0	0	0	0.1726
V210	0.08257	0.05443	0.86299	0	0	0
V211	0.63775	0.07763	0.07315	0	0.13342	0.07805
V212	0	0.28572	0.22234	0.48782	0.00412	0
V213	0.01814	0.10035	0.27627	0.03921	0.56602	0
V214	0.85167	0.10399	0	0.03069	0.01365	0
V215	0	0.71346	0	0	0	0.28654
V216	0.11545	0.53419	0.35036	0	0	0
V217	0.16242	0.01674	0	0.10715	0.27934	0.43435
V218	0	0.34551	0	0.65449	0	0
V219	0.9337	0.06066	0	0	0	0.00563
V220	0.04038	0.05356	0	0.90606	0	0
V221	0.07931	0.82691	0.00949	0.08429	0	0
V222	0.06849	0.31994	0	0.21285	0.39873	0
V223	0	0.31387	0.30584	0	0	0.38028
V224	0	0.02506	0.43757	0.00249	0.53488	0
V225	0.03168	0.00489	0	0	0	0.96342
V226	0.29525	0.09566	0.20305	0.32992	0.07611	0
V227	0.72777	0.05493	0	0.21308	0	0.00422
V228	0.14544	0.25992	0.55592	0.03872	0	0
V229	0.16771	0.04919	0.39902	0.28807	0.09601	0
