CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V125	0.10006	0.11243	0.44735	0.06002	0.18528	0.09486
V126	0.19012	0.20783	0.06929	0.04259	0.1814	0.30877
V127	0.10061	0.0146	0.53555	0.07874	0.20044	0.07006
V128	0.26205	0.19787	0.09803	0.12527	0.22831	0.08847
V129	0.07917	0.02501	0.55647	0.06703	0.2005	0.07182
V130	0.35127	0.12276	0.03551	0.18566	0.20845	0.09635
V131	0.10344	0.03669	0.04126	0.04369	0.65336	0.12156
V132	0.11424	0.31225	0.27917	0.01702	0.21021	0.0671
V133	0.11594	0.14079	0.38615	0.07062	0.2203	0.06619
V134	0.19868	0.40225	0.04338	0.0314	0.23388	0.09042
V135	0.11813	0.02414	0.49132	0.02305	0.22379	0.11957
V136	0.16251	0.43953	0.08303	0.03467	0.20252	0.07773
V137	0.10086	0.121	0.38029	0.03023	0.30633	0.06129
V138	0.16648	0.03967	0.02702	0.28264	0.25566	0.22853
V139	0.12301	0.06733	0.12119	0.03651	0.46099	0.19097
V140	0.37808	0.18462	0.06886	0.07889	0.18341	0.10614
V141	0.21862	0.20059	0.10424	0.18435	0.20673	0.08546
V142	0.17911	0.43657	0.0478	0.06112	0.1774	0.098
V143	0.11648	0.05648	0.42385	0.06854	0.25557	0.07907
V144	0.19856	0.15424	0.04095	0.11342	0.1853	0.30753
V145	0.0927	0.02981	0.01281	0.57475	0.22115	0.06879
V146	0.13971	0.04277	0.07112	0.03695	0.61274	0.09671
V147	0.33651	0.09465	0.10911	0.06705	0.17751	0.21516
V148	0.0914	0.12804	0.5086	0.01786	0.1844	0.0697
V149	0.17464	0.33674	0.03488	0.04687	0.17465	0.23221
V150	0.09325	0.03063	0.00325	0.56898	0.24524	0.05865
V151	0.18413	0.28925	0.03501	0.03913	0.1914	0.26107
V152	0.12264	0.17166	0.29982	0.04296	0.2713	0.09163
V153	0.0781	0.04068	0.42426	0.17667	0.21623	0.06406
V154	0.32099	0.18204	0.0479	0.04021	0.17639	0.23247
V155	0.12237	0.25761	0.08227	0.02134	0.43157	0.08483
V156	0.10355	0.32982	0.03325	0.02185	0.45155	0.05998
V157	0.16638	0.11164	0.0488	0.20445	0.19773	0.271
V158	0.09019	0.05023	0.57575	0.02095	0.18984	0.07304
V159	0.16391	0.17528	0.23614	0.12786	0.21295	0.08386
V160	0.09223	0.01429	0.57585	0.02776	0.19054	0.09933
V161	0.11407	0.3375	0.01905	0.21657	0.25385	0.05897
V162	0.124	0.36172	0.02564	0.09577	0.3187	0.07417
V163	0.08858	0.01298	0.60676	0.02342	0.19301	0.07524
V164	0.10349	0.24555	0.25904	0.08523	0.24056	0.06613
V165	0.0985	0.04816	0.04646	0.04251	0.65806	0.10631
V166	0.1309	0.04562	0.01967	0.1232	0.48335	0.19727
V167	0.08389	0.01944	0.28432	0.32646	0.22329	0.06261
V168	0.42224	0.05979	0.04079	0.18478	0.18498	0.10741
V169	0.08944	0.02095	0.46551	0.14696	0.2034	0.07374
V170	0.30835	0.06102	0.09029	0.21327	0.23731	0.08976
V171	0.19733	0.32169	0.04676	0.03107	0.18479	0.21835
V172	0.12647	0.06629	0.36745	0.13154	0.19531	0.11292
V173	0.09716	0.02836	0.52747	0.0222	0.19957	0.12523
V174	0.39242	0.1141	0.04671	0.04231	0.30756	0.09689
V175	0.15054	0.41944	0.11265	0.03205	0.2131	0.07221
