Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V138	0.01623	0.02226	0.0081	0.01016	0.02322	0	0.53026	0	0.05605	0.33371
V139	0.56897	0.0331	0.06935	0.00042	0.0794	0.07645	0.01282	0	0.15412	0.00538
V140	0.08503	0.01983	0.33703	0.39379	0.04526	0.05034	0.01361	0	0.02385	0.03126
V141	0.08081	0.01739	0.14395	0.63029	0.02772	0.02563	0.00429	0	0.02733	0.04259
V142	0.02121	0	0.06431	0.20228	0.02986	0	0.61196	0	0.02484	0.04554
V143	0	0.81133	0.012	0.06443	0.0161	0.00437	0.02266	0	0.06912	0
V144	0	0	0.01817	0.01529	0.03191	0.34961	0.54114	0.01181	0.01928	0.0128
V145	0.08869	0.10163	0.11355	0.4351	0.02795	0.03156	0.01935	0.14215	0.04002	0
V146	0.04504	0.00213	0.40786	0.03594	0	0.02023	0.0598	0.07682	0.03433	0.31786
V147	0.01276	0.04016	0.02456	0.00838	0.1481	0.01427	0.01196	0.01145	0.45422	0.27415
V148	0.02702	0.03562	0.05724	0.008	0.0508	0.06632	0.04001	0	0.68947	0.02551
V149	0.05982	0.02307	0.1248	0.50094	0.02759	0.00562	0.01081	0.07918	0.15919	0.00899
V150	0.06489	0.02127	0	0	0.05006	0.00989	0.02829	0.00052	0.04974	0.77534
V151	0.01562	0	0	0	0	0.0701	0.02838	0	0.02657	0.85932
V152	0.01235	0	0	0	0.022	0.02655	0.07399	0.63109	0.06279	0.17122
V153	0	0.17627	0	0	0.65833	0.00571	0.01369	0.05634	0.02252	0.06715
V154	0.11534	0.02227	0.52747	0.25578	0.01302	0.01641	0.0076	0	0.02348	0.01863
V155	0.0638	0	0.02322	0	0.02935	0.13238	0.04954	0.43424	0.25146	0.01603
V156	0.12168	0.02731	0.17554	0.02001	0.02501	0.46174	0.05109	0.01982	0.08448	0.01333
V157	0	0.45191	0.01599	0.0441	0.18647	0.21586	0.0227	0	0.04336	0.01961
V158	0.27408	0.54695	0.03209	0.01805	0.05476	0	0.03231	0.01133	0.03043	0
V159	0.04324	0.09792	0.20022	0.04462	0.28048	0.02786	0.02376	0.05149	0.02411	0.2063
V160	0.00968	0.86953	0.00688	0.02554	0.00933	0	0.02394	0	0.05509	0
V161	0.07104	0.01913	0.15412	0.66474	0.03177	0.00806	0.00276	0	0.04236	0.00604
V162	0.00182	0	0	0	0	0.00348	0.02944	0	0.03561	0.92966
V163	0.13685	0.01988	0.66824	0.06369	0.00751	0.01787	0.01289	0	0.02297	0.05011
V164	0.05765	0.01143	0.72989	0.07892	0.00771	0.01665	0.02198	0	0.02857	0.04719
V165	0.0323	0	0.23656	0.02236	0	0.00428	0.02101	0.00153	0.03317	0.64879
V166	0.10288	0.1125	0.11277	0.46165	0.02009	0.00961	0.02572	0.04516	0.06909	0.04053
V167	0.80379	0.01793	0.07663	0	0.02437	0.00277	0.01353	0	0.06098	0
V168	0.06917	0.01565	0.02164	0	0.02909	0.3103	0.05352	0.28788	0.18719	0.02556
V169	0.02275	0	0.01263	0.11495	0	0.17632	0.02622	0.00619	0.02084	0.62009
V170	0.02868	0.01754	0.06482	0.01042	0.05331	0.02045	0.00526	0	0.77091	0.02861
V171	0.02548	0.00652	0.22915	0.06665	0.04763	0.40614	0.0645	0.0267	0.10541	0.02182
V172	6e-05	0.01312	0.02761	0.01475	0.0472	0.14441	0.67224	0.00592	0.05234	0.02235
V173	0.01493	0	0	0.00623	0	0.00258	0.50946	0.00079	0.04762	0.41838
V174	0.04757	0.10198	0.23503	0.31125	0.11516	0.02463	0.01692	0	0.0256	0.12186
V175	0.75288	0.01721	0.16107	0.00404	0.02227	0.00121	0.03025	0.00062	0.01046	0
V176	0.18576	0.00063	0.02689	0	0.03256	0.67716	0.03556	0	0.03755	0.0039
V177	0.6494	0.0126	0.06526	0.06511	0.00917	0.00187	0.01471	0.008	0.01692	0.15696
V178	0.19895	0.00966	0.0285	0.01283	0.06508	0.57868	0.03855	0	0.00542	0.06235
V179	0.15001	0.15113	0.01003	0.00474	0.58679	0.00251	0.00681	0	0.01575	0.07224
V180	0.47884	0.12247	0.09848	0.23466	0.02204	0.00614	0.01531	0	0.02206	0
V181	0.04536	0.16259	0.55563	0.05829	0.02992	0.00597	0.08112	0	0.02614	0.03498
V182	0.0049	0.07408	0.00368	0.02107	0.33712	0.04419	0.03806	0.34417	0.08653	0.04621
V183	0.06106	0.17484	0.10984	0.47289	0.02144	0.00236	0.12872	0	0.02885	0
V184	0.18691	0.00461	0.01974	0.00083	0.0087	0.54053	0.03611	0.01636	0.00851	0.17771
V185	0.60433	0.01318	0.08834	0.12886	0.02401	0.00397	0.01483	0.05712	0.0615	0.00385
V186	0.76175	0.02369	0.08489	0.06649	0.02215	0.00085	0.02346	0.00224	0.01446	0
V187	0.68593	0.01368	0.15129	0.00828	0.0141	0.00278	0.01855	0.00084	0.05855	0.04601
V188	0.07301	0.23332	0.00832	0.05293	0.50961	0.00168	0.02161	0	0.02621	0.07332
V189	0.7776	0.01522	0.08172	0.045	0.01545	0.01383	0.01451	0.00251	0.01421	0.01995
V190	0.01183	0.04026	0.04925	0.00558	0.11441	0.1154	0.0092	0	0.62468	0.02938
V191	0.04164	0.09168	0.10607	0.28546	0.35246	8e-05	0.04929	0.00426	0.02236	0.04671
V192	0.0019	0.04297	0	0	0.137	0.01039	0.02268	0.00369	0.02731	0.75407
V193	0.1273	0.04214	0.2071	0.25067	0.12943	0	0.13711	0.04197	0.03659	0.02769
V194	0	0	0.01761	0.00556	0.0298	0.73843	0.19656	0.00049	0.01155	0
V195	0.03569	0.04923	0.02255	0.01054	0.10641	0.12379	0.55805	0.03058	0.02718	0.03599
V196	0.71071	0.0233	0.09438	0.12929	0.0165	0.00075	0.01178	0	0.01145	0.00184
V197	0.04292	0.01679	0.0604	0.16681	0.04839	0.01843	0.051	0.34062	0.24999	0.00464
V198	0	0.12638	0.01074	0.00496	0.48193	0.23361	0.03514	0	0.05613	0.0511
V199	0.02842	0.06661	0.02905	0.01344	0.19808	0.00602	0.13946	0	0.02708	0.49184
V200	0	0.08789	0.00162	0.00162	0.40404	0.11088	0.24848	0.06416	0.01958	0.06173
V201	0.24108	0.04951	0.05498	0.00282	0.03594	0.00872	0.10534	7e-04	0.43277	0.06814
V202	0.047	0.28982	0.41631	0.07086	0.01256	0	0.0851	0	0.06483	0.01352
V203	0.04545	0.07834	0.35842	0.15254	0.02978	0.0097	0.1017	0	0.18064	0.04342
V204	0.04441	0.20981	0.2783	0.2507	0.02462	0.08966	0.01834	0.03563	0.04808	0.00044
V205	0.06676	0.0572	0.03214	0.01429	0.04474	0.00236	0.60997	0.04841	0.10294	0.02119
V206	0.30153	0.01649	0.50306	0.04507	0.0253	0.00196	0.01663	0	0.01921	0.07075
V207	0.02654	0.14664	0.01275	0.0518	0.01867	0.00527	0.02388	0	0.18082	0.53362
V208	0.00429	0.00029	0.03674	0.04019	0.03767	0.76592	0.04028	0	0.06664	0.00797
V209	0.02786	0.1672	0.06992	0.0073	0.61385	0.01019	0.00643	0	0.01834	0.07891
V210	0.05461	0.13727	0.05219	0.00253	0.51729	0.01453	0.0221	0.07918	0.04021	0.08009
V211	0.05123	0.07244	0.59413	0.05821	0.02016	0.01023	0.07299	0.00956	0.07263	0.03842
V212	0.11606	0.08665	0.03791	0.00042	0.03523	0.02023	0.04123	0.29003	0.36431	0.00794
V213	0.11895	0.02836	0.0199	0.00318	0.15034	0.59898	0.0451	0	0.00603	0.02915
V214	0	0.05933	0	0.00745	0.25741	0.02159	0.48616	0	0.01998	0.14808
V215	0	0	0.01992	0.0193	0.03636	0	0.86344	0.00139	0.03105	0.02854
V216	0	0.70496	0.00281	0.0196	0.18732	0	0.02711	0	0.04088	0.01731
V217	0.02848	0.22811	0.04182	0.06805	0.15861	0.25162	0.02623	0.02335	0.03931	0.13442
V218	0.03187	0	0.01401	0	0.0309	0.619	0.23314	0	0.00925	0.06182
V219	0.01968	0	0.01824	0.05356	0.02967	0.02573	0.14156	0.64629	0.06528	0
V220	0.04336	0.02519	0.10343	0.30796	0.03874	0.01153	0.00812	0.04322	0.40881	0.00963
V221	0.17599	0.10032	0.2956	0.03047	0.02054	0.00659	0.04256	0.0484	0.15929	0.12024
V222	0.06411	0.00857	0.63708	0.05996	0.01051	0.15924	0.01485	0	0.01954	0.02616
V223	0.05544	0.00987	0.66197	0.06402	0.01713	0.07032	0.06873	0	0.02127	0.03126
V224	0.05529	0.01944	0.58176	0.09758	0.01647	0.01524	0.01369	0.03687	0.13617	0.02748
V225	0.05987	0.00731	0.353	0.29495	0.01684	0.02504	0.02257	0.16768	0.03445	0.01829
V226	0.00304	0.75938	0.00321	0.01971	0.02181	0.00132	0.03987	0.1018	0.04987	0
V227	0.04431	0.05456	0.57199	0.0632	0.18091	0.00258	0.00782	0	0.02825	0.04637
V228	0.02281	0.62707	0.06879	0.02757	0.01819	0.00274	0.03698	0.09945	0.09324	0.00317
V229	0.63434	0.01289	0.05091	0	0.01606	0.23303	0.03719	0.01172	0.00386	0
V230	0.03766	0	0.04791	0.27379	0	0.00527	0.12397	0	0.03735	0.47406
V231	0.03278	0.2577	0.04242	0.02196	0.03583	0.11423	0.01633	0	0.45594	0.0228
V232	0.04223	0.37561	0.39796	0.04629	0.01446	0.00962	0.02147	0.038	0.03508	0.01926
V233	0	0.13565	0.00879	0.02636	0.52671	0.01527	0.00512	0	0.20903	0.07306
V234	0.01485	0.04986	0.01038	0.00118	0.2265	0.00746	0.27809	0.33152	0.03856	0.04159
V235	0.05436	0.018	0.40159	0.03423	0.01336	0.01515	0.0518	0.33195	0.04252	0.03704
V236	0.0377	0.0158	0.24312	0.21649	0.02947	0.39228	0.02865	0	0.03441	0.00208
V237	0.06135	0.0747	0.36546	0.14239	0.24114	0.03535	0.01076	0.00474	0.02802	0.03609
V238	0.03608	0.05123	0.33115	0.02833	0.03751	0.01665	0.04892	0.38056	0.0458	0.02377
V239	0.06784	0.16544	0.09011	0.40174	0.04127	0.02219	0.04433	0	0.03363	0.13344
V240	0.07285	0	0.02756	0.00769	0.03507	0.26191	0.5212	0	0.02109	0.05263
V241	0.26009	0.01784	0.13043	0.47924	0.03551	0.03315	0.00791	0.01109	0.02223	0.0025
V242	0.03263	0.01677	0.07795	0.046	0.0511	0.02862	0.00488	0	0.71576	0.02629
V243	0.03657	0.01001	0.0606	0.10656	0.03286	0.08693	0.05683	0	0.46735	0.14229
V244	0.0554	0	0.34955	0.04652	0.02317	0	0.43768	0.02266	0.03633	0.02868
