B_cells	NK_cells	T_cells_CD4.	Monocytes
V591	0.61243	0	0	0.38757
V592	0.55768	0	0.44232	0
V593	1	0	0	0
V594	0.68932	0.13485	0.17583	0
V595	0.186	0	0	0.814
V596	0.4859	0.50281	0	0.01129
V597	0.28583	0.64606	0.06811	0
V598	0.45111	0	0.54889	0
V599	0.95097	0.04903	0	0
V600	0.57968	0.42032	0	0
V601	0.52903	0.40855	0	0.06242
V602	0.15969	0	0	0.84031
V603	0.2876	0.46377	0	0.24863
V604	0.84559	0	0.15441	0
V605	0.47496	0.39401	0.13103	0
V606	1	0	0	0
V607	1	0	0	0
V608	0.62126	0.16936	0.20938	0
V609	0.52111	0.43604	0	0.04285
V610	1	0	0	0
V611	0.74308	0	0	0.25692
V612	0.439	0	0.561	0
V613	0.41425	0.24348	0.34227	0
V614	1	0	0	0
V615	0.48911	0	0	0.51089
V616	0.23784	0.76216	0	0
V617	0.80662	0	0.19338	0
V618	1	0	0	0
V619	0.83774	0	0.16226	0
V620	0.25133	0.69595	0.05271	0
V621	0.8178	0.10319	0.07901	0
V622	0.73417	0.0273	0.23854	0
V623	0.56709	0.02792	0	0.40499
V624	1	0	0	0
V625	0.51523	0.48477	0	0
V626	1	0	0	0
V627	0.31478	0	0	0.68522
V628	0.35034	0.17832	0	0.47134
V629	0.52859	0.403	0.06841	0
V630	0.41469	0.24455	0.34076	0
V631	0.48647	0.23061	0	0.28292
V632	1	0	0	0
V633	0.41749	0	0.58251	0
V634	0.74855	0.06219	0.18926	0
V635	0.10524	0.89476	0	0
V636	0.54201	0.00574	0.45225	0
V637	0.70397	0.28783	0	0.0082
V638	0.71061	0.28939	0	0
V639	0.56664	0.30664	0.12672	0
V640	0.45304	0	0.54696	0
V641	1	0	0	0
V642	1	0	0	0
V643	0.47687	0.33942	0.18371	0
V644	1	0	0	0
V645	0.56972	0.30502	0.12526	0
V646	0	1	0	0
V647	0.53636	0	0.46364	0
V648	0.70591	0.29409	0	0
V649	0.44083	0	0.55917	0
V650	0.44442	0	0.55558	0
V651	0.70548	0	0.29452	0
V652	0.57789	0.18837	0.23374	0
V653	0.30708	0.69292	0	0
V654	1	0	0	0
V655	0.24297	0.71329	0	0.04373
V656	0.5202	0.35853	0	0.12127
V657	0.26709	0	0	0.73291
V658	0.97353	0.02647	0	0
V659	0.76628	0.01019	0.22353	0
V660	0	1	0	0
V661	0.33826	0.57879	0	0.08295
V662	0.82252	0	0.17748	0
V663	0.66292	0	0.33708	0
V664	0.61003	0	0.38997	0
V665	1	0	0	0
V666	1	0	0	0
V667	1	0	0	0
V668	0.20134	0.79866	0	0
V669	0.56639	0.37703	0.05657	0
V670	0.03082	0.96918	0	0
V671	0.69663	0.17007	0.13331	0
V672	0.46998	0	0.53002	0
V673	0.5893	0.36382	0.04687	0
V674	1	0	0	0
V675	0.52531	0.37956	0.09513	0
V676	0.52685	0.08853	0	0.38462
V677	0.67254	0.32746	0	0
V678	0.73588	0.26412	0	0
V679	0.42312	0.18326	0.39362	0
V680	0.54741	0.45259	0	0
V681	1	0	0	0
V682	0.49124	0.1919	0.31685	0
V683	0	1	0	0
V684	1	0	0	0
V685	0.82178	0.15764	0.02058	0
V686	0.57028	0.30496	0	0.12476
V687	0.17046	0	0	0.82954
V688	0.55419	0.44581	0	0
V689	0.68518	0	0	0.31482
V690	0.86062	0	0.13938	0
V691	0.5762	0	0.4238	0
V692	0.49685	0	0.50315	0
V693	0.67527	0.12982	0.19491	0
V694	0.70364	0.08612	0	0.21024
V695	0.81845	0	0	0.18155
V696	0.45056	0	0	0.54944
V697	0.20502	0	0	0.79498
V698	1	0	0	0
V699	0.90069	0.09931	0	0
V700	0.62737	0	0	0.37263
V701	0.40407	0.59593	0	0
V702	0.98075	0	0	0.01925
V703	0.61172	0.08002	0.30826	0
V704	1	0	0	0
V705	1	0	0	0
V706	0.48796	0	0.51204	0
V707	0.35847	0.38697	0.25456	0
V708	0.04165	0.95835	0	0
V709	0.50511	0.17645	0.31844	0
V710	0.9749	0.0251	0	0
V711	0.17957	0.82043	0	0
V712	1	0	0	0
V713	0.7283	0.2717	0	0
V714	0.18444	0.81556	0	0
V715	0.64001	0.22414	0.13585	0
V716	0.3443	0	0	0.6557
V717	0.02538	0.97462	0	0
V718	0.43555	0.56445	0	0
V719	0.21189	0.78811	0	0
V720	1	0	0	0
V721	0.54139	0.20425	0.25436	0
V722	0.37068	0.44668	0	0.18263
V723	0.47957	0	0	0.52043
V724	1	0	0	0
V725	0.41997	0	0.58003	0
V726	0.3843	0.56165	0	0.05405
V727	0.42319	0.57681	0	0
V728	0.06188	0.93812	0	0
V729	0.966	0	0.034	0
V730	1	0	0	0
V731	0.4966	0.3622	0.1412	0
V732	0.80034	0	0.19966	0
V733	1	0	0	0
V734	0.57509	0.14445	0.28046	0
V735	0.58684	0.15206	0.2611	0
V736	0.44058	0	0	0.55942
V737	0.69878	0.23083	0.07039	0
V738	0.46635	0.34012	0.19353	0
V739	0.51326	0.07489	0.41185	0
V740	1	0	0	0
V741	0.92563	0.04585	0.02852	0
V742	0.54242	0.45758	0	0
V743	0.54443	0	0.45557	0
V744	0.88732	0	0.11268	0
V745	0.23443	0.76557	0	0
V746	1	0	0	0
V747	0.53554	0	0.46446	0
V748	0.5525	0.06293	0.38458	0
V749	0.68043	0.24729	0	0.07227
V750	0.63017	0.36983	0	0
V751	0.07004	0.92996	0	0
V752	0.83195	0.14307	0.02498	0
V753	0.06483	0	0	0.93517
V754	0	1	0	0
V755	0.56684	0.29549	0.13767	0
V756	0.24685	0	0	0.75315
V757	0.52379	0.47621	0	0
V758	0.1878	0.8122	0	0
V759	0.64656	0.14052	0.21293	0
V760	0.78058	0.08342	0.136	0
V761	0.38115	0.61311	0.00574	0
V762	0.27025	0.48366	0	0.24609
V763	0.67392	0.32608	0	0
V764	0	1	0	0
V765	1	0	0	0
V766	0.43275	0.39316	0.17409	0
V767	0.8688	0	0.1312	0
V768	0.02739	0.97261	0	0
V769	0.1783	0.8217	0	0
V770	0	1	0	0
V771	0.56397	0	0.43603	0
V772	0.5463	0	0.4537	0
V773	0.16979	0.83021	0	0
V774	0.46307	0	0.53693	0
V775	0.7024	0.13999	0.07768	0.07993
V776	0.68224	0.31776	0	0
V777	0.67316	0.19641	0	0.13043
V778	0.88097	0.11903	0	0
V779	0.63255	0.01677	0.35068	0
V780	0.23469	0.76531	0	0
V781	0.30218	0	0	0.69782
V782	0.42508	0	0.57492	0
V783	1	0	0	0
V784	0.08644	0.91356	0	0
V785	0	1	0	0
V786	1	0	0	0
V787	0.08593	0.91407	0	0
V788	0.84644	0.10823	0.04533	0
V789	0.35537	0.48737	0	0.15727
V790	0.95005	0	0	0.04995
V791	0.50117	0.39199	0.10684	0
V792	0.35764	0.64236	0	0
V793	0.30149	0.69851	0	0
V794	0.44902	0	0.55098	0
V795	0.5663	0	0	0.4337
V796	0.46287	0	0.53713	0
V797	1	0	0	0
V798	0.95428	0.0377	0.00803	0
V799	0.20852	0.79148	0	0
V800	0.59045	0.08092	0.32864	0
V801	0.6535	0.22929	0.11721	0
V802	0.64677	0.21223	0	0.14101
V803	0.5017	0.42865	0.06965	0
V804	0.88789	0	0.11211	0
V805	0.40984	0	0.59016	0
V806	0.01896	0.98104	0	0
V807	0.65745	0.17979	0	0.16276
V808	0.99174	0	0.00826	0
V809	0.45311	0	0.54689	0
V810	0	1	0	0
V811	0.89011	0.02198	0.0879	0
V812	0.87494	0.12506	0	0
V813	0.91489	0	0.08511	0
V814	0.62909	0.37091	0	0
V815	0	1	0	0
V816	1	0	0	0
V817	0.45698	0	0.54302	0
V818	0.25957	0	0	0.74043
V819	1	0	0	0
V820	0.5778	0	0	0.4222
