Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V212	0.10124	0.04106	0.00374	0.00588	0.03433	0	0.00387	0.46501	0.34486	0
V213	0.10966	0	0.00323	0.00971	0.15936	0.62945	0.0583	0.01709	0	0.01321
V214	0	0.04234	0.02724	0	0.34861	0.1279	0.3793	0.00645	0.00099	0.06718
V215	0	0.07491	0.01627	0	0	0.17094	0.6745	0.01262	0.04712	0.00363
V216	0.0126	0.49016	0.0329	0	0.45392	0	0	0.01041	0	0
V217	0.02392	0.13559	0.06104	0.08129	0.28767	0.25227	0.01968	0.07094	0	0.0676
V218	0.02805	0.00654	0.00614	0.00068	0.00903	0.68421	0.19782	0.01066	0.01763	0.03926
V219	0.0116	0	0	0.07305	0	0.00832	0.03526	0.87176	0	0
V220	0.02179	0.00945	0.0247	0.36424	0.02267	0	0.01658	0.07931	0.46127	0
V221	0.16907	0.06287	0.33353	0	0.06301	0	0.01444	0.11965	0.18042	0.057
V222	0.05798	0	0.75495	0	0	0.16994	0.00958	0	0.00755	0
V223	0.05167	0	0.80368	0	0	0.08597	0.04688	0	0.0118	0
V224	0.04667	0	0.67793	0	0.00279	0.00485	0.00078	0.10681	0.16017	0
V225	0.01659	0	0.32789	0.30817	0	0.01498	0.00949	0.31828	0.00217	0.00243
V226	0.02253	0.52074	0.01563	0	0.24233	0	0	0.19877	0	0
V227	0.04659	0	0.70787	0	0.23897	0	0	0	0.00657	0
V228	0.03875	0.44215	0.082	0	0.20846	0	0	0.20502	0.01923	0.00438
V229	0.66092	0	0	0	0	0.2755	0.02823	0.03535	0	0
V230	0	0.01658	0.0548	0.41725	0.07676	0.02612	0.09403	0.00244	0.0201	0.29191
V231	0.05199	0.16597	0.01961	0.01836	0.10084	0.0866	0.01293	0.00789	0.53479	0.00102
V232	0.04421	0.26684	0.45298	0	0.12892	0	0	0.10654	0	0.00051
V233	0.01581	0	0.04216	0.02389	0.67219	0.00484	0.0039	0	0.23648	0.00073
V234	0.01664	0.00855	0.0199	0	0.214	0.02824	0.13682	0.57169	0	0.00415
V235	0.04071	0	0.37525	0	0.00161	0	0.0016	0.57306	0	0.00776
V236	0.00896	0.00182	0.23625	0.25334	0.00915	0.40074	0.04676	0.005	0.03798	0
V237	0.04336	0	0.46055	0.10089	0.31227	0.03083	0.00537	0.04673	0	0
V238	0.02761	0.01441	0.30007	0	0.03207	0	0	0.62378	0	0.00206
V239	0.01695	0.12217	0.04354	0.55243	0.11236	0.0302	0.04221	0	0.00582	0.07432
V240	0.06777	0.03563	0.01876	0	0	0.40066	0.40703	0.0105	0.03229	0.02736
V241	0.17767	0.00731	0.02712	0.66403	0.01858	0.03642	0.02305	0.03591	0.0075	0.00241
V242	0.04856	0	0.02884	0.04911	0.03608	0.00644	0.01161	0	0.81936	0
V243	0.03723	0.0021	0.02771	0.13371	0.04269	0.07221	0.04586	0.00015	0.58065	0.0577
V244	0.04717	0.02248	0.41722	0	0	0.07531	0.3296	0.07115	0.03708	0
V245	0.16217	0.09092	0.16285	0	0.03848	0.47169	0.03809	0.0358	0	0
V246	0.00398	0.24634	0.0206	0	0.06824	0.11003	0.48235	0.0061	0.05797	0.00441
V247	0.06255	0	0.90565	0	0.00652	0	0	0	0.02269	0.00258
V248	0.52181	0.0492	0	0	0.02988	0.03581	0.09729	0.266	0	0
V249	0.05616	0	0.73947	0	0.10985	0	0	0	0.01788	0.07663
V250	0.01117	0.02803	0.01151	0.30187	0.03089	0.2602	0.03854	0.30696	0	0.01083
V251	0.60678	0.12154	0	0.00163	0.14841	0	0	0.09374	0.02607	0.00184
V252	0.06448	0.38851	0.01589	0.03778	0.16588	0.23192	0.01808	0.07439	0	0.00308
V253	0.04488	0	0.31721	0	0.01759	0.07265	0.01548	0	0.5322	0
V254	0.00215	0	0.05975	0.03349	0.86196	0.00265	0	0	0	0.04
V255	0.00446	0	0.03528	0	0.95341	0	0	0.00684	0	0
V256	0	0.0214	0.03425	0.83328	0.00722	0.04923	0.03126	4e-05	0.01997	0.00336
V257	0.41555	0	0.41653	0	0	0.14692	0.01721	0.00378	0	0
V258	0.0015	0	0.0472	0	0.85686	0	0.0045	0	0	0.08994
V259	0.05919	0	0.00686	0.09517	0.13457	0	0.01227	0.69042	0	0.00153
V260	0.0158	0.11565	0.00534	0.01509	0.05257	0	0	0.79555	0	0
V261	0.21808	0.03376	0	0	0.00459	0.36979	0.26624	0.00852	0.08322	0.0158
V262	0.01075	0.32974	0.10621	0	0.15916	0.33185	0.02138	0.01806	0	0.02286
V263	0.44559	0.32734	0	0	0.1741	0.00481	0.02265	0	0	0.0255
V264	0.00598	0.00499	0.04361	0.5911	0.29392	0.02251	0.03523	0	0	0.00267
V265	0.02092	0.25274	0.04219	0.31706	0.12453	0.04557	0.10933	0	0	0.08766
V266	0.03445	0.53408	0.12702	0	0.24157	0	0	0.02375	0.03912	0
V267	0	0.173	0.07169	0.01824	0.22315	0.00346	0	0	0	0.51047
V268	0.0089	0.20883	0.05272	0.12366	0.56361	0	0.01092	0.01787	0.00394	0.00955
V269	0.03066	0.0072	0.27091	0.61135	0.00972	0.00335	0.01981	0.01214	0.03485	0
V270	0.02456	0	0.03449	0	0.93476	0	0	0.00619	0	0
V271	0.0625	0.00363	0.16869	0	0.06706	0.0086	0.0258	0	0.66373	0
V272	0.03004	0.11607	0.07422	0.00287	0.08667	0.14535	0.0254	0.24996	0.21822	0.05121
V273	0	0	0.01856	0.21417	0.06641	0.62298	0.05938	0.00708	0.00973	0.00168
V274	0.0735	0.0093	0.11466	0.01138	0.12952	0.16395	0.0078	0.0731	0.0135	0.40329
V275	0.00211	0.06325	0.04712	0	0.6973	0.04943	0	0.00668	0	0.13411
V276	0.01351	0.09205	0.0402	0.42883	0.10253	0.01925	0.10339	0.0241	0.12103	0.05512
V277	0.0359	0.16639	0.48331	0.21749	0.08216	0	0.00502	0.00973	0	0
V278	0.11914	0.02771	0.10329	0	0.17246	0	0	0.00032	0	0.57709
V279	0.00987	0.13164	0.03888	0.30291	0.29707	0.04515	0.17329	0.00118	0	0
V280	0.0907	0.01784	0.02638	0.06118	0.14893	0.3004	0.21128	0.12881	0.00677	0.00771
V281	0.00035	0.01634	0.02692	0.00899	0.05079	0.71184	0.06874	0.01903	0.01393	0.08307
V282	0	0.02111	0.03336	0.82244	0.00848	0.00456	0.02718	0.03537	0.04482	0.00268
