mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V170	0.22195	0.35441	0.06751	0.23972	0.11641
V171	0.25193	0.19352	0.29233	0.20473	0.0575
V172	0.16793	0.25357	0.08308	0.07951	0.41591
V173	0.18661	0.15488	0.09287	0.41215	0.15348
V174	0.17945	0.13904	0.29267	0.21858	0.17027
V175	0.07409	0.19895	0.1228	0.21177	0.39239
V176	0.31305	0.0738	0.02043	0.56161	0.0311
V177	0.16049	0.19	0.42692	0.1968	0.02579
V178	0.22723	0.18555	0.35802	0.14854	0.08066
V179	0.098	0.09057	0.02477	0.07894	0.70772
V180	0.02843	0.154	0.30309	0.0581	0.45639
V181	0.06576	0.28035	0.01851	0.11269	0.52269
V182	0.47479	0.23426	0.02266	0.21037	0.05792
V183	0.07439	0.78855	0.02617	0.07184	0.03905
V184	0.26021	0.13087	0.24287	0.32497	0.04107
V185	0.09962	0.43353	0.04117	0.19923	0.22646
V186	0.12679	0.2053	0.04446	0.28512	0.33833
V187	0.07937	0.57834	0.02125	0.28409	0.03695
V188	0.65594	0.11881	0.04495	0.14632	0.03398
V189	0.38632	0.24023	0.04861	0.29093	0.03391
V190	0.34741	0.16904	0.19113	0.07064	0.22179
V191	0.19474	0.21911	0.02262	0.44459	0.11895
V192	0.27684	0.22739	0.12306	0.24652	0.12619
V193	0.06386	0.29666	0.4239	0.08438	0.13119
V194	0.23686	0.13293	0.09323	0.14852	0.38847
V195	0.46137	0.23843	0.2008	0.0701	0.02931
V196	0.01875	0.08593	0.07207	0.10369	0.71957
V197	0.0716	0.75995	0.02516	0.10503	0.03825
V198	0.208	0.23912	0.05126	0.24323	0.2584
V199	0.59733	0.13741	0.17944	0.06091	0.0249
V200	0.6172	0.09632	0.04448	0.08601	0.15598
V201	0.042	0.05237	0.03468	0.69844	0.17251
V202	0.72364	0.13618	0.01893	0.08359	0.03767
V203	0.4566	0.25947	0.04215	0.11362	0.12815
V204	0.30497	0.14577	0.04977	0.06745	0.43205
V205	0.10927	0.12357	0.12	0.11979	0.52737
V206	0.04631	0.11605	0.01473	0.76277	0.06014
V207	0.02733	0.06133	0.01465	0.85426	0.04243
V208	0.13736	0.29575	0.38614	0.09163	0.08911
V209	0.14738	0.11493	0.10294	0.08879	0.54596
V210	0.00488	0.23861	0.67946	0.05307	0.02398
V211	0.14287	0.13643	0.18878	0.08268	0.44925
V212	0.06051	0.66388	0.09369	0.10416	0.07775
V213	0.0997	0.07842	0.07284	0.28492	0.46412
V214	0.0259	0.51559	0.34817	0.06845	0.0419
V215	0.22208	0.25786	0.13404	0.12827	0.25775
V216	0.0552	0.16391	0.28779	0.08606	0.40705
V217	0.01628	0.04834	0.03559	0.80429	0.09549
V218	0.06835	0.241	0.24927	0.35031	0.09106
V219	0.11391	0.30939	0.32118	0.22736	0.02816
V220	0.18898	0.62843	0.07562	0.07236	0.03461
V221	0.0429	0.20465	0.40991	0.05798	0.28456
V222	0.0313	0.08473	0.02646	0.09366	0.76386
V223	0.41312	0.14343	0.24915	0.16094	0.03336
V224	0.0433	0.49274	0.04293	0.14146	0.27958
V225	0.57204	0.21703	0.11637	0.06301	0.03154
V226	0.42202	0.45029	0.02152	0.06968	0.03649
V227	0.08883	0.23887	0.02303	0.59175	0.05753
V228	0.45856	0.15128	0.21923	0.12067	0.05026
V229	0.23503	0.38597	0.23311	0.09825	0.04764
V230	0.03131	0.07824	0.02666	0.09458	0.76921
V231	0.06314	0.52854	0.07369	0.23445	0.10018
V232	0.62063	0.13124	0.15425	0.0683	0.02558
V233	0.06055	0.12107	0.1453	0.13688	0.5362
V234	0.02181	0.35734	0.197	0.3784	0.04546
V235	0.74276	0.10665	0.01914	0.09822	0.03323
V236	0.07159	0.18608	0.48099	0.20631	0.05503
V237	0.11184	0.17036	0.23016	0.3238	0.16384
V238	0.01913	0.07132	0.024	0.32079	0.56476
V239	0.06557	0.37692	0.06321	0.22526	0.26904
V240	0.06858	0.7328	0.03197	0.08488	0.08177
V241	0.05471	0.80649	0.02672	0.07257	0.03952
V242	0.03589	0.33192	0.26093	0.30092	0.07034
V243	0.38477	0.1493	0.2625	0.07947	0.12395
V244	0.03298	0.39709	0.18628	0.1309	0.25275
V245	0.05089	0.77321	0.04996	0.09567	0.03027
V246	0.51658	0.26957	0.0423	0.07162	0.09993
V247	0.16225	0.23986	0.46137	0.09455	0.04197
V248	0.09621	0.53722	0.04326	0.0731	0.25022
V249	0.22004	0.16315	0.1857	0.14016	0.29095
V250	0.02276	0.20741	0.50374	0.07565	0.19044
