B_cells	NK_cells	T_cells_CD4.	Monocytes
V208	0.24868	0.09324	0.65101	0.00707
V209	0.31475	0.47024	0.08236	0.13265
V210	0.10763	0.72749	0.12471	0.04017
V211	0.46295	0.02796	0.03184	0.47725
V212	0.49691	0.06178	0.42017	0.02115
V213	0.64249	0.04143	0.1138	0.20228
V214	0.34543	0.18548	0.17711	0.29198
V215	0.3331	0.12823	0.01174	0.52694
V216	0.10543	0	0.08632	0.80825
V217	0.0546	0.50145	0.25876	0.18519
V218	0.1121	0.46222	0.19348	0.2322
V219	0.13194	0.64012	0.02609	0.20185
V220	0.02946	0.80818	0.0354	0.12696
V221	0.81635	0.00962	0	0.17403
V222	0.31833	0.16	0.36706	0.15461
V223	0	0.17317	0.75525	0.07158
V224	0.9557	0.00268	0.04162	0
V225	0.08424	0.82059	0.09517	0
V226	0.30436	0.10953	0.58187	0.00425
V227	0.77649	0.00422	0.19532	0.02397
V228	0.76113	0.07949	0.06357	0.09581
V229	0.02183	0.06077	0.87601	0.04139
V230	0.06465	0.06941	0.06284	0.8031
V231	0.03017	0.31892	0.13599	0.51492
V232	0.06907	0.67408	0	0.25685
V233	0.5593	0.10655	0.2035	0.13065
V234	0.06531	0.84819	0.06894	0.01756
V235	0.37045	0.08595	0.51887	0.02474
V236	0.0443	0.10485	0.77814	0.0727
V237	0.21106	0.0229	0.05483	0.71122
V238	0.14361	0.54074	0.28247	0.03318
V239	0.09304	0.43589	0.02902	0.44205
V240	0.48054	0.06017	0.41534	0.04395
V241	0.01592	0.03742	0.87723	0.06943
V242	0.15258	0.7225	0.12432	0.00059
V243	0.23972	0.07032	0.62139	0.06858
V244	0.20749	0.02021	0.6934	0.0789
V245	0.59349	0.30088	0.05383	0.0518
V246	0.05831	0.18062	0.74269	0.01838
V247	0.15819	0.05439	0.78742	0
V248	0.07178	0.06784	0.08263	0.77774
V249	0	0.08239	0.85144	0.06617
V250	0.75542	0.00259	0.22407	0.01792
V251	0.91579	0.05997	0	0.02424
V252	0.02357	0.79081	0.18561	0
V253	0.3841	0.091	0.17531	0.34959
V254	0.03787	0.86287	0.09206	0.0072
V255	0.07455	0.87366	0.01078	0.04101
V256	0.17857	0.23795	0.51073	0.07276
V257	0.42722	0.12245	0.24083	0.20951
V258	0.18102	0.28636	0.42538	0.10724
V259	0.03907	0.31242	0.6189	0.02962
V260	0	0.30309	0.69487	0.00204
V261	0.61162	0.04515	0.20169	0.14154
V262	0.15143	0.0959	0.02412	0.72854
V263	0.0501	0.90122	0.01587	0.0328
V264	0.1762	0.06511	0.44428	0.31441
V265	0.07341	0.00795	0.17732	0.74132
V266	0.65299	0.34226	0.00475	0
V267	0	0.2182	0.31289	0.46891
V268	0.41026	0.0367	0.15605	0.39698
V269	0.01051	0.54859	0.40574	0.03517
V270	0.63291	0.03898	0.24626	0.08185
V271	0.79039	0.07879	0.02615	0.10467
V272	0.07927	0.79443	0.03741	0.08889
V273	0.11378	0.05098	0.072	0.76324
V274	0.69872	0	0.19065	0.11063
V275	0	0.07056	0.89453	0.03491
V276	0.51155	0.34796	0.00466	0.13583
V277	0.05299	0.24486	0.18691	0.51524
V278	0.05575	0.09101	0.31847	0.53477
V279	0.68221	0.07065	0.11277	0.13437
V280	0.07907	0	0.10172	0.81921
V281	0.5531	0.04431	0.14679	0.25581
V282	0.05598	0.10498	0.78109	0.05796
V283	0.22604	0.56993	0.08087	0.12316
V284	0.0577	0.84383	0.09831	0.00015
V285	0.06982	0.03861	0.89156	0
V286	0.25585	0.5355	0.1295	0.07915
V287	0.12214	0.81583	0.04074	0.02128
V288	0.01468	0.309	0.44271	0.23362
V289	0.27906	0.24203	0.41623	0.06268
V290	0.82951	0.1641	0.00639	0
V291	0.4775	0.09069	0.42332	0.00849
V292	0.91104	0.01161	0	0.07735
V293	0.29117	0.04191	0.63105	0.03586
V294	0.11705	0.40141	0	0.48154
V295	0.0298	0.21561	0.21903	0.53555
V296	0.17679	0.15087	0.59659	0.07574
V297	0.12939	0.00429	0.11639	0.74993
V298	0.29492	0.12888	0.57419	0.00201
V299	0.10154	0.3145	0.01504	0.56892
V300	0.00345	0.06474	0.26388	0.66794
V301	0.12243	0.14464	0.63128	0.10165
V302	0.65308	0.33133	0	0.0156
V303	0	0.58388	0.3961	0.02002
V304	0.05643	0.06125	0.73752	0.14481
V305	0.12592	0.19225	0.46489	0.21694
V306	0.79001	0.10619	0.04692	0.05688
V307	0.04906	0.87334	0.05257	0.02502
