mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V275	0.0617	0.59491	0.19251	0.1275	0.02338
V276	0.01672	0.1834	0.56563	0.20717	0.02708
V277	0.2703	0.18032	0.47916	0.0411	0.02912
V278	0.01399	0.13978	0.32416	0.41235	0.10972
V279	0.1354	0.05028	0.04074	0.70325	0.07033
V280	0.17387	0.07434	0.0645	0.5857	0.10159
V281	0.03709	0.21035	0.07196	0.64762	0.03298
V282	0.0878	0.78838	0.05465	0.05039	0.01879
V283	0.31242	0.10409	0.13951	0.07775	0.36623
V284	0.03157	0.2401	0.47636	0.04037	0.2116
V285	0.45586	0.40384	0.03836	0.07988	0.02207
V286	0.06674	0.21748	0.64295	0.06085	0.01199
V287	0.21086	0.14303	0.1842	0.2919	0.17001
V288	0.15771	0.18618	0.51636	0.04164	0.0981
V289	0.14896	0.21357	0.05333	0.55335	0.03079
V290	0.36928	0.41029	0.163	0.045	0.01243
V291	0.3522	0.21221	0.03729	0.37034	0.02797
V292	0.10496	0.16362	0.37994	0.07158	0.2799
V293	0.01311	0.25941	0.64113	0.06886	0.01749
V294	0.02726	0.0735	0.04654	0.08668	0.76601
V295	0.02116	0.12996	0.3128	0.45969	0.07638
V296	0.6835	0.17076	0.03317	0.0709	0.04168
V297	0.02344	0.19779	0.61564	0.12787	0.03527
V298	0.25829	0.05999	0.03287	0.53492	0.11393
V299	0.23399	0.05083	0.04018	0.64577	0.02924
V300	0.76185	0.10967	0.03506	0.07071	0.02271
V301	0.7438	0.10233	0.03977	0.0869	0.02721
V302	0.02164	0.05372	0.0385	0.43304	0.45311
V303	0.10344	0.22488	0.22906	0.19502	0.2476
V304	0.1436	0.2144	0.58169	0.03795	0.02236
V305	0.19501	0.31327	0.1251	0.1421	0.22453
V306	0.31436	0.55095	0.04317	0.06501	0.02651
V307	0.19247	0.11537	0.26035	0.41252	0.01929
V308	0.17711	0.18886	0.52601	0.09397	0.01406
V309	0.52367	0.14101	0.07839	0.15461	0.10232
V310	0.04441	0.08133	0.04221	0.15453	0.67753
V311	0.02641	0.04093	0.06861	0.82377	0.04027
V312	0.08793	0.28695	0.26572	0.04884	0.31056
V313	0.07147	0.27897	0.04923	0.3413	0.25902
V314	0.08546	0.06256	0.03632	0.40018	0.41548
V315	0.74444	0.10471	0.04662	0.06139	0.04284
V316	0.11249	0.48971	0.26967	0.06827	0.05986
V317	0.29008	0.21558	0.42753	0.0422	0.02461
V318	0.71943	0.10045	0.03826	0.06052	0.08135
V319	0.08369	0.23322	0.63336	0.04294	0.00679
V320	0.08154	0.0362	0.03382	0.8081	0.04033
V321	0.12317	0.33592	0.30212	0.20857	0.03023
V322	0.02107	0.31943	0.50568	0.07496	0.07887
V323	0.20323	0.28171	0.39227	0.05645	0.06633
V324	0.04587	0.07683	0.06776	0.77188	0.03765
V325	0.50378	0.17256	0.10922	0.15095	0.06349
V326	0.05801	0.08294	0.09131	0.17641	0.59132
V327	0.29578	0.4343	0.1423	0.06586	0.06175
V328	0.05434	0.27974	0.18605	0.44794	0.03193
V329	0.01377	0.15247	0.35772	0.45183	0.02422
V330	0.0667	0.2197	0.64486	0.03121	0.03753
V331	0.13056	0.10149	0.12227	0.13273	0.51295
V332	0.34737	0.19022	0.38759	0.04394	0.03089
V333	0.31761	0.14924	0.28858	0.1721	0.07247
V334	0.04549	0.32948	0.48729	0.10107	0.03668
V335	0.56777	0.14544	0.10693	0.0824	0.09746
V336	0.15626	0.50156	0.28196	0.03964	0.02057
V337	0.02396	0.06647	0.05099	0.20629	0.65229
V338	0.55298	0.13424	0.16472	0.06588	0.08218
V339	0.1956	0.47522	0.21377	0.0423	0.07312
V340	0.04471	0.20833	0.14702	0.10025	0.4997
V341	0.03427	0.4526	0.42096	0.04283	0.04934
V342	0.22932	0.2401	0.39184	0.1277	0.01104
V343	0.5145	0.14785	0.26957	0.05464	0.01345
V344	0.11796	0.64341	0.08814	0.06997	0.08052
V345	0.20301	0.09841	0.03577	0.30913	0.35368
V346	0.04267	0.31817	0.31498	0.28564	0.03854
V347	0.09215	0.44257	0.0617	0.35124	0.05235
V348	0.02438	0.22714	0.41007	0.2303	0.10811
V349	0.06322	0.34362	0.47287	0.04831	0.07197
V350	0.11247	0.37761	0.11993	0.26035	0.12965
V351	0.14293	0.15974	0.38294	0.28883	0.02556
V352	0.10714	0.48174	0.35356	0.04389	0.01366
V353	0.23767	0.31872	0.07414	0.09164	0.27784
V354	0.41903	0.17021	0.35972	0.03969	0.01135
V355	0.07768	0.12641	0.3149	0.45628	0.02473
V356	0.07441	0.21598	0.63344	0.04885	0.02732
V357	0.04416	0.18329	0.46068	0.06174	0.25012
V358	0.03706	0.06685	0.05986	0.79724	0.039
V359	0.06006	0.11968	0.03594	0.75337	0.03096
V360	0.55047	0.13676	0.11311	0.1814	0.01827
V361	0.30624	0.43308	0.12585	0.04649	0.08834
V362	0.63361	0.11865	0.1194	0.05146	0.07688
V363	0.04384	0.0857	0.04127	0.19462	0.63457
V364	0.05068	0.26613	0.05681	0.45529	0.17109
V365	0.0201	0.0395	0.0361	0.84775	0.05655
V366	0.16159	0.19753	0.49149	0.08506	0.06433
V367	0.19817	0.25598	0.22354	0.18676	0.13555
V368	0.58073	0.1723	0.14411	0.06061	0.04224
