CD56NK	CD4MemoryT	CD19B	CD14
V379	0.39037	0.14017	0.00996	0.4595
V380	0.17506	0.04275	0.20475	0.57744
V381	0.77418	0.00407	0.08436	0.1374
V382	0.09696	0.0083	0.88948	0.00526
V383	0.86128	0.0012	0.04356	0.09396
V384	0.61743	0.04168	0.12619	0.2147
V385	0.88729	0.00438	0.06707	0.04127
V386	0.33551	0.00491	0.14122	0.51837
V387	0.65838	0.09105	0.18178	0.06878
V388	0.45528	0.24505	0.15299	0.14668
V389	0.51291	0.41524	0.01105	0.0608
V390	0.35238	0.17961	0.46479	0.00322
V391	0.46903	0.06573	0.01591	0.44933
V392	0.49669	0.15463	0.16702	0.18166
V393	0.33758	0.16359	0.36204	0.13678
V394	0.11317	0.16885	0.11958	0.5984
V395	0.27931	0.30989	0.21939	0.19142
V396	0.0134	0.9542	0.00658	0.02582
V397	0.83051	0.04821	0.09379	0.0275
V398	0.51016	0.08744	0.09464	0.30776
V399	0.25688	0.46866	0.16832	0.10614
V400	0.00057	0.52054	0.07178	0.40712
V401	0.04242	0.10349	0.78001	0.07408
V402	0.85039	0.11652	0.03309	0
V403	0.02519	0.00968	0.07132	0.89381
V404	0.11188	0.1378	0.65778	0.09254
V405	0.24947	0.01612	0.16676	0.56766
V406	0.72304	0.1727	0.01655	0.0877
V407	0.00198	0.98267	0.00769	0.00766
V408	0.11368	0.17978	0.43481	0.27173
V409	0.00795	0.00645	0.02106	0.96454
V410	0.13014	0.81568	0.03238	0.0218
V411	0.47301	0.00153	0	0.52547
V412	0.18847	0.04078	0.51584	0.25492
V413	0.07587	0.41254	0.20742	0.30417
V414	0.04576	0.43359	0.38603	0.13462
V415	0.49382	0.01308	0.22469	0.26841
V416	0.01048	0.0457	0.9426	0.00123
V417	0.48301	0.50701	0.00566	0.00433
V418	0.08466	0.06727	0.14493	0.70314
V419	0.01808	0.00049	0.02908	0.95235
V420	0.00104	0.87283	0.01327	0.11287
V421	0.18435	0.01532	0.6935	0.10683
V422	0.05138	0.03706	0.00896	0.9026
V423	0.09525	0.00329	0.88187	0.01959
V424	0.00036	0.024	0.64762	0.32802
V425	0.07115	0.17571	0.64763	0.10551
V426	0.10759	0.01728	0.8129	0.06223
V427	0.08952	0.32425	0.21555	0.37069
V428	0.12804	0.71656	0.06222	0.09318
V429	0.01697	0.00045	0.03807	0.94452
V430	0.81377	0.11126	0.01598	0.05899
V431	0.21099	0.00899	0.45834	0.32167
V432	0.12386	0.06039	0.04755	0.76821
V433	0.07926	0.67359	0	0.24714
V434	0.38013	0.04519	0.05125	0.52343
V435	0.55346	0.00407	0.11574	0.32673
V436	0.41949	0.0043	0.11182	0.46439
V437	0.27202	0.17164	0.00367	0.55268
V438	0.67803	0.10448	0.0296	0.18789
V439	0.03803	0.06686	0.00802	0.88709
V440	0.52829	0.02007	0.03051	0.42113
V441	0.08174	0.08415	0.63394	0.20017
V442	0.38909	0.26096	0.14581	0.20414
V443	0.77894	0.00115	0.08352	0.13639
V444	0.0113	0.00811	0.97889	0.00169
V445	0.65858	0.00535	0.31498	0.0211
V446	0.05073	0.79949	0.06427	0.08551
V447	0.69147	0.05504	0.16924	0.08425
V448	0.02259	0.03951	0.19936	0.73854
V449	0.61678	0.01845	0.28033	0.08445
V450	0.20462	0.77986	0.01549	3e-05
V451	0.95539	0.02847	0.00031	0.01584
V452	0.03798	0.00384	0.07053	0.88765
V453	0.85694	0.04055	0.06023	0.04229
V454	0.0015	0.92539	0.058	0.01511
V455	0.65252	0.01333	0.28308	0.05107
V456	0.38089	0.07572	0.39171	0.15169
V457	0.00794	0.01457	0.01309	0.9644
V458	0.31243	0.16983	0.00358	0.51416
V459	0.02298	0.75746	0.11116	0.1084
V460	0.96437	0.00263	0.02401	0.00899
V461	0.06238	0.01764	0.00986	0.91013
V462	0.40413	0.17931	0	0.41655
V463	0.32536	0.38509	0.17553	0.11402
V464	0.55831	0.0643	0.00369	0.3737
V465	0.49312	0.33418	0.02494	0.14776
V466	0.65039	0.12921	0.00362	0.21678
V467	0.40573	0.47277	0.08642	0.03508
V468	0.59472	0.3054	0.05079	0.04909
V469	0.02055	0.12633	0.30934	0.54378
V470	0.61614	0.07685	0.17468	0.13233
V471	0.30569	0.07085	0.03354	0.58991
V472	0.38489	0.25455	0	0.36056
V473	0.134	0.46482	0.38244	0.01874
V474	0.13081	0	0.10339	0.7658
V475	0.2344	0.32204	0.08717	0.35639
V476	0.18368	0.00641	0.0562	0.75371
V477	0.65088	0.01818	0.19512	0.13582
V478	0.17854	0.51132	0.00384	0.30631
V479	0.01886	0.04874	0.84863	0.08378
V480	0.10231	0.24156	0.04658	0.60955
V481	0.17185	0.00328	0.81377	0.0111
V482	0.75947	0.10549	0.10672	0.02832
V483	0.14927	0.07407	0.07522	0.70144
V484	0.02577	0.04267	0.02449	0.90707
V485	0.1679	0.67135	0.01226	0.14849
V486	0.32792	0.19839	0.13505	0.33864
V487	0.08384	0.02635	0.0867	0.80311
V488	0.00043	0.00077	0.89117	0.10763
V489	0.25107	0.06187	0.67738	0.00967
V490	0.4135	0.23657	0.07106	0.27888
V491	0.53952	0.36706	0.03357	0.05986
V492	0.03816	0.795	0.16151	0.00533
V493	0.02029	0.00163	0.00691	0.97117
V494	0.23582	0.10443	0.54153	0.11823
V495	0.297	0.52922	0.15543	0.01834
V496	0.36338	0.58901	0	0.04761
V497	0.01032	0.00154	0.9805	0.00764
V498	0.35892	0.06759	0.05059	0.5229
V499	0.68883	0.18817	0.1201	0.0029
V500	0.12232	0.07913	0.76391	0.03464
V501	0.0079	0.00081	0.04003	0.95125
V502	0.62903	0.19873	0.15015	0.0221
V503	0.23274	0.06135	0.20401	0.5019
V504	0.31274	0.6082	0.012	0.06707
V505	0.24072	0.15758	0.27032	0.33138
V506	0.1133	0.19001	0.49372	0.20297
V507	0.67378	0.06246	0.11635	0.14741
V508	0.81396	0.11188	0.03799	0.03616
V509	0.26805	0.03417	0.51252	0.18525
V510	0.2902	0.42368	0.28258	0.00354
V511	0.06106	0.35049	0.04785	0.5406
V512	0.27588	0.02836	0.07987	0.61589
V513	0.10766	0.57633	0.24635	0.06966
V514	0.01669	0.0403	0.00431	0.93871
V515	0.81596	0.03448	0.04402	0.10554
V516	0.93861	0.05707	4e-04	0.00393
V517	0.04464	0.01106	0.25754	0.68676
V518	0.97657	0.01866	0.00047	0.0043
V519	0.0377	0.83419	0.00508	0.12303
V520	0.03027	0	0.63015	0.33958
V521	0.61625	0.01917	0.34332	0.02126
V522	0.00755	0.08436	0.61562	0.29247
V523	0.40963	0.08253	0.26315	0.24469
V524	0.01036	0.72791	0.23024	0.0315
V525	0.30112	0.15296	0.02452	0.52139
V526	0.70102	0.04621	0.07037	0.1824
V527	0.2372	0.0089	0.40218	0.35172
V528	0.14262	0.80377	0	0.05361
V529	0.07003	0.0374	0.22904	0.66353
V530	0.00749	0.15212	0.73463	0.10576
V531	0.02721	0.83265	0.14014	1e-05
V532	0.21476	0.25679	0.02558	0.50287
V533	0.34807	0.27401	0.14807	0.22985
V534	0.00796	0.00266	0.73195	0.25743
V535	0.5827	0	0.01011	0.40719
V536	0.21929	0	0.372	0.40871
V537	0.66524	0.17895	0.14734	0.00848
V538	0.50445	0.03196	0.08355	0.38005
V539	0.33905	0.34413	0.17262	0.1442
V540	0.27061	0.61159	0.08004	0.03775
V541	0.02298	0.43931	0.07083	0.46687
V542	0.23514	0.08558	0.26367	0.41562
V543	0.90186	0.00163	0.00996	0.08655
V544	0.12295	0.05755	0.17578	0.64372
