CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V193	0.16725	0.1443	0.0997	0.03936	0.07527	0.47413
V194	0.02196	0.04872	0.0319	0.13518	0.70468	0.05756
V195	0.01436	0.03271	0.62424	0.10771	0.16139	0.05958
V196	0.01884	0.03532	0.04633	0.7011	0.14916	0.04925
V197	0.12752	0.0454	0.0487	0.05538	0.64657	0.07643
V198	0.09442	0.31761	0.08026	0.15938	0.27104	0.07729
V199	0.04022	0.19928	0.108	0.12578	0.46846	0.05826
V200	0.06226	0.04396	0.49723	0.21325	0.06365	0.11965
V201	0.02929	0.03634	0.02962	0.72825	0.11216	0.06433
V202	0.08499	0.087	0.3798	0.06015	0.19149	0.19658
V203	0.32271	0.08976	0.08352	0.30657	0.07903	0.1184
V204	0.1624	0.08995	0.11477	0.16081	0.07884	0.39322
V205	0.01395	0.05055	0.79919	0.03692	0.03457	0.06482
V206	0.02372	0.07117	0.1188	0.60655	0.13372	0.04604
V207	0.22891	0.18975	0.10386	0.22748	0.10039	0.14961
V208	0.23226	0.11886	0.36963	0.0747	0.10283	0.10172
V209	0.18972	0.3786	0.08214	0.07612	0.08412	0.18931
V210	0.07646	0.05669	0.73358	0.02196	0.0348	0.0765
V211	0.2989	0.09028	0.15711	0.04773	0.20465	0.20133
V212	0.04079	0.23229	0.19849	0.32519	0.13842	0.06482
V213	0.04025	0.0879	0.23061	0.06452	0.52059	0.05613
V214	0.44345	0.09801	0.12035	0.09142	0.09675	0.15002
V215	0.10895	0.46432	0.07785	0.07666	0.08088	0.19134
V216	0.108	0.39331	0.28557	0.05217	0.08252	0.07844
V217	0.16249	0.05034	0.09298	0.10555	0.31338	0.27526
V218	0.06425	0.2677	0.04942	0.44135	0.12143	0.05585
V219	0.4508	0.08603	0.12188	0.04375	0.06994	0.2276
V220	0.07463	0.04801	0.04824	0.65962	0.10485	0.06466
V221	0.10117	0.51795	0.09759	0.11208	0.09295	0.07825
V222	0.07289	0.23631	0.06935	0.16027	0.38344	0.07775
V223	0.10035	0.26614	0.26623	0.04195	0.08415	0.24119
V224	0.01282	0.03278	0.34382	0.03788	0.52453	0.04818
V225	0.21091	0.06806	0.11115	0.03669	0.06487	0.50833
V226	0.16713	0.08718	0.21289	0.25503	0.17178	0.10599
V227	0.3526	0.07135	0.09155	0.21759	0.07997	0.18695
V228	0.10251	0.21868	0.40878	0.07984	0.08855	0.10164
V229	0.11189	0.04992	0.32975	0.23209	0.18513	0.09122
V230	0.05067	0.16422	0.6268	0.03402	0.04253	0.08176
V231	0.0476	0.05247	0.03695	0.68019	0.13224	0.05056
V232	0.25099	0.06817	0.07617	0.25929	0.08319	0.26218
V233	0.44925	0.09046	0.12253	0.09805	0.08031	0.1594
V234	0.26241	0.05988	0.05512	0.06204	0.4533	0.10725
V235	0.06443	0.03958	0.0528	0.65914	0.12136	0.0627
V236	0.06542	0.03767	0.17788	0.05368	0.50207	0.16328
V237	0.01432	0.03295	0.71801	0.1138	0.05877	0.06215
V238	0.35079	0.07162	0.12677	0.10861	0.09674	0.24547
V239	0.29454	0.08661	0.15821	0.14857	0.17571	0.13636
V240	0.03087	0.20705	0.02451	0.1408	0.54573	0.05103
V241	0.30637	0.18323	0.08549	0.18438	0.1152	0.12533
V242	0.20225	0.09323	0.10578	0.17332	0.14675	0.27865
V243	0.04945	0.32252	0.39576	0.07579	0.09152	0.06497
V244	0.11391	0.05859	0.04671	0.04259	0.53504	0.20316
V245	0.41646	0.08092	0.11229	0.04152	0.07825	0.27056
V246	0.02307	0.07103	0.20298	0.32744	0.31978	0.0557
V247	0.20885	0.117	0.0864	0.17898	0.08927	0.31949
V248	0.15408	0.07088	0.03946	0.21539	0.4202	0.09998
V249	0.15965	0.17285	0.35397	0.10222	0.05772	0.1536
V250	0.02568	0.05011	0.03545	0.72528	0.11312	0.05037
V251	0.06138	0.43003	0.16645	0.18206	0.0901	0.06998
V252	0.02025	0.04261	0.0614	0.6732	0.14838	0.05416
V253	0.08813	0.08582	0.0544	0.33799	0.19928	0.23439
V254	0.05754	0.2233	0.09524	0.18824	0.34778	0.08791
V255	0.2178	0.27131	0.12913	0.09581	0.12586	0.16009
V256	0.0736	0.59114	0.07838	0.06632	0.10855	0.08201
V257	0.06784	0.3249	0.06953	0.07154	0.37109	0.0951
V258	0.04467	0.20992	0.14821	0.44232	0.08986	0.06501
V259	0.05451	0.43379	0.30531	0.05835	0.0686	0.07944
V260	0.08754	0.06994	0.04191	0.06054	0.61351	0.12656
V261	0.28463	0.08009	0.1004	0.0725	0.25737	0.20501
V262	0.05746	0.04551	0.70014	0.03235	0.09863	0.06592
V263	0.03077	0.08158	0.55026	0.20459	0.06315	0.06964
V264	0.33291	0.08626	0.1668	0.06992	0.11973	0.22438
V265	0.03142	0.0356	0.01037	0.07141	0.80008	0.05111
V266	0.20492	0.08987	0.10903	0.03785	0.07331	0.48502
V267	0.13405	0.49956	0.07706	0.11332	0.09352	0.08249
V268	0.49184	0.08991	0.11221	0.05396	0.06288	0.1892
V269	0.03484	0.07244	0.12799	0.58868	0.12309	0.05296
V270	0.1805	0.386	0.0912	0.06697	0.17994	0.09539
V271	0.12166	0.14769	0.2657	0.04354	0.07378	0.34765
