Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V122	0.00192	0.03322	0.17369	0.01009	0.04026	0.07372	0.19053	0.00209	0.43069	0.04378
V123	0.0077	0.09714	0.01386	0	0.42836	0.01232	0.04802	0.37852	0.005	0.00907
V124	0.71106	0.05197	0.03072	0.01209	0.00784	0.00341	0.02826	0.15465	0	0
V125	0	0.19037	0.12614	0.01691	0.04532	0.14406	0.07583	0.40139	0	0
V126	0	0.23466	0	0	0.67289	0.00092	0.01889	0.04678	0.00484	0.02102
V127	0.01425	0.01496	0.53739	0.04576	0.02894	0.00086	0.23597	0.00278	0.0894	0.02969
V128	0.00187	0.2234	0.36742	0.02878	0.28667	0.04673	0.0143	0.0059	0.01316	0.01178
V129	0.02202	0.10946	0.11675	0.21814	0.11298	0.01733	0.00904	0.00089	0.34295	0.05044
V130	0.01387	0.01247	0.48478	0.03011	0.02635	0.01433	0.04058	0.35767	0.01985	0
V131	0.02716	0.39505	0.38492	0.08618	0.03823	0.00955	0.01232	0.00028	0.0408	0.0055
V132	0.11422	0.01169	0.02031	0.00876	0.08867	0	0.65934	0.07715	0	0.01986
V133	0.00349	0.03385	0.06249	0.15938	0.03165	0.14309	0.13342	0.43262	0	0
V134	0.01392	0.0823	0.18294	0.05318	0.20794	0	0.18384	0.00824	0.01137	0.25628
V135	5e-04	0.24158	0.22261	0.01576	0.04796	0.00875	0.02934	0	0.41049	0.02301
V136	0	0.60986	0.04248	0.12216	0.02142	0.00142	0.00662	0.00044	0.0072	0.1884
V137	0	0.01188	0.02775	0.00714	0.05812	0.32579	0.5296	0.00932	0.01862	0.01177
V138	0.01138	0.02926	0.01504	0.00964	0.00489	0	0.56906	0.00777	0.01503	0.33792
V139	0.6278	0.03177	0.04185	0.01765	0.07258	0.07228	0.01847	0.00423	0.11338	0
V140	0.04675	0.0215	0.34071	0.4093	0.05192	0.05294	0.01433	0.0028	0.03202	0.02774
V141	0.0384	0.02	0.13735	0.65961	0.02334	0.02953	0.00092	0.00424	0.03227	0.05434
V142	0.00693	0.001	0.05617	0.1958	0.02621	0	0.65377	0.00923	0.00127	0.04962
V143	0	0.81854	0.03154	0.04551	0.06359	0.00958	0.0058	0.00011	0.02206	0.00326
V144	0	0	0.01617	0.00616	0.03132	0.33266	0.58034	0.02416	0	0.00919
V145	0.05533	0.11148	0.11994	0.44989	0.03144	0.03269	0.01759	0.15967	0.02196	0
V146	0.01198	0.00079	0.43197	0.03426	0	0.01943	0.06382	0.09258	0.02302	0.32216
V147	0	0.04256	0.03606	0.00603	0.14537	0.00931	0.02028	0.02418	0.38977	0.32643
V148	0.01765	0.03695	0.06711	0	0.03372	0.07575	0.06688	0.00072	0.66776	0.03346
V149	0.02113	0.02651	0.12948	0.54185	0.02052	0.00659	0.0092	0.09881	0.12883	0.01708
V150	0.07073	0.02298	0	0.00592	0.01521	0.00904	0.02928	0.00773	0.01849	0.82061
V151	0.0089	0	0.01579	0.00468	0	0.06594	0.02955	0.00345	0.00328	0.86841
V152	0.00035	0	0.02566	0	0.01456	0.0239	0.08358	0.67248	0	0.17947
V153	0	0.17896	0	0	0.69929	0.00143	0.02115	0.07988	0	0.0193
V154	0.08148	0.02299	0.53703	0.26257	0.02614	0.01853	0.00503	0.0023	0.03891	0.00502
V155	0.05943	0	0.0419	0	0.02121	0.13675	0.0693	0.49628	0.16236	0.01278
V156	0.11527	0.02924	0.18499	0.01737	0.0279	0.45178	0.0849	0.03592	0.04773	0.0049
V157	0	0.46862	0.0292	0.03276	0.21405	0.20612	0.03023	0.00107	0.0042	0.01374
V158	0.2724	0.55151	0.03441	0.01427	0.07676	0.00044	0.02142	0.02716	0.00145	0.00019
V159	0.02522	0.10204	0.2174	0.04508	0.294	0.02475	0.02851	0.0692	0.00328	0.1905
V160	0.00436	0.86726	0.03126	0.00696	0.05894	0.00214	0.00609	6e-04	0.00949	0.0129
V161	0.02685	0.02155	0.14574	0.6992	0.02959	0.01187	0	0.00456	0.04637	0.01428
V162	0.00013	0	0.00441	0.00635	0	0.00471	0.02582	0.00442	0.0121	0.94207
V163	0.10763	0.01877	0.67556	0.05722	0.02501	0.01798	0.01062	0.0187	0.03886	0.02965
V164	0.02193	0.01008	0.75469	0.06957	0.02958	0.01881	0.02282	0.00122	0.04901	0.0223
V165	0.00828	0	0.25314	0.02492	0	0.00374	0.01818	0.01215	0.01884	0.66075
V166	0.06959	0.12281	0.11442	0.47932	0.01714	0.01149	0.02261	0.05875	0.05095	0.05293
V167	0.85141	0.01517	0.032	0.02424	0.01465	0	0.0113	0.00665	0.04458	0
V168	0.06726	0.01894	0.03555	0	0.02328	0.31735	0.08436	0.32069	0.11028	0.0223
V169	0.0035	0	0.03468	0.11933	0	0.164	0.03418	0.01353	0	0.63078
V170	0.02007	0.01089	0.07736	0	0.03381	0.01602	0.01591	0.00067	0.78473	0.04053
V171	0.00349	0.00732	0.2477	0.06265	0.05219	0.40513	0.09729	0.04482	0.06842	0.01099
V172	0	0.01838	0.02388	0.00705	0.04302	0.14789	0.7132	0.01735	0.0076	0.02161
V173	0.01082	0	0.00433	0.00807	0	0.01042	0.53432	0.00777	0.00917	0.41509
V174	0.01291	0.10858	0.24266	0.31879	0.12103	0.02508	0.01572	0.014	0.02032	0.12092
V175	0.77691	0.0147	0.11789	0.02601	0.01649	0	0.02767	0.01097	0.00935	0
V176	0.19644	0.00091	0.02496	0	0.03201	0.65669	0.07891	0.00693	0.00314	0
V177	0.67296	0.00926	0.03839	0.08652	0	0	0.01189	0.01422	0.008	0.15875
V178	0.2045	0.01097	0.02594	0.0143	0.06278	0.54562	0.07675	0.00593	0	0.05321
V179	0.16383	0.15344	0.00485	0.00759	0.62578	0	0.01312	0.00163	0	0.02975
V180	0.48416	0.12778	0.07746	0.25177	0.02165	0.00634	0.01093	0.00412	0.0158	0
V181	0.01157	0.17211	0.56863	0.04824	0.05349	0.00877	0.08522	0.00085	0.02983	0.02129
V182	0	0.08102	0.02069	0.01679	0.36628	0.0403	0.05102	0.38135	0.02185	0.02069
V183	0.02663	0.1874	0.10806	0.4777	0.02827	0.00822	0.13527	0.00387	0.02114	0.00344
V184	0.18886	0.00669	0.0227	0.00353	0	0.50469	0.07067	0.02707	0	0.17578
V185	0.63305	0.01274	0.06283	0.15124	0.01417	0.00166	0.01346	0.06551	0.04096	0.00438
V186	0.78851	0.02207	0.04342	0.09017	0.01438	0	0.02048	0.01103	0.00995	0
V187	0.72091	0.01162	0.11773	0.02955	0.0049	2e-05	0.01703	0.00987	0.04409	0.04428
V188	0.07376	0.24152	0.01157	0.05328	0.54073	0	0.02635	0.01258	0	0.04021
V189	0.80509	0.01362	0.04077	0.06998	0.00617	0.01078	0.01237	0.01095	0.00991	0.02036
V190	0	0.0423	0.05629	0	0.12041	0.13465	0.02641	0.00058	0.5897	0.02966
V191	0.01968	0.09475	0.10587	0.29513	0.37352	0	0.05606	0.02201	0.00748	0.0255
V192	0.00079	0.04516	0.0086	0.00517	0.11007	0.00932	0.02339	0.01282	0	0.78468
V193	0.10369	0.04501	0.20641	0.2589	0.1341	0.00049	0.151	0.05708	0.02279	0.02053
V194	0	0	0.01842	0	0.03044	0.69662	0.23896	0.01556	0	0
V195	0.03331	0.05408	0.02096	0.00421	0.10244	0.12253	0.59199	0.04193	0	0.02854
V196	0.73436	0.02219	0.05579	0.15112	0.00882	0	0.00807	0.0062	0.01045	0.003
V197	0.02214	0.02111	0.07933	0.18271	0.04242	0.0165	0.06316	0.39375	0.17612	0.00277
V198	0	0.13253	0.01667	0.00062	0.52667	0.23177	0.06063	0.00189	0.01458	0.01464
V199	0.01995	0.071	0.04574	0.01819	0.18499	0.00576	0.15552	0.00263	0	0.49622
V200	0	0.08927	0.00497	0	0.41255	0.10491	0.28059	0.07829	0	0.02942
V201	0.28257	0.05353	0.04701	0.00636	0.01641	0.00546	0.13361	0.01001	0.36533	0.07973
V202	0.01779	0.30527	0.42825	0.06033	0.03618	0.00166	0.08586	0.00652	0.04929	0.00886
V203	0.01281	0.08632	0.38513	0.15858	0.03504	0.01135	0.11733	0.00158	0.15101	0.04085
V204	0.00987	0.22251	0.28792	0.24848	0.03898	0.08821	0.01727	0.05398	0.03249	0.00028
V205	0.0651	0.06371	0.02826	0.00895	0.04007	0.01267	0.65516	0.05868	0.04605	0.02135
V206	0.2947	0.01531	0.5014	0.04796	0.03479	0.00185	0.01527	0.00276	0.02934	0.05662
V207	0.0116	0.15971	0.03441	0.05756	0	0.00424	0.02307	0.00128	0.12431	0.58382
V208	0	0	0.04448	0.03308	0.04079	0.7658	0.0843	0.00783	0.02321	0.00051
V209	0.0276	0.17282	0.07393	0.00516	0.66497	0.00701	0.01465	0.00072	0	0.03315
V210	0.05449	0.14297	0.05983	0.00133	0.55493	0.00996	0.03115	0.10072	0.00288	0.04173
V211	0.01538	0.07613	0.61061	0.04919	0.03745	0.01103	0.0781	0.03166	0.06786	0.02258
V212	0.12522	0.10225	0.04931	0	0.02656	0.0164	0.05254	0.34404	0.27682	0.00686
V213	0.12115	0.02903	0.0204	0.00078	0.15461	0.5672	0.08361	0.01139	0	0.01183
V214	0	0.06267	0	0.00396	0.25107	0.02679	0.51947	0.0064	0	0.12963
V215	0	0	0.012	0.01238	0.03326	0.00107	0.89865	0.01229	0	0.03035
V216	0	0.70362	0.02075	0.00416	0.22529	0.0012	0.0156	0.01145	0	0.01791
V217	0.01696	0.24222	0.0569	0.06427	0.16767	0.23827	0.04119	0.0386	0.00454	0.12938
V218	0.0286	0	0.01629	0	0.03014	0.58284	0.27892	0.00819	0	0.05502
V219	0.00293	0	0.04455	0.04673	0.02953	0.0244	0.15967	0.69219	0	0
V220	0.01385	0.02663	0.11502	0.36014	0.02594	0.00965	0.0108	0.06345	0.35959	0.01493
V221	0.16544	0.10908	0.31574	0.03335	0.01771	0.00465	0.04475	0.06523	0.12002	0.12402
V222	0.02896	0.00722	0.65936	0.0518	0.03005	0.16102	0.02258	0.00169	0.03259	0.00472
V223	0.01931	0.00861	0.68017	0.05522	0.03745	0.0729	0.07959	0.00162	0.03565	0.0095
V224	0.01834	0.01877	0.61699	0.09337	0.02893	0.01458	0.01335	0.06133	0.12436	0.01
V225	0.02032	0.00953	0.36725	0.30263	0.02249	0.02543	0.02288	0.19178	0.02555	0.01214
V226	0	0.75569	0.02898	0.00213	0.06576	0.005	0.02405	0.11796	0	0.00043
V227	0.01501	0.05523	0.59568	0.0557	0.21544	0.00267	0.00878	0.00094	0.03624	0.0143
V228	0.0112	0.64116	0.08971	0.01237	0.04925	0.00504	0.02435	0.11577	0.03778	0.01336
V229	0.65773	0.01165	0.0267	0.00927	0.00979	0.21454	0.05028	0.02003	0	0
V230	0.00999	0	0.05914	0.27837	0	0.00763	0.13063	0.00376	0.01911	0.49138
V231	0.02367	0.30657	0.0548	0.01344	0.03619	0.12401	0.02336	0.00802	0.37869	0.03124
V232	0.01377	0.38688	0.40618	0.03277	0.04242	0.0108	0.0124	0.05906	0.02071	0.01502
V233	0	0.14853	0.0099	0.02519	0.59953	0.01126	0.01584	0.00023	0.14895	0.04057
V234	0.00843	0.05566	0.02232	0	0.23184	0.00783	0.30761	0.34329	0	0.02302
V235	0.02445	0.02152	0.43255	0.02594	0.02274	0.01372	0.05664	0.36174	0.01596	0.02475
V236	0.0095	0.01728	0.25268	0.21945	0.03533	0.38846	0.05172	0.00443	0.02114	0
V237	0.03473	0.07614	0.3748	0.14203	0.26603	0.03369	0.01321	0.02589	0.02294	0.01055
V238	0.0077	0.05799	0.36405	0.01959	0.0489	0.01509	0.05371	0.41115	0.01067	0.01114
V239	0.03567	0.17777	0.09579	0.41163	0.03918	0.02466	0.04314	0.00254	0.02189	0.14774
V240	0.07095	0	0.02339	0.00309	0.0321	0.2495	0.56311	0.00928	0	0.04859
V241	0.23978	0.01988	0.11575	0.50006	0.03083	0.03395	0.00553	0.02348	0.02242	0.00833
V242	0.0215	0.01104	0.09416	0.04784	0.03229	0.02732	0.01503	0.00057	0.71458	0.03567
V243	0.02009	0.00725	0.0718	0.124	0.0085	0.09564	0.08229	0.00168	0.41234	0.17642
V244	0.03382	0.00082	0.34331	0.03937	0.02934	0	0.47495	0.03864	0.02029	0.01945
V245	0.16119	0.13862	0.17049	0.00688	0.02779	0.41359	0.06095	0.0205	0	0
V246	0	0.22606	0.01443	0.01041	0.04675	0	0.65764	0.00815	0.01221	0.02436
V247	0.02181	0.02927	0.76666	0.06543	0.0303	0.00394	0.00719	0.00126	0.05139	0.02277
V248	0.53292	0.06821	0.04732	0.01105	0.03329	0.0145	0.16951	0.1232	0	0
V249	0.02686	0.02571	0.61174	0.05162	0.07821	0.00334	0.00989	0.00102	0.04211	0.14951
V250	0.01803	0.06022	0.07407	0.24497	0.0398	0.2908	0.0698	0.18549	0	0.01683
V251	0.59101	0.17614	0.03314	0.03217	0.07676	0.00067	0.01317	0.04475	0.02561	0.00658
V252	0.05405	0.53314	0.03604	0.03182	0.0367	0.22042	0.04094	0.04216	0	0.00474
V253	0.00998	0.00812	0.38561	0.03361	0.03151	0.10176	0.02891	0.00054	0.38042	0.01954
V254	0	0.17338	0.00111	0.03412	0.66219	0.00686	0.0151	0.00051	0	0.10674
V255	0	0.18829	0	0	0.76052	0	0.02219	0.00713	0	0.02186
V256	0.02542	0.02904	0.142	0.6804	0.02178	0.0496	0.00197	0.00449	0.03299	0.01232
V257	0.4008	0.00832	0.34603	0.05418	0.01904	0.12021	0.03267	0.0038	0.01496	0
V258	0	0.15625	0	0	0.62385	0	0.02933	0.00054	0	0.19004
V259	0.08274	0.03621	0.04297	0.08118	0.17323	0.01462	0.08572	0.47285	0	0.01048
V260	0	0.24451	0.04028	0	0.0297	0.02161	0.06363	0.60027	0	0
V261	0.22825	0.01879	0.02118	0.00329	0.02978	0.25607	0.38482	0.0077	0.02085	0.02927
V262	0	0.45323	0.09905	0.00819	0.04122	0.30617	0.0403	0.01275	0	0.0391
V263	0.42598	0.39815	0.02503	0.01196	0.03506	0.0047	0.04871	0.00272	0.00041	0.04729
