HD30_PBMC_0	HD30_PBMC_1	HD30_PBMC_3	HD30_PBMC_7	HD31_PBMC_0	HD31_PBMC_1	HD31_PBMC_3	HD31_PBMC_7
ABCB1	11.74453821	9.3487100745	11.32947965875	11.23919774875	9.77849174425	9.62043546	9.23526466175	10.87144099625
ABCB10	16.31665593	15.09090211125	16.66957160875	14.72405115125	16.03487205125	17.286819345	15.8583553425	16.36298155625
ABCB11	0.025078178	0.05133412525	0	0	0.009997140625	0.027822482375	0.092622334375	0
ABCB4	1.33775839225	1.018942866125	1.1841655635	1.540561350875	1.658941510875	1.39785327725	1.30476551025	1.23031178725
ABCB5	9.238015904	8.031830162	8.29610019175	6.337866848625	9.11501229625	9.854571728625	7.532958852875	7.88235283525
ABCB6	5.750354718625	6.2289053225	5.69712678925	7.21575770675	5.453343672875	5.151636250375	7.111853097625	6.08403288475
ABCB7	25.0947806575	24.412804275	24.971152175	26.10115134	25.35551855625	27.7487782475	26.2972771425	25.4034159725
ABCB8	32.297714955	35.928987785	31.4991210975	35.37264787625	30.67795748875	30.70264787	27.877947695	35.75635272375
ABCB9	6.063410623125	5.618705442875	5.116793255125	6.260583430375	4.93467862575	5.200703087	5.820277959375	6.149798002125
ABCC1	39.95243818875	40.7529955175	40.5199995175	44.0206750575	32.753838745	32.93522388625	35.2456110875	33.26138574
ABCC10	26.17201184375	29.05104689125	26.08061214125	27.7487782475	22.5271609475	23.57446752125	24.92328465125	26.355876505
ABCC11	0	0.040643795125	0.135390847875	0	0.02787108175	0.100155202375	0	0.054202945625
ABCC12	0	0	0	0	0	0	0	0
ABCC13	0.595301552	0.796129917875	0.8193713415	0.5869263675	0.624602190125	0.61175915825	0.418437318125	0.4902488355
ABCC2	2.244482741625	1.8082642135	1.9804981425	2.2941933995	1.952458428875	1.39892134675	1.97070424525	2.487897884625
ABCC3	30.00042634375	26.8166028875	22.73149139125	21.45927997	19.1558353075	16.61856788625	16.6741541075	15.8891784
ABCC4	6.080703028125	3.903425932	5.923477022	5.622014025	5.50280591	5.821631919375	6.0313391125	5.580253364375
ABCC5	32.67397115625	29.11717858125	30.8410462775	32.56366129875	28.305483605	31.6139893975	34.50215507375	32.3346354225
ABCC6	6.713096589875	8.36491439	6.468428056125	5.494450168625	6.002765787625	6.086705690625	8.582318868	7.339625339875
ABCC6P2	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0
ABCC9	22.47193392125	19.461879895	21.9938721575	23.93203360875	24.83504390125	24.1554206875	21.79636760125	19.58952208125
ABCD1	24.02838819875	30.1808350975	20.80107822875	20.7489637275	23.50278519375	22.01332629	28.4235708475	23.3146176625
ABCD2	6.1091093605	5.051309768875	7.411942256	6.891722356375	7.834018580625	9.3514430175	8.754778010375	7.318653433625
ABCD3	23.4370927525	20.3897134425	22.94752703375	22.54092581375	24.23499672	24.25483742	22.79415032125	25.0861611225
ABCD4	42.85092248125	43.79231341125	42.76553116	49.8363636875	41.64735411375	38.30756958625	44.13639800875	45.41496221375
ABCE1	28.46482262875	23.740005	34.78986090125	29.271496825	32.0853973425	34.33572008875	33.8355139075	29.67770214875
ABCF1	50.31005979875	50.04468757125	49.298952085	51.7772528225	48.5993889675	44.39750935	50.12892449	52.98090907625
ABCF2	31.7157465375	35.674917	33.73366347125	37.45662575875	33.1005295575	33.87703109125	35.136565395	35.7641524925
ABCF3	48.89720271625	54.9471669275	48.3918634025	55.8168652075	48.69179665625	49.43978809125	48.92310795625	56.64609046625
ABCG1	13.405833795	17.24504112125	15.55602578875	15.73868661125	16.8999936925	16.29125381125	21.53141184	18.20817714875
ABCG2	0.329958336	0.501813978125	0.347149972625	0.230593420625	0.51751730675	1.414442907125	0.475790975125	0.527028363625
ABCG4	0.0224515365	0	0	0.0215975675	0	0	0.0841459245	0
ABCG5	0.294691831625	0.2921164875	0.425981399625	0.239505464625	0.34104666275	0.617285028	0.441252917375	0.493897057625
ABCG8	0	0	0	0.029985080625	0	0	0	0
ABHD1	6.039734707875	5.15645401475	5.630468619125	5.19321168725	5.26309706375	5.603382155875	5.757738825	5.019367522625
ABHD10	20.41186151375	17.9115062125	17.82993003625	16.4116338125	18.61417895875	18.23735797125	20.24213136875	19.3656877675
ABHD11	26.009248625	28.128244715	25.0861611225	22.85607773125	24.98778424125	21.41759871375	23.6131398225	23.8449534275
ABHD12	26.84405928875	27.98916395375	26.23433697625	27.1689884925	27.3490871825	29.1349042875	29.18039604625	32.018727215
ABHD12B	3.021660786125	2.65716645825	2.10253944725	3.32387782125	3.294076835625	2.820379286875	2.664175077375	3.225394290125
ABHD13	12.6864188775	11.2020968725	14.02325599	12.1791057175	14.53336981625	16.79554822125	13.30256633375	13.0289600975
ABHD14A	19.1406505275	25.81956946	21.81380408875	24.79172598375	23.7878453275	22.44797100625	27.75293498125	25.59807628625
ABHD14B	58.5802423075	56.027277515	59.73317715875	64.36546735625	57.58326825625	67.90900599125	74.7053713525	70.17634159
ABHD15	27.710713695	32.53775656875	27.67868351375	32.3346354225	23.30092114	19.98331747875	22.88013672875	25.79536875875
ABHD16A	71.1435999875	69.44460425875	66.13009770375	62.69455668	69.72765124125	60.90592144625	64.85319072125	66.62279463375
ABHD16B	11.44571923875	14.35264322375	10.0819534405	11.5368461825	11.24312762625	11.24637172625	12.68004334625	12.78975512375
ABHD17A	258.8249647	300.4379604375	255.9782506375	265.167075225	233.8804194125	199.31627305	231.2257758625	260.85631275
ABHD17B	16.60893029875	14.37085277375	16.0101150575	14.67097725375	13.6360211	13.16836242375	15.942211535	18.32625699125
ABHD17C	1.61002690575	2.067832060125	1.8780262025	2.159327347875	1.659765555875	2.08655851025	1.9623109085	2.058983988625
ABHD18	25.20899776	20.2145087875	21.84986466375	21.4297047175	25.6672422125	22.33483951875	20.81136904125	21.76462179875
ABHD2	35.26781228375	34.25870668125	32.40085714	30.811022255	35.9346662425	36.075840235	35.23529884625	35.5316559175
ABHD3	58.1483538125	55.8168652075	56.341141275	56.3777547775	67.95580847875	67.70872287875	57.0017659225	56.127845355
ABHD4	16.78152950375	18.58752559	17.21441307125	17.62180973	17.4246657475	16.68198353875	17.13466434625	17.8339402525
ABHD5	9.774947446875	10.037118990625	8.644549456875	9.462981932	11.78418434875	11.67439696625	9.8930936285	8.611706186375
ABHD6	6.650063223125	8.888369536	6.746601373625	6.315997788125	6.101223590625	6.762993241125	7.241209747375	7.124732378375
ABHD8	9.946891699125	15.0444911275	10.82845964125	9.71284370975	10.251542723875	11.04422298	12.73123537	13.7864455375
ABI1	56.27257109875	50.691379295	56.7983919	52.31684111375	57.5470903875	59.49854056375	52.76324059125	54.0441272125
ABI2	12.42597545125	11.12212513125	13.20336375875	13.38547323	11.13602835125	12.08459485125	13.429723725	12.57705007375
ABI3	98.41181484625	122.088910225	81.7258804475	84.7013004675	60.66191137875	57.52479325875	62.81322449875	64.45016160125
