"gene_symbol","Monocytes","Neutrophils","B_cells","NK_cells","T_cells_CD4.","Macrophages",,,,,,,,,,,"Plasma_cells_CD138.","Platelets","Reticulocytes","Subcutaneous_Adipose","T_cells_CD3.",,"T_cells_CD8.","T_cells_Gamma_Delta","T_cells_Regulatory","Vascular_Endothelial_Cells"
"ABCG4",30.569841,31.854736,28.206721,27.029601,28.826161,30.371121,,,,,,,,,,,29.964676,36.687249,44.702596,27.206656,30.991489,,27.699169,28.037025,30.349081,28.6225
"ABCG5",15.085456,16.883881,14.853316,15.038884,15.139881,15.713296,,,,,,,,,,,17.081689,15.634116,19.695844,12.369289,14.508481,,14.9769,16.353936,15.389929,14.876449
"ABCG8",18.774889,19.8916,18.498601,18.645124,18.386944,18.905104,,,,,,,,,,,17.816841,19.474569,22.127616,16.112196,18.558864,,18.619225,17.497489,18.783556,17.514225
"ABHD1",24.980004,26.450449,23.107249,22.024249,24.571849,24.810361,,,,,,,,,,,28.987456,26.543104,34.786404,23.658496,25.371369,,23.941449,23.213124,25.623844,22.648081
"ABHD10",48.650625,34.187409,56.430144,55.145476,59.969536,58.614336,,,,,,,,,,,53.421481,39.4384,41.744521,55.457809,52.5625,,53.597041,67.634176,55.026724,57.093136
"ABHD11",37.356544,36.300625,34.035556,35.153041,33.721249,38.502025,,,,,,,,,,,38.303721,35.307364,43.705321,34.727449,33.0625,,33.918976,42.198016,32.9476,36.554116
"ABHD12",49.575681,32.126224,39.000025,42.159049,41.319184,70.576801,,,,,,,,,,,48.288601,32.798529,35.748441,46.049796,41.293476,,41.203561,59.197636,40.691641,58.033924
"ABHD12B",11.370384,12.823561,11.404129,10.969344,11.262736,11.343424,,,,,,,,,,,11.115556,12.152196,12.545764,10.660225,11.256025,,11.202409,11.296321,12.166144,11.035684
"ABHD13",36.529936,42.784681,36.675136,44.023225,38.130625,26.440164,,,,,,,,,,,21.086464,21.150801,11.0889,25.070049,29.365561,,34.81,36.905625,40.208281,26.368225
"ABHD14A",39.677401,36.024004,47.306884,52.794756,57.820816,47.210641,,,,,,,,,,,81.7216,42.994249,48.930025,62.615569,57.471561,,58.6756,64.464841,55.517401,49.252324
"ABHD14B",52.649536,32.993536,65.367225,53.363025,64.416676,54.626881,,,,,,,,,,,67.190809,43.930384,44.609041,74.011609,61.716736,,66.650896,70.913241,57.486724,63.489024
"ABHD15",33.64,22.524516,46.158436,56.7009,40.132225,38.489616,,,,,,,,,,,28.761769,23.493409,22.316176,45.859984,37.908649,,44.315649,55.606849,34.798201,33.327529
"ABHD2",54.302161,82.210489,34.433424,57.729604,39.551521,62.031376,,,,,,,,,,,44.742721,31.259281,28.6225,38.452401,40.678884,,40.870449,46.362481,37.589161,49.900096
"ABHD3",75.707401,93.528241,78.180964,87.104889,88.266025,84.143929,,,,,,,,,,,80.802121,64.384576,16.81,62.647225,78.783376,,78.872161,96.668224,92.332881,42.458256
"ABHD4",38.044224,49.028004,33.396841,37.564641,34.869025,45.225625,,,,,,,,,,,32.798529,68.873401,39.112516,38.912644,31.843449,,33.547264,35.7604,33.7561,46.9225
"ABHD5",36.747844,68.2276,24.373969,29.855296,24.6016,36.808489,,,,,,,,,,,23.746129,32.649796,23.107249,36.6025,25.613721,,26.357956,33.315984,29.106025,29.474041
"ABHD6",35.0464,22.401289,31.214569,24.542116,25.816561,38.390416,,,,,,,,,,,26.234884,29.322225,25.684624,36.990724,27.688644,,26.409321,35.545444,23.193856,38.638656
"ABHD8",29.506624,27.112849,27.206656,23.377225,26.759929,29.833444,,,,,,,,,,,28.281124,24.216241,38.328481,25.674489,30.096196,,25.613721,28.121809,27.384289,29.855296
"ABI1",55.785961,58.798224,57.532225,57.244356,54.361129,56.957209,,,,,,,,,,,45.265984,57.744801,13.220496,48.135844,52.099524,,55.8009,50.6944,54.730404,49.477156
"ABI2",38.378025,33.732864,40.094224,46.936201,46.840336,39.112516,,,,,,,,,,,48.986001,55.234624,38.539264,43.243776,44.836416,,45.778756,48.692484,46.444225,54.184321
