gene_symbol,ACD,ACN,ALO,ATD,BCC,BU,CHA,DLE,ENL,ICD,LL,MEL,MF,NS,PS,RR,SAR,SCC,SJS,WA,WPO
PLCL1,18.617,27.217,27.220,19.955,15.450,15.578,18.592,20.900,23.350,10.964,78.671,21.350,36.143,20.198,19.862,54.993,79.370,14.690,13.810,49.550,33.495
PLCL2,79.111,77.213,27.667,37.052,25.669,50.178,129.311,40.510,157.622,24.076,227.514,47.021,193.335,50.182,50.277,136.414,240.860,27.553,200.553,110.450,89.952
PLCXD1,88.883,171.594,130.970,186.025,154.547,182.344,140.433,152.629,73.983,647.236,75.379,113.925,97.475,158.850,304.130,102.986,182.123,220.410,102.440,99.067,110.973
PLCXD2,22.322,33.985,18.320,29.757,29.960,24.011,41.358,22.636,45.208,121.418,74.882,32.375,57.400,27.655,28.465,62.821,56.790,35.315,69.650,25.150,27.541
PLCXD3,16.578,22.915,12.810,19.920,19.147,15.139,15.783,11.821,20.742,20.241,22.804,24.514,18.659,20.014,15.790,25.100,18.393,19.015,16.710,35.650,20.305
PLCZ1,9.811,9.287,9.260,9.323,9.367,9.822,9.333,9.157,10.533,10.036,10.621,9.521,9.591,9.125,9.098,9.343,11.740,9.580,12.280,10.200,9.800
PLD1,74.022,65.050,57.809,121.421,49.831,99.703,93.776,48.773,62.364,134.140,71.656,62.029,54.244,113.853,98.541,60.304,123.508,87.286,50.680,43.660,70.375
PLD2,203.678,161.806,111.600,214.627,166.333,262.033,152.833,142.686,138.167,208.518,137.729,152.564,166.305,164.589,228.836,157.086,112.793,186.940,202.880,155.283,176.773
PLD3,324.667,390.809,214.840,324.645,584.647,505.511,116.050,168.686,48.250,424.691,1177.657,479.129,735.227,392.789,359.460,515.929,328.387,387.010,1342.300,271.417,268.773
PLD4,31.600,29.584,34.310,24.589,23.743,26.611,25.358,34.200,25.400,30.073,23.989,27.529,34.068,23.623,28.591,25.957,22.920,27.155,48.440,25.733,25.750
PLD5,11.167,11.741,8.260,12.023,11.173,9.767,9.717,8.586,14.617,11.191,14.871,12.643,22.355,12.579,10.296,12.114,11.360,11.010,11.280,28.150,12.682
PLD6,64.189,58.589,87.660,83.145,131.827,57.511,81.067,74.686,94.767,99.782,117.743,109.007,204.550,98.546,52.111,105.143,330.773,83.310,99.560,101.467,69.055
