Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V147	0.00934	0.04215	0.01422	0	0.1492	0.01142	0.01165	0.01744	0.43605	0.30854
V148	0.02302	0.03887	0.04395	0	0.05543	0.06671	0.05497	0	0.68689	0.03016
V149	0.04605	0.03006	0.17007	0.47322	0.01757	0.00707	0.00752	0.08486	0.14033	0.02324
V150	0.06577	0.02754	0	0	0.01563	0.0101	0.01864	0.00534	0.02654	0.83044
V151	0.01407	0	0	0	0	0.06825	0.02166	0.00045	0.00331	0.89225
V152	0.00261	0	0	0	0.01037	0.02437	0.09388	0.65895	0.02012	0.18969
V153	0	0.17173	0	0	0.69367	0.00972	0.00642	0.06998	0.00862	0.03987
V154	0.10176	0.02863	0.56224	0.24414	0.00242	0.02002	0.00079	0	0.02423	0.01576
V155	0.05898	0.00046	0.01787	0	0.02481	0.13381	0.07206	0.46281	0.21145	0.01776
V156	0.1186	0.03343	0.18278	0.01278	0.01568	0.45946	0.07335	0.02601	0.06548	0.01243
V157	0	0.47765	0.00977	0.0354	0.18513	0.22024	0.02609	0	0.02591	0.01981
V158	0.28159	0.57403	0.02181	0.01746	0.04856	0.00156	0.02415	0.02125	0.00959	0
V159	0.03851	0.10042	0.21001	0.04188	0.27462	0.03047	0.01836	0.06206	0.01355	0.21011
V160	0.01368	0.90137	0	0.01892	0.00873	2e-05	0.01506	0	0.03351	0.00872
V161	0.05672	0.02637	0.2087	0.62253	0.02091	0.0104	0	0	0.03359	0.02078
V162	0.00068	0	0	0	0	0.00385	0.01889	0.00153	0.00906	0.96599
V163	0.12452	0.02435	0.68382	0.06402	0	0.02106	0.00723	0.00814	0.02518	0.04168
V164	0.0441	0.01603	0.75282	0.07771	0	0.02117	0.01772	0	0.03443	0.03603
V165	0.02063	0	0.23747	0.02454	0	0.00469	0.00985	0.00705	0.01652	0.67925
V166	0.09252	0.1267	0.15139	0.43013	0.00667	0.01218	0.02033	0.0487	0.05228	0.05911
V167	0.82072	0.02541	0.07189	0.00893	0.01747	0.00312	0.00625	0.00383	0.04238	0
V168	0.0668	0.02134	0.01616	0	0.02138	0.31317	0.08026	0.30292	0.15057	0.0274
V169	0.01579	0	0.02537	0.10466	0	0.17071	0.02488	0.00808	0.00017	0.65034
V170	0.02527	0.01736	0.05189	0	0.06094	0.01428	0.01284	0	0.78318	0.03423
V171	0.01633	0.01034	0.24311	0.0552	0.03812	0.40833	0.08617	0.03333	0.08797	0.0211
V172	0	0.01833	0.01978	0.00175	0.03372	0.15511	0.70544	0.00736	0.02658	0.03194
V173	0.01042	0	0	0	0	0.01307	0.52008	0.00212	0.01877	0.43554
V174	0.03591	0.11063	0.26606	0.29309	0.10275	0.0278	0.00932	0.00324	0.01719	0.13401
V175	0.7577	0.02451	0.15635	0.01475	0.01448	0.0027	0.02269	0.00681	0	0
V176	0.1907	0.00637	0.02305	0	0.02521	0.66807	0.06622	0	0.01861	0.00178
V177	0.66138	0.01865	0.06767	0.06963	0	0.0024	0.00595	0.01227	0	0.16204
V178	0.20377	0.01473	0.02777	0.00652	0.05449	0.56694	0.06369	0	0	0.06209
V179	0.16709	0.14838	0	0.00187	0.62179	0.00596	0	0	0.00734	0.04757
V180	0.48556	0.13545	0.11763	0.22545	0.0134	0.00788	0.00732	0	0.00732	0
V181	0.03083	0.17553	0.56964	0.05676	0.01894	0.01079	0.07974	0	0.02508	0.0327
V182	0.00248	0.07483	0.00076	0.00684	0.35199	0.04631	0.0478	0.37371	0.0603	0.03499
V183	0.05061	0.19244	0.14524	0.43679	0.01079	0.00865	0.13009	0	0.01665	0.00873
V184	0.18744	0.00895	0.01823	0	0	0.52209	0.05842	0.01979	0	0.18509
V185	0.61672	0.02021	0.10179	0.12673	0.01517	0.00401	0.00977	0.06262	0.03893	0.00408
V186	0.76991	0.03174	0.08656	0.07154	0.0151	0.00222	0.01559	0.00735	0	0
V187	0.69867	0.02093	0.15066	0.01765	0.00616	0.00319	0.01197	0.00705	0.0395	0.04422
V188	0.08301	0.24044	0	0.04875	0.5324	0.00652	0.01308	0.00215	0.01614	0.0575
V189	0.78459	0.02377	0.08264	0.05287	0.00798	0.0144	0.0073	0.00763	0	0.01881
V190	0.00744	0.04173	0.03403	0	0.12617	0.12075	0.01923	0	0.62099	0.02965
V191	0.03813	0.09143	0.12562	0.27119	0.35977	0.00511	0.04382	0.01001	0.01451	0.04042
V192	0.002	0.04664	0	0	0.10413	0.01145	0.01143	0.00927	0.0076	0.80747
V193	0.12003	0.04603	0.23102	0.23464	0.11995	0.00403	0.14158	0.04784	0.02407	0.0308
V194	0	0	0.0134	0	0.02267	0.72165	0.23866	0.00362	0	0
V195	0.03567	0.05461	0.01599	0	0.09322	0.1339	0.58744	0.03321	0.00526	0.0407
V196	0.7213	0.0312	0.10164	0.12835	0.00847	0.00201	0.00346	0.00226	0	0.0013
V197	0.03308	0.02215	0.07779	0.14769	0.04257	0.01716	0.0645	0.36792	0.21793	0.00922
V198	0	0.12516	0	0	0.50793	0.24803	0.04274	0	0.04491	0.03123
V199	0.02796	0.07096	0.02802	0.01247	0.17688	0.01042	0.14038	0	0.01016	0.52275
V200	0	0.08427	0	0	0.4055	0.11924	0.27135	0.0716	0.00049	0.04755
V201	0.25627	0.05614	0.04453	0	0.03111	0.0075	0.11668	0.00546	0.40596	0.07635
V202	0.03518	0.30948	0.42751	0.06652	0.00253	0.00288	0.08377	0	0.05556	0.01658
V203	0.03106	0.08779	0.38442	0.14285	0.01908	0.01279	0.10656	0	0.16624	0.04922
V204	0.03176	0.22635	0.30223	0.23135	0.01329	0.09167	0.01648	0.04341	0.03609	0.00737
V205	0.06519	0.065	0.02538	0.002	0.03228	0.0152	0.64195	0.05107	0.07233	0.0296
V206	0.29675	0.0215	0.52026	0.04948	0.01435	0.00441	0.00977	0	0.01756	0.06593
V207	0.02286	0.15985	0.01431	0.04729	0	0.00487	0.01594	0	0.15109	0.5838
V208	0.00392	0.00484	0.03953	0.02612	0.03035	0.7626	0.07695	0	0.04761	0.00808
V209	0.03598	0.16509	0.05921	0.00465	0.65302	0.01454	0	0	0.01331	0.0542
V210	0.06155	0.13619	0.04256	0	0.54198	0.01834	0.0174	0.09378	0.02773	0.06047
V211	0.03457	0.0801	0.60902	0.05585	0.00901	0.01366	0.07277	0.02109	0.06874	0.03518
V212	0.11727	0.09889	0.02843	0	0.03121	0.01678	0.05363	0.31627	0.32835	0.00917
V213	0.12425	0.03065	0.01487	0	0.144	0.59232	0.07042	0.00102	0	0.02247
V214	0	0.05924	0	0	0.24451	0.03328	0.51236	0	0	0.15062
V215	0	0	0.00935	0.00666	0.0242	0.00039	0.91037	0.00241	0.00489	0.04172
V216	0	0.73535	0	0.01122	0.18758	0.00225	0.01882	0.00181	0.0221	0.02087
V217	0.02914	0.24401	0.04214	0.0585	0.14808	0.25241	0.03282	0.03018	0.0205	0.14223
V218	0.03234	3e-05	0.008	0	0.02131	0.60249	0.26974	0	0	0.06609
V219	0.00887	0	0.0294	0.03165	0.02424	0.02631	0.17374	0.68029	0.02407	0.00143
V220	0.03288	0.02989	0.1297	0.29406	0.03512	0.00989	0.00893	0.04932	0.39175	0.01845
V221	0.16853	0.11116	0.3109	0.02898	0.00655	0.0067	0.04035	0.05838	0.13807	0.13037
V222	0.04816	0.01325	0.65778	0.05828	0.00036	0.16446	0.01724	0	0.02271	0.01775
V223	0.03917	0.01433	0.68133	0.06242	0.00682	0.076	0.07167	0	0.0249	0.02336
V224	0.03841	0.02364	0.61049	0.09175	0.00704	0.01671	0.01093	0.04902	0.13006	0.02196
V225	0.04244	0.01302	0.39071	0.27473	0.00434	0.02691	0.02266	0.17887	0.0237	0.02262
V226	0.00433	0.78598	0	0.0107	0.02132	0.00418	0.03469	0.11396	0.02484	0
V227	0.03417	0.0556	0.59826	0.06183	0.18077	0.00665	0.00027	0	0.03228	0.03018
V228	0.02344	0.65507	0.06092	0.01968	0.01208	0.0048	0.03237	0.1114	0.06638	0.01385
