B_cells	NK_cells	T_cells_CD4.	Monocytes
V302	0.66547	0.32061	0	0.01391
V303	0	0.61514	0.37086	0.014
V304	0.03462	0.05393	0.7539	0.15756
V305	0.11165	0.19026	0.46243	0.23565
V306	0.81984	0.0881	0.03303	0.05903
V307	0.0201	0.94128	0.018	0.02062
V308	0.22546	0.25472	0.29519	0.22464
V309	0.34734	0.33182	0.00938	0.31147
V310	0.07693	0.3463	0.15886	0.41791
V311	0.5276	0.4674	0	0.005
V312	0.09815	0.74351	0.14701	0.01133
V313	0	0.11672	0.02847	0.85481
V314	0.00299	0.51661	0.11744	0.36295
V315	0.12422	0.64384	0.0336	0.19834
V316	0.30544	0.15607	0.38138	0.1571
V317	0.08848	0.7155	0.04701	0.14901
V318	0.03394	0.5917	0.00513	0.36923
V319	0.03266	0.09755	0.83277	0.03703
V320	0.05949	0.17965	0.64245	0.11841
V321	0.65404	0.34596	0	0
V322	0.20246	0.3445	0.06788	0.38516
V323	0.08029	0.01279	0.10689	0.80003
V324	0.6679	0.25587	0.05548	0.02075
V325	0.30922	0.64133	0.04945	0
V326	0	0.59407	0.09505	0.31088
V327	0.02074	0.16121	0.11823	0.69982
V328	0.02271	0.05454	0.75553	0.16722
V329	0.18406	0.12299	0.17902	0.51393
V330	0.39906	0.00557	0.33795	0.25743
V331	0.3726	0.08609	0.03619	0.50513
V332	0.00696	0.05305	0.20486	0.73513
V333	0.42092	0.08717	0.38178	0.11012
V334	0.36296	0.00763	0.36144	0.26797
V335	0.00317	0.37216	0.50941	0.11527
V336	0.18035	0.71101	0.0137	0.09494
V337	0.27727	0.41969	0.28704	0.016
V338	0	0.97157	0.01057	0.01787
V339	0.10233	0.02995	0.85899	0.00873
V340	0.03664	0.26287	0.52558	0.1749
V341	0.04578	0.02912	0.08354	0.84156
V342	0.23911	0.01228	0.61831	0.1303
V343	0.9608	0.00525	0	0.03395
V344	0.68398	0.15073	0.16529	0
V345	0	0.06937	0.93063	0
V346	0.23288	0.12914	0.28878	0.34921
V347	0.06332	0.00101	0.14607	0.7896
V348	0.0488	0.66941	0.15026	0.13153
V349	0.33725	0.18752	0.37596	0.09926
V350	0.01528	0.80948	0.17524	0
V351	0.00325	0.04205	0.42508	0.52962
V352	0.02076	0.05077	0.85042	0.07805
V353	0.89235	0.00915	0.01672	0.08179
V354	0.0382	0.70267	0.2289	0.03023
V355	0.26845	0.09435	0.4594	0.17779
V356	0.05466	0.01529	0.11693	0.81312
V357	0.10397	0.36114	0.28171	0.25318
V358	0.55935	0.10255	0.03691	0.3012
V359	0.59747	0.0477	0.01535	0.33948
V360	0.55622	0.42781	0.00404	0.01192
V361	0	0.47216	0.52784	0
V362	0	0.96482	0.02054	0.01465
V363	0.16005	0.14297	0.47031	0.22666
V364	0.14149	0.09137	0.67529	0.09186
V365	0.29983	0.01239	0.00321	0.68457
V366	0.07521	0.69581	0.08909	0.1399
V367	0.58655	0.1273	0	0.28615
V368	0.08727	0.7394	0.08798	0.08535
V369	0	0.42939	0.57061	0
V370	0.28658	0.29943	0.39675	0.01724
V371	0.19037	0.72517	0.02482	0.05965
V372	0.18265	0.05253	0.13154	0.63328
V373	0.06474	0.16921	0.47941	0.28665
V374	0.79871	0.00554	0.19574	0
V375	0.05553	0.03827	0.16112	0.74509
V376	0.05281	0.02787	0.115	0.80433
V377	0.80369	0	0	0.19631
V378	0	0.0427	0.43268	0.52461
V379	0.35527	0.20224	0	0.44249
V380	0.1606	0.08015	0.21274	0.5465
V381	0.75152	0	0.07987	0.16861
V382	0.05711	0.06821	0.86772	0.00696
V383	0.85044	0	0.02439	0.12516
V384	0.56326	0.07617	0.12598	0.23459
V385	0.86631	0.00133	0.06021	0.07214
V386	0.32269	0.00083	0.15589	0.52059
V387	0.579	0.15596	0.18139	0.08365
V388	0.36813	0.34574	0.14137	0.14476
V389	0.41853	0.52241	0	0.05906
V390	0.2802	0.27823	0.44157	0
V391	0.44337	0.10437	0	0.45226
V392	0.41847	0.23619	0.1604	0.18494
V393	0.26852	0.25389	0.34174	0.13585
V394	0.09801	0.24887	0.12001	0.53311
V395	0.21323	0.41323	0.20124	0.17229
V396	0.0093	0.95414	0.00796	0.0286
V397	0.78093	0.08263	0.08895	0.04748
V398	0.45467	0.1418	0.09051	0.31302
V399	0.18809	0.56569	0.15196	0.09426
V400	0	0.61412	0.06486	0.32101
V401	0.00911	0.19629	0.72016	0.07444
V402	0.81858	0.16502	0.0164	0
V403	0.0458	0.01703	0.09414	0.84303
