mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V217	0.02531	0.04007	0.03905	0.7925	0.10307
V218	0.07113	0.23805	0.26288	0.33842	0.08953
V219	0.11074	0.30798	0.33688	0.21581	0.02857
V220	0.17431	0.63101	0.09648	0.07195	0.02625
V221	0.04725	0.19205	0.42131	0.07662	0.26277
V222	0.04068	0.0728	0.02781	0.14717	0.71154
V223	0.39611	0.13108	0.27083	0.16511	0.03687
V224	0.04875	0.49448	0.06097	0.15118	0.24462
V225	0.54809	0.21707	0.13137	0.07121	0.03225
V226	0.39061	0.46521	0.03789	0.07439	0.03189
V227	0.09155	0.24512	0.03272	0.56981	0.06081
V228	0.4408	0.13951	0.23919	0.12797	0.05253
V229	0.21914	0.38877	0.24995	0.09871	0.04344
V230	0.04079	0.06573	0.02775	0.14857	0.71717
V231	0.06511	0.53378	0.09307	0.22101	0.08702
V232	0.60394	0.11977	0.1707	0.07722	0.02838
V233	0.06508	0.10869	0.15196	0.17317	0.5011
V234	0.02851	0.36224	0.2116	0.35321	0.04443
V235	0.73645	0.09202	0.02244	0.11175	0.03733
V236	0.07257	0.17365	0.49852	0.19893	0.05633
V237	0.11188	0.16066	0.24273	0.32487	0.15986
V238	0.02883	0.06053	0.0258	0.35047	0.53437
V239	0.069	0.37873	0.07738	0.23121	0.24367
V240	0.06928	0.72506	0.05764	0.08369	0.06433
V241	0.05817	0.79127	0.05405	0.0696	0.0269
V242	0.04099	0.33279	0.27488	0.28436	0.06698
V243	0.36678	0.13535	0.28296	0.09227	0.12265
V244	0.03879	0.39617	0.19946	0.14032	0.22526
V245	0.05449	0.76159	0.07539	0.08884	0.01969
V246	0.49034	0.27574	0.05366	0.08421	0.09607
V247	0.15369	0.22999	0.48025	0.09425	0.04182
V248	0.09426	0.53861	0.06261	0.08748	0.21704
V249	0.21276	0.15187	0.19755	0.16122	0.2766
V250	0.02835	0.19426	0.51574	0.08523	0.17642
V251	0.18498	0.08541	0.09757	0.5584	0.07363
V252	0.03139	0.23155	0.45266	0.17312	0.1113
V253	0.2526	0.49776	0.1101	0.10601	0.03352
V254	0.42725	0.35221	0.03137	0.14987	0.0393
V255	0.63824	0.14076	0.02183	0.10594	0.09324
V256	0.04739	0.66451	0.06171	0.08123	0.14515
V257	0.35548	0.31025	0.15081	0.10151	0.08195
V258	0.14391	0.29843	0.07187	0.448	0.0378
V259	0.41685	0.29631	0.17486	0.07175	0.04023
V260	0.22652	0.1116	0.11558	0.16308	0.38322
V261	0.02958	0.15726	0.42114	0.28188	0.11014
V262	0.69049	0.11045	0.06585	0.09545	0.03776
V263	0.61441	0.14021	0.03408	0.17873	0.03257
V264	0.07147	0.74446	0.05887	0.10478	0.02042
V265	0.62636	0.15594	0.08726	0.09537	0.03508
V266	0.03539	0.07855	0.09775	0.14026	0.64804
V267	0.0638	0.06466	0.02558	0.24578	0.60018
V268	0.17003	0.39666	0.15418	0.21903	0.06009
V269	0.08034	0.34216	0.31854	0.21332	0.04564
V270	0.05774	0.04851	0.04591	0.80445	0.0434
V271	0.20305	0.60918	0.05102	0.09094	0.04582
V272	0.1017	0.69542	0.07043	0.08155	0.0509
V273	0.23835	0.10367	0.16876	0.34227	0.14696
V274	0.09595	0.09797	0.05605	0.26863	0.48139
V275	0.04822	0.60636	0.17481	0.13971	0.03091
V276	0.0199	0.18135	0.53369	0.22521	0.03987
V277	0.27359	0.17083	0.45456	0.05896	0.04205
V278	0.01825	0.13724	0.29611	0.42921	0.1192
V279	0.13459	0.04943	0.02991	0.70636	0.07971
V280	0.17037	0.07248	0.05226	0.59523	0.10966
V281	0.03755	0.21795	0.06169	0.63994	0.04287
V282	0.06649	0.78356	0.05355	0.06947	0.02693
V283	0.30391	0.09551	0.11977	0.11669	0.36412
V284	0.03264	0.24023	0.44385	0.06485	0.21843
V285	0.42269	0.40876	0.03451	0.10125	0.0328
V286	0.0696	0.21524	0.61491	0.07557	0.02468
V287	0.20569	0.13879	0.1647	0.31494	0.17588
V288	0.15938	0.17985	0.4887	0.06158	0.11048
V289	0.14165	0.21859	0.04564	0.5526	0.04152
V290	0.34761	0.41635	0.1477	0.06511	0.02323
