cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V200	0.10191	0.55027	0.01515	0.33266
V201	0.07557	0.56421	0.18406	0.17617
V202	0.01099	0.04981	0.7601	0.1791
V203	0.14387	0.43019	0.40453	0.02141
V204	0.00517	0.49427	0.00817	0.49238
V205	0.01494	0.08875	0.88049	0.01583
V206	0.03772	0.11536	0.83919	0.00774
V207	0.09643	0.15855	0.04641	0.69861
V208	0.22351	0.07716	0.68581	0.01352
V209	0.28443	0.46659	0.06034	0.18863
V210	0.06754	0.80473	0.07822	0.04951
V211	0.36177	0.02271	0.03113	0.5844
V212	0.49196	0.04803	0.43938	0.02064
V213	0.62268	0.02838	0.09811	0.25083
V214	0.29681	0.12749	0.15509	0.42061
V215	0.23603	0.08077	0.01872	0.66448
V216	0.04582	0.02839	0.04287	0.88292
V217	0.02853	0.47624	0.22609	0.26914
V218	0.07344	0.42308	0.15976	0.34371
V219	0.08312	0.63214	0.00939	0.27535
V220	0.00586	0.82716	0.0052	0.16178
V221	0.78734	0.01558	0.00512	0.19197
V222	0.29135	0.11112	0.38378	0.21375
V223	0.00435	0.13025	0.7862	0.0792
V224	0.93853	0.02808	0.03307	0.00031
V225	0.04644	0.89917	0.04864	0.00575
V226	0.28276	0.08793	0.61611	0.0132
V227	0.78116	0.01898	0.18735	0.0125
V228	0.79293	0.05419	0.05602	0.09687
V229	0.01638	0.06912	0.8907	0.0238
V230	0.01754	0.06423	0.03881	0.87942
V231	0.00893	0.2338	0.09597	0.66129
V232	0.03292	0.63338	0.00188	0.33183
V233	0.56882	0.07116	0.19494	0.16508
V234	0.02923	0.93338	0.02429	0.0131
V235	0.35232	0.06565	0.55201	0.03002
V236	0.03032	0.07768	0.81344	0.07856
V237	0.12336	0.02846	0.03485	0.81333
V238	0.11021	0.57218	0.26611	0.0515
V239	0.04602	0.35842	0.01812	0.57744
V240	0.47232	0.04394	0.43556	0.04818
V241	0.0145	0.05494	0.86382	0.06674
V242	0.11046	0.79732	0.07964	0.01257
V243	0.20648	0.05341	0.66017	0.07994
V244	0.17061	0.03943	0.70201	0.08795
V245	0.61796	0.28068	0.04236	0.05901
V246	0.04119	0.14879	0.78783	0.02219
V247	0.15024	0.06925	0.7788	0.00171
V248	0.01995	0.0585	0.05501	0.86654
V249	0.00086	0.07459	0.85757	0.06698
V250	0.75406	0.0224	0.21785	0.00569
V251	0.93369	0.05419	0.00606	0.00607
V252	0.01247	0.84472	0.14229	0.00052
V253	0.31755	0.05465	0.14968	0.47812
V254	0.00857	0.94143	0.04384	0.00616
V255	0.03685	0.92424	0.00033	0.03859
V256	0.14962	0.19152	0.56106	0.09781
V257	0.40011	0.07856	0.23104	0.29029
V258	0.15168	0.23894	0.45848	0.1509
V259	0.02352	0.27618	0.65991	0.04038
V260	0.00157	0.28625	0.70475	0.00743
V261	0.61117	0.03015	0.18843	0.17025
V262	0.07064	0.06922	0.02166	0.83848
V263	0.01719	0.96064	0.00031	0.02186
V264	0.12451	0.03886	0.42346	0.41317
V265	0.02536	0.02892	0.13495	0.81077
V266	0.62982	0.36255	0.00751	0.00013
V267	0.00033	0.1447	0.26256	0.59242
V268	0.32809	0.02608	0.12735	0.51849
V269	0.00482	0.55418	0.39093	0.05007
V270	0.64342	0.02796	0.2404	0.08822
V271	0.81475	0.05372	0.026	0.10554
V272	0.04134	0.83908	0.00906	0.11052
V273	0.04542	0.04553	0.04343	0.86561
V274	0.69715	0.0139	0.17218	0.11677
V275	0.00163	0.08842	0.89924	0.01071
V276	0.50027	0.31613	0.00797	0.17564
V277	0.02099	0.1684	0.14195	0.66867
V278	0.02132	0.05494	0.26765	0.65609
V279	0.69759	0.04692	0.09913	0.15636
V280	0.02864	0.03042	0.05702	0.88392
V281	0.51284	0.02758	0.12708	0.33251
V282	0.03927	0.07994	0.8222	0.05859
V283	0.18545	0.59022	0.05214	0.17219
V284	0.02203	0.92209	0.04992	0.00596
V285	0.07377	0.0699	0.85421	0.00212
V286	0.22553	0.56422	0.09956	0.11069
V287	0.08016	0.88927	0.00952	0.02105
V288	0.00837	0.23549	0.43098	0.32516
V289	0.26095	0.19856	0.45409	0.08641
V290	0.81075	0.1752	0.01397	8e-05
V291	0.47302	0.07087	0.44356	0.01255
V292	0.92503	0.02049	0.00064	0.05385
V293	0.26058	0.04183	0.65878	0.03881
V294	0.06409	0.32623	0.00393	0.60575
V295	0.0088	0.14464	0.17025	0.6763
V296	0.14562	0.11022	0.64988	0.09428
V297	0.05787	0.02671	0.07606	0.83935
V298	0.27309	0.10323	0.61053	0.01315
V299	0.04668	0.23819	0.01435	0.70079
V300	0.00037	0.05129	0.21324	0.73509
V301	0.09112	0.10058	0.68079	0.12751
V302	0.64602	0.34102	8e-05	0.01287
V303	0.0017	0.5967	0.37127	0.03033
V304	0.03656	0.04711	0.74223	0.17409
V305	0.08936	0.13103	0.47503	0.30458
V306	0.83179	0.07999	0.04202	0.04621
V307	0.01506	0.95935	0.01206	0.01352
V308	0.19583	0.19518	0.30298	0.30601
V309	0.2929	0.27917	0.02123	0.4067
V310	0.05191	0.26994	0.13405	0.5441
V311	0.50374	0.48623	0.00455	0.00549
V312	0.07946	0.77164	0.12788	0.02102
V313	0.00057	0.12925	0.02657	0.84361
V314	0.00899	0.43373	0.09581	0.46147
V315	0.0936	0.622	0.02843	0.25596
V316	0.27886	0.11243	0.40834	0.20037
V317	0.06546	0.70813	0.03617	0.19024
V318	0.02355	0.5151	0.01169	0.44967
V319	0.04158	0.08096	0.8465	0.03096
V320	0.05353	0.12652	0.68014	0.13981
V321	0.6203	0.37216	0.00744	9e-05
V322	0.15247	0.27969	0.06098	0.50686
V323	0.03881	0.03953	0.08746	0.8342
V324	0.67718	0.24216	0.06064	0.02002
V325	0.28738	0.66049	0.04676	0.00538
V326	0.00121	0.52342	0.07706	0.39831
V327	0.01036	0.12476	0.09217	0.77271
V328	0.0293	0.04749	0.73877	0.18444
V329	0.12532	0.08708	0.15072	0.63689
V330	0.33718	0.0211	0.33234	0.30938
V331	0.28375	0.06998	0.03702	0.60925
V332	0.00514	0.05699	0.16848	0.76939
V333	0.39801	0.06491	0.40812	0.12896
V334	0.30143	0.02252	0.35469	0.32135
V335	0.01482	0.30544	0.53597	0.14377
V336	0.14811	0.72222	0.01395	0.11572
V337	0.26399	0.40182	0.30337	0.03082
V338	0.00296	0.98069	0.00928	0.00707
V339	0.10514	0.05862	0.82805	0.00819
V340	0.03598	0.193	0.54954	0.22148
V341	0.01835	0.05413	0.06974	0.85778
V342	0.20007	0.03403	0.62273	0.14317
V343	0.95294	0.03375	0.00697	0.00634
V344	0.6684	0.1527	0.17868	0.00022
V345	0.02407	0.10184	0.87187	0.00222
V346	0.18397	0.08787	0.27461	0.45356
V347	0.03065	0.03193	0.12195	0.81547
V348	0.03801	0.66469	0.12701	0.1703
V349	0.32292	0.14285	0.4115	0.12273
V350	0.02621	0.81169	0.16159	0.00051
V351	0.00945	0.04273	0.36584	0.58198
V352	0.0327	0.05345	0.83707	0.07677
V353	0.88478	0.02413	0.02766	0.06343
V354	0.03233	0.71594	0.21186	0.03987
V355	0.23392	0.06549	0.48137	0.21922
V356	0.02404	0.04192	0.09862	0.83543
V357	0.08253	0.29306	0.27667	0.34774
V358	0.50345	0.08174	0.04137	0.37344
V359	0.5206	0.0451	0.02743	0.40686
V360	0.54214	0.43027	0.01535	0.01225
V361	0.00145	0.44681	0.5449	0.00684
V362	0.00307	0.97406	0.016	0.00687
V363	0.13149	0.09599	0.48405	0.28847
V364	0.12095	0.06721	0.70966	0.10218
V365	0.20507	0.03588	0.01649	0.74256
V366	0.05595	0.69393	0.06916	0.18096
V367	0.53166	0.11447	0.00455	0.34931
V368	0.0662	0.75885	0.06928	0.10567
V369	0.01176	0.39546	0.58627	0.00651
V370	0.27416	0.26093	0.43398	0.03094
V371	0.16007	0.74864	0.02086	0.07044
V372	0.11304	0.04989	0.10505	0.73202
V373	0.0511	0.1125	0.47334	0.36307
V374	0.75273	0.03433	0.21261	0.00033
V375	0.02664	0.04918	0.1316	0.79259
V376	0.02314	0.04838	0.09586	0.83262
V377	0.75387	0.0114	0.01075	0.22399
V378	0.00436	0.0447	0.37397	0.57698
V379	0.27825	0.16241	0.01092	0.54842
V380	0.10398	0.06097	0.17914	0.65591
V381	0.71866	0.01777	0.08018	0.18339
V382	0.06407	0.07385	0.85387	0.00821
V383	0.82305	0.01366	0.04079	0.1225
V384	0.5289	0.06061	0.12006	0.29044
V385	0.86092	0.01999	0.0648	0.0543
V386	0.23363	0.024	0.12931	0.61306
V387	0.59394	0.12542	0.18671	0.09393
V388	0.35541	0.31083	0.14091	0.19285
V389	0.39789	0.52353	0.00825	0.07033
V390	0.26824	0.25062	0.47533	0.00581
V391	0.35297	0.08465	0.01648	0.5459
V392	0.40306	0.19205	0.15936	0.24553
V393	0.2498	0.20149	0.36968	0.17904
V394	0.05965	0.18545	0.0951	0.6598
V395	0.18918	0.37484	0.1981	0.23788
V396	0.00872	0.96347	0.00616	0.02166
V397	0.79594	0.07502	0.09182	0.03723
V398	0.40262	0.10804	0.08409	0.40525
V399	0.1652	0.56915	0.14122	0.12442
V400	0.00122	0.54225	0.05216	0.40437
V401	0.0218	0.14498	0.75239	0.08083
V402	0.78484	0.18089	0.03422	5e-05
V403	0.01927	0.04716	0.0795	0.85407
V404	0.06395	0.1731	0.65605	0.1069
V405	0.16142	0.03587	0.14869	0.65401
V406	0.64658	0.22722	0.01355	0.11265
V407	0.00296	0.98069	0.00928	0.00707
V408	0.06225	0.20611	0.40759	0.32405
V409	0.00054	0.06529	0.05689	0.87727
V410	0.07042	0.88574	0.02293	0.02091
V411	0.36683	0.02426	0.00449	0.60442
V412	0.1183	0.06786	0.50671	0.30713
V413	0.03649	0.45678	0.16878	0.33795
V414	0.0221	0.49694	0.33474	0.14621
V415	0.39359	0.0296	0.22198	0.35483
V416	0.01635	0.1264	0.85521	0.00205
V417	0.35999	0.63009	0.00433	0.00559
V418	0.04434	0.08641	0.12413	0.74512
V419	0.02499	0.03164	0.06398	0.87939
V420	0.00214	0.89111	0.01021	0.09654
V421	0.11959	0.05307	0.70425	0.12309
V422	0.03737	0.08406	0.01757	0.861
V423	0.05999	0.06102	0.85605	0.02294
V424	4e-04	0.06121	0.59581	0.34258
V425	0.03702	0.21189	0.63238	0.11871
V426	0.06482	0.06349	0.80331	0.06838
V427	0.04391	0.35555	0.17921	0.42132
V428	0.06723	0.79638	0.04361	0.09278
V429	0.02164	0.03175	0.0701	0.87651
V430	0.7614	0.14829	0.01351	0.0768
V431	0.13491	0.03411	0.44552	0.38545
V432	0.0722	0.08591	0.04391	0.79798
V433	0.04168	0.7214	0.0012	0.23572
V434	0.27116	0.06289	0.04457	0.62138
V435	0.44998	0.019	0.10755	0.42347
V436	0.31213	0.02204	0.10007	0.56576
V437	0.17692	0.19448	0.00729	0.6213
V438	0.5936	0.13243	0.02664	0.24733
V439	0.02674	0.11182	0.01628	0.84515
V440	0.41518	0.03591	0.02914	0.51977
V441	0.04365	0.11124	0.61821	0.22689
V442	0.28714	0.31876	0.13038	0.26372
V443	0.72446	0.01405	0.08	0.1815
V444	0.02407	0.10184	0.87187	0.00222
