cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V213	0.68478	0.03394	0.1342	0.14709
V214	0.38392	0.16705	0.20845	0.24058
V215	0.37852	0.12175	0.03251	0.46723
V216	0.05782	0.02407	0.04582	0.87229
V217	0.05553	0.5129	0.27669	0.15489
V218	0.11834	0.47646	0.20963	0.19557
V219	0.12844	0.69004	0.017	0.16452
V220	0.01121	0.87456	0.00886	0.10536
V221	0.8551	0.01432	0.00698	0.12361
V222	0.34006	0.12663	0.41493	0.11838
V223	0.00918	0.12118	0.81781	0.05183
V224	0.95804	0.01431	0.02737	0.00028
V225	0.06352	0.86748	0.06447	0.00453
V226	0.30847	0.07205	0.61008	0.0094
V227	0.77802	0.0083	0.20464	0.00904
V228	0.78992	0.06961	0.07878	0.0617
V229	0.02074	0.02232	0.9405	0.01644
V230	0.02263	0.06158	0.04471	0.87108
V231	0.02465	0.34323	0.1616	0.47052
V232	0.05783	0.72857	0.00216	0.21144
V233	0.59274	0.08449	0.22736	0.09541
V234	0.04261	0.9113	0.03622	0.00987
V235	0.37424	0.05263	0.55312	0.02
V236	0.0506	0.05552	0.84256	0.05132
V237	0.22816	0.02657	0.05602	0.68925
V238	0.14176	0.54045	0.28489	0.0329
V239	0.09074	0.48729	0.03157	0.3904
V240	0.487	0.03473	0.44665	0.03163
V241	0.02006	0.01254	0.92197	0.04543
V242	0.13856	0.74973	0.1023	0.00942
V243	0.24776	0.03509	0.66676	0.05039
V244	0.21266	0.0084	0.72295	0.05599
V245	0.60714	0.29542	0.05992	0.03752
V246	0.0611	0.13215	0.79126	0.01549
V247	0.16657	0.02276	0.81013	0.00054
V248	0.03472	0.06318	0.08226	0.81984
V249	0.00091	0.03564	0.91782	0.04562
V250	0.75676	0.00901	0.22996	0.00427
V251	0.93465	0.05279	0.00786	0.0047
V252	0.01228	0.82456	0.16309	8e-05
V253	0.42653	0.07377	0.2117	0.288
V254	0.01222	0.92667	0.05636	0.00475
V255	0.05333	0.91798	0.00168	0.027
V256	0.18666	0.19642	0.55866	0.05827
V257	0.45726	0.09817	0.28168	0.16289
V258	0.19231	0.25186	0.46994	0.08589
V259	0.04005	0.2697	0.6635	0.02675
V260	0.00125	0.26463	0.72916	0.00497
V261	0.64031	0.03292	0.22633	0.10044
V262	0.14021	0.09076	0.03234	0.73669
V263	0.02275	0.9594	0.00198	0.01586
V264	0.19365	0.03506	0.52044	0.25086
V265	0.04607	0.01842	0.21809	0.71742
V266	0.63709	0.35431	0.00851	1e-04
V267	0.00121	0.20239	0.38508	0.41131
V268	0.45535	0.02869	0.18956	0.3264
V269	0.00978	0.54155	0.41586	0.03281
V270	0.6488	0.02572	0.27063	0.05486
V271	0.81925	0.07081	0.04114	0.06879
V272	0.06496	0.84712	0.01669	0.07123
V273	0.08143	0.04781	0.06529	0.80547
