Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory
LL	0.0107	8e-04	0.1022	0.101	0.0381	0	0.0442	0.0355	0	0.0387	0.0407	0.0354	0.0236	0.0239	0	0.0425	0	0.2238	0.0793	0.046	1e-04	0	0	0	0	0	0	0	0	0	0	0.0399	0.0259	0.0476
MEL	0	0	0.0575	0.041	0.0342	0	0.0816	0.0244	0	0.0255	0.0524	0.0568	0.0794	0	0	0.0081	0.0532	0.0931	0.0699	0.2014	0.0349	0	0	0	0	0.0136	0	0	0	0	0	0.0499	0.0231	0
MF	0	0	0.0745	0.0518	0.0714	0	0.1226	0	0	0.0029	0	0	0.0574	0	0	0	0.0838	0.0981	0.0598	0.038	0.0608	0	0.0071	0	0	0	0	0	0	0	0.0058	0.028	0.151	0.0872
NS	0.014	0.0096	0.0412	0.0576	0.0346	0	0.0357	0.0717	0.047	0.0279	0.1737	0.0923	0.0366	0	0	0.067	0.0447	0.055	0.0696	0.0173	0	0	0	0	0.0013	0.0132	0	0	0	0	0	0.0589	0.0312	0
PS	0.0046	0.004	0.0438	0.0637	0.0369	0	0.0728	0.0308	0	0.0159	0.2001	0.0478	0.0653	0	0	0.0233	0.113	0.057	0.0751	0.0383	0.0079	0	0	0	0.0031	0	0	0	0	0	0	0.0274	0.0543	0.0147
RR	0.0116	0.0098	0.0755	0.0992	0.0366	0	0.0623	0.0408	0.0079	0.0372	0.0598	0.0621	0.0148	0.0154	0	0.0435	0.0167	0.1176	0.0924	0.0345	0.0137	0	0	0	0	4e-04	0	0	0	0	0	0.0545	0.0266	0.0669
SAR	0.0419	0	0.076	0.1082	0.0381	0	0.0172	0.0572	0.005	0.0332	0.0461	0.0676	0.0081	0	0.0054	0.022	0.0821	0.1468	0.0612	0.0269	0	0	0	0	0	0.0115	0	0.0021	0	0	0	0.0514	0.0503	0.0415
SCC	0	0.0099	0.0434	0.0284	0.0478	0	0.0876	0.0032	0.0108	0.0322	0.2018	0.0063	0.0614	0	0	0	0.1889	0.0571	0.0809	0.041	0.0223	0	0	0	0	0	0	0	0	0	0	0.0291	0.0482	0
SJS	0	0	0.0695	0.1924	0.098	0	0.0769	0	0	0	0	8e-04	0.0368	0	0	0	0.0438	0.127	0.088	0.0261	0.025	0	0	0	0	0	0	0	0	0	0	0.0175	0.0659	0.1322
WA	0.0228	0	0.0346	0.0468	0.0348	0	0.0258	0.1101	0.0168	0.0733	0.0762	0.1407	0.0375	0	0	0.0842	0.0032	0.0626	0.0756	0.014	0	0	0	0	0	0.058	0	0	0	0	0	0.0632	0.0197	0
WPO	0.0414	0	0.0242	0.0928	0.0271	0	0.096	0.0428	0	0.0279	0.0838	0.0557	0.0657	0	0.001	0.0162	0.1225	0.0853	0.0682	0.0395	0.0157	0	0	0	0.0168	0.0089	0	0.0031	0	0	0	0.0253	0.0404	0
