Symbol	A	B	C	D	E	F	G	H	I	J	K	L
LOC654433	24.371809	22.827726	119.696243	17.611244	17.060848	56.944439	21.943768	35.938805	39.278118	20.98959	82.389351	26.837883
GCDH	353.075714	315.256927	376.904999	358.138153	345.112854	388.358276	275.259369	391.272522	348.193512	343.92218	385.882721	345.711517
PRICKLE1	150.772995	193.166946	40.282131	48.976929	16.293684	16.683083	192.925491	182.308304	198.686081	25.374964	98.881866	43.687244
PRICKLE2	159.577988	157.021744	155.427765	153.518921	145.579803	189.65274	102.521774	133.686752	209.702087	141.938309	157.755173	148.968933
PRICKLE3	35.396378	48.801102	25.364632	54.074703	20.128653	8.727024	44.387245	37.986622	66.278114	37.112125	9.408413	5.955628
PRICKLE4	5556.59375	5711.603027	5876.147949	5711.603027	5975.189453	5472.40918	5090.52832	5807.635254	6217.424316	6345.586914	6167.143555	5725.57959
CCNJL	121.797318	87.167976	38.444233	40.89502	114.240982	247.959335	461.284882	15.140959	38.631493	28.535162	65.469971	110.343918
PCYOX1	220.864731	240.947067	295.073914	283.166321	275.259369	237.926971	192.0737	215.900131	207.797241	282.073212	293.558929	275.352783
GLT25D2	168.837082	236.258636	130.167801	202.756805	232.286102	627.950256	105.525932	29.605474	16.081934	111.169701	194.716888	151.096588
GLT25D1	2485.75415	2125.851074	1173.964844	1290.849121	1421.768433	1619.443604	3001.787354	3515.265381	3671.722656	1145.982422	1077.727051	1105.836914
SLC16A11	20.183464	2.560903	27.402046	13.011428	17.836384	25.727528	24.769373	11.657188	12.754679	9.442101	15.117349	14.708519
SLC16A10	74.420967	149.913818	327.912964	282.491669	197.140533	7.472275	29.792858	16.8911	45.026123	272.845673	228.063919	241.133179
SLC16A13	157.002991	65.565277	45.542328	76.185173	81.803825	129.139923	99.584351	79.241798	91.441826	96.279503	39.265427	80.9645
SLC16A12	8176.969238	7874.997559	9395.699219	9413.966797	8814.649414	7924.381836	7117.384766	5507.990234	5360.621582	9725.142578	8684.006836	8916.782227
SPINK7	10.857847	5.075141	6.171514	9.936512	7.568069	7.644612	6.633638	14.267988	12.725381	15.374053	21.083368	7.721292
SPINK6	8.118964	11.03231	23.700487	25.556654	24.304567	14.417498	12.494776	28.778479	73.199516	36.175209	35.238873	10.779667
SPINK5	91.913902	50.745991	117.911987	126.764114	91.589264	135.992508	87.299141	145.712418	155.273987	89.372993	88.395378	81.000786
SPINK4	19.035328	4.897631	7.92942	4.993322	14.438658	2.329633	9.104983	5.703298	7.573798	8.059842	6.098897	4.366179
SPINK2	224.443771	260.210449	249.138474	256.332855	318.89917	230.249207	201.714844	131.862564	99.717896	226.970367	317.87207	250.096008
SPINK1	69.981575	9.29033	3.841656	20.157606	2.678954	7.241162	6.84574	12.841463	35.316383	10.184942	7.751513	13.310381
LOC727929	15.057142	21.822969	12.833179	45.618286	48.299435	30.573875	17.309649	11.196555	8.750532	21.006027	7.243085	17.67635
LOC727927	63.790222	9.030901	72.34803	39.85519	18.139523	26.884203	21.619184	22.771206	14.31724	10.042126	35.860367	22.882456
LOC727924	83.907448	62.405373	110.131958	183.668457	83.742416	119.431961	87.816544	122.803497	77.842438	137.388412	146.903824	132.764923
LOC727922	5.018665	10.834594	23.516022	48.293629	37.990494	7.933325	20.48374	12.927165	9.182954	76.344971	29.359968	17.05427
FLJ20464	39.990032	13.675874	11.669181	76.658676	10.498325	44.146889	28.066389	33.682041	8.195551	12.139522	9.587817	16.115055
LOC100132252	65.455353	17.76606	22.74424	31.469616	37.29216	16.097788	15.055301	40.728813	89.600105	47.963291	17.469059	13.260947
