Symbol,MSC,Bronchial_Epithelial_cells,Fibroblasts,Endothelial_cells,Adipocytes,Keratinocytes,Schwann_cells,Smooth_muscle_cells,CD34+,Platelets,Monocytes_CD14+CD16-,Monocytes_CD16+CD14-,Macrophage,M1(IFNg),M2(IL-4),M(IFNa),Dendritic_cells_(BDCA1+),Dendritic_cells_(BDCA3+),Dendritic_cells_(plasmacytoid+),T_cells_(CD4+),T_cells_(CD8+),T_cells_(gamma-delta),NK_cells,Neutrophils,B_cells
AADAC,27.125,38,31.375,55.36363636,33.33333333,1184,40.33333333,114.2,30.83333333,27.6,38.375,37,30.72727273,29.75,27.4,30,35.08333333,31.41666667,31.83333333,30.18181818,35.80769231,26.5,24.08333333,44.4,63.75
AADACL2,9.25,10.5,9.875,10.45454545,10.33333333,3060.666667,9.666666667,10,9.333333333,10,10.4375,10.16666667,9.636363636,10.25,9,10.33333333,10.75,10.33333333,9.833333333,9.727272727,10.03846154,10,9.833333333,10.8,10
AADAT,36.125,28,61.5,29.09090909,62.66666667,21.66666667,69.66666667,44.2,33.16666667,19.6,23.5,23,19.54545455,19,18.8,22,18.33333333,20.58333333,16.33333333,20.40909091,24.61538462,20,23.83333333,22.4,29
AAGAB,98,123.5,102.375,100,90.33333333,76.66666667,105,73.8,71.33333333,113.8,112,130.1666667,95.45454545,104.25,83.2,102,104.4166667,106.25,107.3333333,95.09090909,128.3846154,95,258.5833333,114.4,103.75
AAK1,62.625,86,67.75,63.81818182,69,69.33333333,81.33333333,63,84.66666667,76.2,93.4375,87.66666667,70.63636364,74.75,69,64,94.08333333,72.58333333,68.33333333,139.5454545,137.1153846,59,77.83333333,126.6,96.5
AAMP,300.875,545.5,552.5,462.9090909,606.3333333,435,510,361,315.6666667,124.8,430.875,593.5,402.1818182,715.75,433.4,344.6666667,550.8333333,443.3333333,449.1666667,315.9545455,198.5769231,405.5,332.0833333,175,210
AANAT,20.25,19.5,14.75,18.09090909,16.33333333,22.33333333,16.33333333,19.2,15.16666667,16.8,18,16.16666667,21.36363636,21.625,18.4,21.66666667,17.91666667,14.33333333,15.66666667,14.90909091,15.19230769,17,19.08333333,16.4,15
AARS,692.125,312.5,811.5,806.9090909,796.3333333,588.3333333,1041.666667,759.2,451.1666667,402,273.3125,294.5,557,654,1505.4,521.3333333,527.25,568.6666667,527.8333333,427.2727273,275.5769231,741,124.0833333,118.2,447
AARS2,152.75,123,76.25,106.2727273,86.66666667,126.3333333,91,91.4,151.1666667,155.2,102.4375,90.83333333,118.7272727,102.75,121.8,121,115.1666667,129.75,139.8333333,113.0909091,108.5769231,126,110.6666667,91.6,100.5
AARSD1,134.75,76,223,212.0909091,274.6666667,122.3333333,190,156.2,195.1666667,92.4,124.5625,105.1666667,103.0909091,88.375,107.8,142,211.5833333,252.5833333,302.5,130.2272727,173.3461538,133,171.1666667,46.2,166.25
AASDH,75,71.5,113.5,105.4545455,130,187,162.3333333,128,136.5,173.8,336.625,188.6666667,164.5454545,94.875,87.6,176.3333333,74.33333333,90.16666667,143.5,262.4545455,724.0384615,133,320.6666667,69.6,698.5
AASDHPPT,363.875,295.5,472.25,503.1818182,455.3333333,486.6666667,511.6666667,373.6,470.8333333,204,445,246.6666667,388.2727273,331.25,247.2,293.6666667,362.3333333,403.75,492.3333333,348.2272727,765.5769231,602,660.5833333,164.2,812.5
AASS,17.625,16.5,52,48.36363636,49.66666667,17,23.33333333,35.2,66.33333333,18,12.25,11.5,10.54545455,9.875,11.4,11.33333333,12.83333333,12.08333333,14,20.18181818,18.73076923,13.5,25.25,13.2,26.25
AATF,271.375,275.5,453.75,495.3636364,389.6666667,294.6666667,640.3333333,379.4,463.6666667,169.4,494.3125,626,443.9090909,555.75,459.6,335.3333333,830.8333333,845.6666667,828,517.6818182,348.0769231,767,413.6666667,580.8,370.75
AATK,83.75,136,87.375,103,100.3333333,105.6666667,219.6666667,101.4,120.3333333,202,173.0625,158.5,127.2727273,112.5,102.2,124.6666667,100.9166667,108.8333333,76.33333333,81.77272727,118.9615385,80,151.8333333,269.8,139.5
ABAT,93.875,85.5,261.25,49.27272727,162.6666667,18.33333333,135,59.8,87.66666667,1685,163.3125,134.6666667,228.1818182,147,366.6,67.33333333,255.1666667,275.8333333,97.5,103.6363636,50.57692308,178,96.33333333,449.8,31.5
ABCA1,236.25,269.5,461.5,165.7272727,1153.666667,391.3333333,474,1188.2,354.3333333,191,200.9375,168,1228.727273,805.125,1172.6,764.6666667,113.5833333,138.9166667,214.5,75.40909091,187.5384615,23.5,43.58333333,756.8,225.5
ABCA11P,31,32.5,49.625,44.63636364,43.66666667,28.66666667,34,36,31.5,38.6,20.5625,20.83333333,25,25,29.2,22.33333333,24.33333333,26.91666667,29.66666667,57.04545455,36.38461538,33,22,21,52.5
ABCA12,12.125,27.5,8,8.272727273,9,1709.666667,9.666666667,8.8,9,11.2,8.5,9.166666667,8.636363636,8.625,9.2,9.333333333,10.5,10.5,9.666666667,8.681818182,8.692307692,7.5,8.166666667,8.6,9.25
ABCA13,7.25,7.5,8,7.636363636,7.666666667,12,7.333333333,7.4,11,7.4,8.1875,7.166666667,7.636363636,7.25,7.6,9,8.333333333,7.833333333,7.666666667,10.68181818,11.5,8.5,7.666666667,8.2,7.25
ABCA17P,12.125,11,13.5,13.27272727,15.66666667,11.66666667,26.33333333,13.6,13.33333333,28,12.875,11.5,13.90909091,14,13.2,17,13.83333333,13.66666667,15.5,17.45454545,13.57692308,10.5,18.33333333,13.6,14.5
ABCA2,101.25,67.5,62.875,60.45454545,78,53.66666667,94.33333333,59.2,38.83333333,51.4,49.6875,57,62.45454545,62,56.2,50.33333333,56.25,56.66666667,55,65.18181818,49.23076923,80,69.58333333,59.4,54
ABCA3,154.875,65.5,104,213.3636364,105.3333333,69,230.3333333,124.2,69.83333333,122.2,88.8125,86.83333333,81.54545455,72.5,101,88.66666667,113.5833333,147.5833333,96,90.54545455,84.84615385,94.5,155.4166667,110.8,105.5
ABCA4,40.75,76.5,31.375,42,41,50.66666667,23.33333333,38.8,39.83333333,44.8,45.4375,47.33333333,38.27272727,38.25,35.2,32.66666667,33.58333333,30.16666667,30.5,40.90909091,49.65384615,30,31.75,39,50
ABCA5,40.75,82,123.75,127.4545455,124.3333333,237,66.33333333,56.8,57.83333333,196,34.125,29.66666667,118.6363636,134,216.8,70.66666667,88.5,204.3333333,475.1666667,241.1363636,155.3461538,78.5,371.1666667,116.2,54.75
ABCA6,24,13,46.875,67.45454545,43.66666667,12.66666667,15,57.4,11.66666667,14.8,14.6875,13,49.18181818,43.75,13.4,19.66666667,16.75,25.58333333,45.66666667,11.95454545,13.53846154,10,10.91666667,14,15.75
ABCA7,89.625,138,53.75,60.90909091,95,90.66666667,92,74.2,60.5,80.4,181.25,181.8333333,97.63636364,94,151.8,79,378.4166667,300.6666667,634.1666667,235.5454545,106.7692308,162,376.4166667,381.2,129
ABCA8,215.375,10.5,465.75,176.9090909,309.6666667,8.666666667,335.3333333,1712,20,8.8,10.0625,10.33333333,8.545454545,8.625,9,10,9.583333333,9.166666667,9.666666667,9.045454545,9.461538462,10.5,10,11.2,9.25
ABCA9,21.5,19.5,98.125,37.27272727,27,19.33333333,19.66666667,93.4,18.33333333,22.2,18.9375,17,21,23.375,17.6,17.66666667,16.75,20.08333333,16.5,17,20.80769231,16,11.91666667,21.4,27.75
ABCB1,16.5,17,11.875,26.36363636,11.66666667,12.66666667,19,16.4,48.66666667,87,15.125,21,20.09090909,30.875,13.4,23,15.25,13.25,19.33333333,63.22727273,297.1923077,285.5,317.1666667,19.2,34.25
ABCB10,131.875,124.5,246.5,252.8181818,185,107.3333333,173,116,330.6666667,192.6,175.1875,273.6666667,338.0909091,248,401.6,463.6666667,372.75,344.5,402,280.5454545,127.1153846,523.5,298.8333333,47,35.25
ABCB11,12.75,14,10.375,13.36363636,12.33333333,10.66666667,10.33333333,12.6,10.66666667,16.6,12.5,11,13,12.75,11,13.66666667,13.5,13,14.5,10.63636364,13.65384615,11,10.33333333,14.8,16.75
ABCB4,23.375,26.5,27.375,22.72727273,25.33333333,23,486,24.6,27.66666667,54,29.9375,25.5,87.27272727,40,62,124.6666667,240.5833333,156.3333333,34.16666667,22.45454545,33.26923077,24.5,16.83333333,22.4,182
ABCB5,43.125,54,36.375,41,28.66666667,51.66666667,140.6666667,41.6,60.33333333,47,53.375,52.83333333,42.36363636,35.875,39.2,53,40.58333333,38.75,33.83333333,41.68181818,54.26923077,44.5,43.66666667,44.8,50.25
ABCB6,99.5,191,164.5,144.4545455,417,263,139.6666667,135,82.66666667,122.6,60.3125,68.16666667,83.36363636,94.375,137,83,58,73.5,103.8333333,72.18181818,72.92307692,256,50.66666667,58.4,62.5
ABCB7,124.875,299.5,184,250.6363636,301.6666667,172.6666667,268.3333333,223.4,270.1666667,296.6,374.6875,263.3333333,304,268.25,327,301,536,734.25,495.1666667,256.9090909,173.5769231,326.5,298.3333333,55.8,325.25
ABCB8,51.25,71.5,78.5,75.18181818,93.33333333,42.66666667,107,56.6,27.66666667,41.6,70.5625,73.83333333,67.63636364,72.75,65.8,61,66.91666667,55.83333333,64.5,58.13636364,49.65384615,114,54,54.8,49
ABCB9,55.5,56.5,39.375,52,44,55.66666667,51.66666667,64.2,92.5,64.6,88.375,82.33333333,71.81818182,75.375,56,70.33333333,71.5,79,72.66666667,74.18181818,110.0769231,48,54.66666667,76.4,153.25
ABCC1,200.625,283.5,220.875,277.9090909,304.6666667,191.6666667,205.3333333,280.8,58.66666667,40.8,123.375,172,293.5454545,420.875,160.6,190,86.25,61,67,172.5909091,118.1538462,161,72.33333333,88.2,83.25
ABCC10,189.75,245,366.75,315.9090909,197.3333333,308.3333333,233.6666667,230.2,135.8333333,235.6,147.1875,140.5,465.1818182,453.625,552.4,452.6666667,227.25,193.5833333,130,445.1818182,175.0769231,376,329.0833333,55.6,46.5
ABCC11,16,14.5,10.125,12.18181818,11.33333333,12,10,15,11.33333333,16.4,13.8125,13,12.36363636,13,11,11,13.33333333,15.08333333,14,13.18181818,12.61538462,12.5,9.166666667,13.6,15
ABCC12,10,14,12.125,12.27272727,10,11,10,10.4,11.5,12,13.0625,12.16666667,11.18181818,11.375,11.2,13,10.5,11.5,11.5,11.5,14.57692308,11,12.83333333,13.2,13
ABCC13,19.25,21,14.75,17.36363636,17.33333333,20.33333333,16.33333333,14.8,19.66666667,24.2,23.25,19.83333333,19.18181818,20.375,19.2,18.33333333,19.75,20.16666667,17.66666667,18.27272727,26.03846154,15.5,14.16666667,24.6,34
ABCC2,25.875,26,39.125,23.63636364,34,41.33333333,19,25.8,24.66666667,29.4,26.4375,28.83333333,21.09090909,21.5,25.6,35.33333333,24.75,20,34.66666667,26.72727273,28.53846154,22.5,28.08333333,43.4,29.25
ABCC3,277.25,182.5,233.25,49.27272727,208.3333333,129.6666667,45.66666667,206.8,75,4429.8,160.375,590.6666667,726.4545455,566.5,2233,287.6666667,74.5,60.41666667,50.16666667,64,93.5,38,58.41666667,65.6,90.75
ABCC4,208.5,40.5,439.125,264,391,62,87.33333333,141.2,477.6666667,2494,36.25,52.33333333,137.8181818,98.125,81.8,94,300.5,187.5833333,80.16666667,118.6818182,41.80769231,97.5,61.58333333,36,35.75
ABCC5,27.625,41,32,27.09090909,27.33333333,25,21.33333333,22.4,29,43.8,24.4375,22,29.09090909,20.25,21.2,37,19.5,19.91666667,17.16666667,22.13636364,24.92307692,21.5,25.41666667,25.4,28.75
ABCC6,35,49.5,34.125,32.09090909,70.33333333,27.33333333,30.33333333,151.8,47,41.2,133.5,42.16666667,74.81818182,99.75,34,60,32.58333333,33.16666667,31.16666667,30.77272727,32.80769231,22.5,34.5,46.2,37
ABCC6P1,10.875,11.5,11.125,11.27272727,10.66666667,11,10.33333333,15,11,13.6,12.8125,12.33333333,11.18181818,11.125,11,11.66666667,11.08333333,12.08333333,12.16666667,11,12.26923077,10.5,11.41666667,13.2,13.75
ABCC8,46.875,57,33.625,41.72727273,40.33333333,38.33333333,25.66666667,51.4,45.83333333,30.4,49.75,53.5,37,35,30.4,44.33333333,31.83333333,28.25,29.66666667,39.86363636,42.19230769,42,55.75,33.8,41.5
ABCC9,24.625,25,37.625,22.27272727,36,21,27.66666667,23.2,22.5,26,25.25,22.66666667,20.54545455,22,20.6,23.66666667,25.41666667,24.83333333,26.83333333,22,23.15384615,19,22,28,27.5
ABCD1,94.625,150,92.75,108.3636364,150.6666667,92.33333333,132.3333333,100.6,73.16666667,80,168.5625,229.6666667,310.3636364,320.25,228.8,331.6666667,119.0833333,94.83333333,81.5,107.0909091,77.07692308,124,67.91666667,103.4,82.25
ABCD2,7.25,9,7.375,8.090909091,233.3333333,8,7,7.6,7.833333333,13.6,8.1875,8,8,8,7.2,8,8.333333333,8,9,29.86363636,18.88461538,115.5,7.416666667,8.8,9.5
ABCD3,94.875,521.5,88,157.3636364,218,214.6666667,533.6666667,170.6,28,17.6,78.3125,97.83333333,117.9090909,119.375,79.2,28.66666667,63.25,63.25,34.5,84.18181818,228.5769231,246,512.75,26.8,30.75
ABCD4,89.75,170.5,184,228.3636364,136,76.66666667,179,169.6,203.6666667,127.6,150.375,163.1666667,175,158.125,364.6,180.3333333,262.25,265.6666667,425.3333333,207.8181818,134.2307692,238.5,262,74.8,137.5
ABCE1,790.125,384,729.25,1357.090909,968.3333333,863.6666667,1007.666667,827.4,658.1666667,238.8,273.75,234.3333333,684.7272727,828.5,796.6,552,448.5,526.6666667,726,557.6363636,388.3461538,847.5,135.75,40,361.75
ABCF1,456.375,408,570.25,771.9090909,838,748.6666667,570.3333333,441.2,652.8333333,384.8,407.1875,374.3333333,562.9090909,688.5,754.8,558.6666667,733,587,546.5,662.1363636,654.4230769,1040,910.75,306,356.5
ABCF2,99.75,74,134.75,180.9090909,129,119.3333333,123,110.6,101.8333333,147.2,100.125,86.33333333,76.90909091,82.5,67.2,86.33333333,129.3333333,142.3333333,118.3333333,114.5909091,114.6923077,113.5,107.6666667,79.2,219
ABCF3,171,215,222.875,229.6363636,265.3333333,168.6666667,237.3333333,199,74.66666667,97.8,147.9375,179.6666667,211.6363636,219.5,324.6,201.3333333,111.6666667,112.25,129.6666667,200.9090909,149.7692308,185,420.5,144.6,124
ABCG1,10.5,167,11.625,127.9090909,121.6666667,1004.666667,10.33333333,10.4,124.8333333,108.4,35.8125,30,299.9090909,295.125,1054.4,123.3333333,63.5,90.58333333,134,133.5909091,320.5384615,174.5,50.58333333,488.2,34.25
ABCG2,20.625,24,28.75,140,28.33333333,42,77.66666667,27,57.5,36.2,23.6875,21.83333333,561.3636364,232,515.4,316,19.33333333,17.5,27.16666667,21.54545455,25.19230769,89,23.5,20.8,21.75
ABCG4,88.25,102.5,71.375,90.81818182,101.3333333,192,91,79.8,81.83333333,113.4,103.3125,91.16666667,92.90909091,99,95.8,93.66666667,104.3333333,105.6666667,88.83333333,74.95454545,88.26923077,73.5,61,96.8,101.5
ABCG5,23.5,21.5,18.375,20.36363636,21.33333333,20.33333333,17.66666667,18.2,19.16666667,21.6,22.75,22.33333333,18.18181818,17,14.6,19.33333333,20.58333333,20.91666667,20.66666667,19.86363636,22.03846154,21.5,17.91666667,23.6,25.5
ABCG8,21.375,34,29.25,27.63636364,26.66666667,28.33333333,22,28,29.33333333,38.8,32.4375,30.83333333,27.36363636,31,27.8,25,27.25,27.75,26.66666667,27.90909091,29.42307692,25,31.16666667,30.2,25.5
ABHD1,19.625,26.5,22.25,25.27272727,23.66666667,23.33333333,21.66666667,26.6,31.5,23,28.125,31.66666667,27.09090909,27.5,23.4,32.66666667,27.33333333,31.5,24.83333333,26.54545455,28.73076923,23.5,21.91666667,23.4,28.75
ABHD10,247.875,228,381.375,422.8181818,549.3333333,178,309,337,502,508.2,307,246.8333333,515.6363636,392.375,532.4,459,385.25,436.5,639.6666667,315.6818182,268.4615385,421.5,230.75,85.4,510.75
ABHD11,17.625,21.5,19.5,19,29,14.66666667,48.33333333,18,10.16666667,10.4,21.5,25.33333333,29.36363636,23.625,18.2,30,13.41666667,10.75,9.833333333,12.72727273,10.19230769,23,19.16666667,12.4,12.25
ABHD12,78.875,88.5,133,118.1818182,184,660,411,128.8,48.16666667,25.6,31.375,41,334.7272727,261.25,230.4,277.3333333,84.75,59.58333333,59.83333333,40.59090909,36.46153846,52,90.66666667,29.4,27.25
ABHD12B,11.375,10.5,9.75,9.818181818,9,11,9,10.4,11,11.8,12,11.66666667,9.545454545,10.125,9.8,10,10.41666667,11.33333333,10.5,10.5,11.07692308,9,9.833333333,13.8,12.5
ABHD13,32.625,25.5,53,50.36363636,27.66666667,28.66666667,44.66666667,28.6,103.8333333,44.6,90.8125,138,49.54545455,59.875,43,43.33333333,229.25,202.3333333,123,67.40909091,69.11538462,61,565.3333333,161.2,32.25
ABHD14A,184.25,103,259.625,125.1818182,572,75,210.3333333,230.4,86.16666667,89.4,103.9375,90.5,120.1818182,87.375,107.8,117.6666667,104.0833333,107.5,100,275.3181818,120.1923077,302.5,264.4166667,57.4,107
ABHD14B,289.875,612.5,412,316.4545455,913.6666667,184,384.3333333,405,161.8333333,127.8,472.75,394.6666667,321.5454545,234.375,351.2,394,264,227.9166667,139.1666667,1348.545455,482.7307692,653.5,413.5833333,73.2,496.75
ABHD15,74.125,83.5,131,71.27272727,578,67,95.33333333,96.6,84.16666667,86.4,75.9375,80.16666667,141,122.5,186.8,59.33333333,299.0833333,325.3333333,1884.666667,139.9090909,96.19230769,273.5,421.5,31.2,73.5
ABHD2,281.625,438.5,219.375,267.8181818,484,136,579.3333333,356.6,303.8333333,184.6,365.8125,383.3333333,879.5454545,936.75,1541.6,795,960.9166667,974.5833333,721.6666667,274.4545455,134.8461538,324.5,540.0833333,1022,67
ABHD3,56.75,201.5,97.625,125.1818182,220.6666667,181,211.6666667,47.4,394,395.6,416.25,910,682.9090909,791.5,715.8,382.3333333,310.6666667,407.1666667,378.8333333,848.7727273,317.9615385,1053.5,423,1127.8,142.5
ABHD4,551.625,607,1182.75,421.0909091,1517.666667,707.6666667,881.3333333,732.8,237.6666667,313,344.625,281.6666667,614,447.625,579.6,456.6666667,189.5,175.0833333,153.6666667,245.3636364,306.0769231,513.5,264.9166667,739.6,327.75
ABHD5,99.5,68,175,88.36363636,220.6666667,206.6666667,49.33333333,61.8,111.1666667,71.2,110.5625,78.5,80.90909091,63.5,115.8,49.66666667,57.08333333,48.33333333,53.5,38.59090909,53.11538462,58,100.75,936.8,49.75
ABHD6,32.5,36,52.125,45.18181818,119.3333333,261,280.6666667,45.4,18,28.2,49.875,101.1666667,146.7272727,96.75,254.6,42,103.25,134.5,166.1666667,20.13636364,20.19230769,72.5,18.25,18.2,33.25
ABHD8,65.5,84.5,52.875,62.09090909,56.66666667,92.33333333,71.33333333,87.8,33.66666667,46.4,66.25,67.83333333,83.90909091,81.125,80,82,71.41666667,76.75,68.33333333,58.5,47.26923077,73,43.33333333,53.2,53.25
ABI1,305.625,745.5,539.5,416.8181818,203.3333333,809,254.3333333,342.2,912.6666667,1997.2,612.375,684.1666667,802.4545455,762.125,978.2,1259.333333,876.5833333,1092.583333,1225.333333,961,786.5,829,1193.583333,1123.8,802.5
ABI2,222.625,201,261.375,232.0909091,219,117,327.3333333,257,141.5,174.8,113.875,113.6666667,191.2727273,113.5,129.8,287.3333333,115.8333333,146.25,190.8333333,136.2272727,135.6538462,213,96.58333333,114.2,135
ABI3,154.375,125,82.125,244.3636364,106.3333333,116,89.66666667,118,107.5,198.2,324.1875,607.6666667,272.6363636,312,209.2,244,424.0833333,338.4166667,137.1666667,189.8636364,214.8846154,537.5,220.6666667,120.4,150.25
ABI3BP,1577.5,24.5,1115.375,724.7272727,367.3333333,62.66666667,240,1216.8,25.66666667,11.4,10.6875,10.16666667,11.09090909,10.5,10.2,13.66666667,9.25,14.58333333,15.66666667,9.181818182,12.19230769,10.5,10.33333333,10.4,11.25
ABL1,640.875,458,596.875,581.8181818,485.3333333,227.6666667,654.3333333,737.8,210.5,64.8,141.8125,197.1666667,292.1818182,254.625,263.8,195.6666667,324.9166667,457.75,294.5,187.3636364,296.3846154,208.5,444.6666667,67.8,54
ABL2,263.875,80,454.75,780.3636364,176.6666667,65.33333333,1346,178.6,260.8333333,194.4,84.125,58.16666667,506,547.5,429.4,657,255.4166667,286.8333333,204,183.1818182,125.6923077,92.5,143.5833333,77,69.75
ABLIM1,85.25,1166,457.25,1704.363636,83.33333333,3699.333333,31.33333333,299.8,436.8333333,1316.8,41.5,34.83333333,77.09090909,69.875,22.8,76,81,62.25,50.83333333,3520.636364,2357.230769,86.5,1300,109,988
ABLIM2,235.875,72.5,61.875,76.90909091,86.66666667,80,143.3333333,97.6,58.16666667,124.8,96.0625,89.16666667,90.63636364,106.375,69.2,63.66666667,121,114.5833333,114,75.36363636,81.07692308,80.5,74.5,128.2,113.75
ABLIM3,80.5,258,159.875,323.0909091,209,90.33333333,671.3333333,252.6,56.83333333,2639.2,69.875,62,62.18181818,49.875,40.4,102.3333333,58.5,48.08333333,38,43.31818182,56.61538462,41,36.41666667,70.8,63.25
ABO,47.875,25.5,23.75,25.54545455,34.66666667,32.33333333,34.33333333,25.4,19,40.6,28.9375,26.5,25,29,34.2,24,32,28.25,28.83333333,24.22727273,28.15384615,25,24.16666667,46.6,35.5
ABP1,25.25,35,17.5,20.45454545,17,22,17.33333333,22.4,22.33333333,23.6,24.375,23,117.0909091,120.25,25.2,61.33333333,393,223.8333333,19.83333333,19.45454545,20.76923077,18,20,65.6,28.25
ABR,429.75,465.5,513.375,566.0909091,275,391.6666667,685.6666667,562.6,193,300.2,524.875,850,1445.636364,1317.125,1428.2,1176,1115.166667,887.6666667,407.8333333,414.6363636,172.5,571,626.9166667,733.8,101.75
ABRA,14.375,12.5,11.625,14.18181818,11.33333333,12.33333333,11.66666667,13,11.66666667,12,13.375,13.5,13.27272727,12.25,12,16,14.25,12.25,12.16666667,12.81818182,12.07692308,13,11.08333333,13.4,12
ABT1,144.375,328.5,295.25,358.9090909,238.3333333,273,254.3333333,190.4,271.5,110.8,318.8125,355.3333333,262.4545455,288.75,249.8,254.3333333,272.5,243.9166667,241.1666667,346.2272727,420.1153846,549.5,666.5,326.8,322.5
ABTB1,124.375,108,187.375,127.4545455,145.3333333,112.3333333,175.6666667,218.6,91.16666667,244.4,502,578.6666667,256.3636364,189.125,247,174,235.25,159.1666667,160.8333333,498.7272727,177.4230769,250.5,252.4166667,2464,123.25
ABTB2,102.75,103.5,134.875,73.54545455,105,124,107,115.8,57.83333333,74.4,86.75,84.66666667,78.27272727,80.25,87.8,297.6666667,82.66666667,87.33333333,169,54.86363636,83.19230769,116.5,73.75,185.2,80
ACAA1,265.75,451,325.875,311.7272727,646,395.3333333,471,277,230.5,321,486.75,665.1666667,578.9090909,609.75,447,635,1306.75,984.5,801.3333333,313.8636364,164.1153846,358.5,314.8333333,602.8,222.25
ACAA2,96.75,56,108.125,105.7272727,149.3333333,62.66666667,140.6666667,103.4,46.66666667,146.8,109.125,96,93,95.625,102.8,88,121.5,112.0833333,108,62.59090909,90.57692308,111.5,73.58333333,137.4,128.75
ACACA,253.625,734,495.875,418.4545455,2544.666667,818.6666667,407.6666667,335,222.3333333,219.4,124.625,114,244.7272727,228.5,493.6,220,211.75,243.25,188,141.4545455,163.1153846,224.5,154.3333333,56.4,113.25
ACACB,83.5,57,70.125,65.18181818,3759.333333,66.33333333,79.66666667,86.8,182.5,150.2,96.875,102.1666667,80.36363636,70.625,95.2,79.33333333,85.5,84.33333333,104.6666667,125.8181818,86.69230769,84,88.83333333,97.2,67.25
ACAD10,60.625,58.5,85.625,67.18181818,123,73.66666667,96.33333333,68.4,55.33333333,73.8,104,107.3333333,73.18181818,74,94.4,65,151.75,143.25,148.5,80.59090909,84,60,68.25,112.2,103
ACAD11,76.125,69,160.125,87.27272727,392,98.33333333,130,253.2,182.3333333,270.4,66.0625,84.83333333,84.54545455,60.25,182.6,72,348.3333333,344.1666667,727.5,167.3181818,115.4230769,83,186.6666667,47,69.5
ACAD8,53.25,223.5,205.125,169,409,454.3333333,169.3333333,126.2,82.16666667,33.2,139.0625,195,166.6363636,116.75,192.2,73.66666667,104.75,139.25,210.6666667,207.4090909,113.4230769,162.5,238.5833333,105.6,68.25
ACAD9,184,213.5,272.625,367.3636364,372,1274,363,228.8,207.3333333,125.6,183.625,205,362.5454545,316.75,334.4,292.6666667,265.9166667,283.6666667,218,158.4090909,90.84615385,271.5,92.83333333,50,102.5
