Tool-Reference	CellType	Sample	Prediction	Answer	Error	SqError
Cibersort-HPCA	CD8 T Cells	H	0.0	0.025	0.025	0.000625
Cibersort-HPCA	B Cells	I	0.0	0.1	0.1	0.01
Cibersort-HPCA	Monocytes	I	0.76132	0.813	0.05168	0.0026708224
Cibersort-HPCA	NK	I	0.06663	0.01	0.05663	0.0032069569
Cibersort-HPCA	Neutrophils	I	0.0	0.001	0.001	1e-06
Cibersort-HPCA	CD4 T Cells	I	0.07591	0.05	0.02591	0.0006713281
Cibersort-HPCA	CD8 T Cells	I	0.0	0.025	0.025	0.000625
Cibersort-HPCA	B Cells	J	0.01625	0.0	0.01625	0.0002640625
Cibersort-HPCA	Monocytes	J	0.03059	0.0	0.03059	0.0009357481
Cibersort-HPCA	NK	J	0.06919	0.0	0.06919	0.0047872561
Cibersort-HPCA	Neutrophils	J	0.0	0.0	0.0	0.0
Cibersort-HPCA	CD4 T Cells	J	0.69408	1.0	0.30592	0.0935870464
Cibersort-HPCA	CD8 T Cells	J	0.14415	0.0	0.14415	0.0207792225
Cibersort-HPCA	B Cells	K	0.00503	0.0	0.00503	2.53009e-05
Cibersort-HPCA	Monocytes	K	0.01019	0.0	0.01019	0.0001038361
Cibersort-HPCA	NK	K	0.15653	0.0	0.15653	0.0245016409
Cibersort-HPCA	Neutrophils	K	0.0	0.0	0.0	0.0
Cibersort-HPCA	CD4 T Cells	K	0.53208	0.0	0.53208	0.2831091264
Cibersort-HPCA	CD8 T Cells	K	0.24543	1.0	0.75457	0.5693758849
Cibersort-HPCA	B Cells	L	0.00024	0.0	0.00024	5.76e-08
Cibersort-HPCA	Monocytes	L	0.11728	0.0	0.11728	0.0137545984
Cibersort-HPCA	NK	L	0.08341	0.0	0.08341	0.0069572281
Cibersort-HPCA	Neutrophils	L	0.0	0.0	0.0	0.0
Cibersort-HPCA	CD4 T Cells	L	0.60192	1.0	0.39808	0.1584676864
Cibersort-HPCA	CD8 T Cells	L	0.14784	0.0	0.14784	0.0218566656
Cibersort-ImmunoStates	B Cells	A	0.08648	0.194	0.10752	0.0115605504
Cibersort-ImmunoStates	Monocytes	A	0.30051	0.194	0.10651	0.0113443801
Cibersort-ImmunoStates	NK	A	0.19596	0.194	0.00196	3.8416e-06
Cibersort-ImmunoStates	Neutrophils	A	0.0	0.03	0.03	0.0009
Cibersort-ImmunoStates	CD4 T Cells	A	0.12582	0.194	0.06818	0.0046485124
Cibersort-ImmunoStates	CD8 T Cells	A	0.14702	0.194	0.04698	0.0022071204
Cibersort-ImmunoStates	B Cells	B	0.07728	0.194	0.11672	0.0136235584
Cibersort-ImmunoStates	Monocytes	B	0.27858	0.194	0.08458	0.0071537764
Cibersort-ImmunoStates	NK	B	0.21666	0.194	0.02266	0.0005134756
Cibersort-ImmunoStates	Neutrophils	B	0.00309	0.03	0.02691	0.0007241481
Cibersort-ImmunoStates	CD4 T Cells	B	0.17587	0.194	0.01813	0.0003286969
Cibersort-ImmunoStates	CD8 T Cells	B	0.13209	0.194	0.06191	0.0038328481
Cibersort-ImmunoStates	B Cells	C	0.00515	0.005	0.00015	2.25e-08
Cibersort-ImmunoStates	Monocytes	C	0.03691	0.01	0.02691	0.0007241481
Cibersort-ImmunoStates	NK	C	0.20041	0.051	0.14941	0.0223233481
Cibersort-ImmunoStates	Neutrophils	C	0.00046	0.004	0.00354	1.25316e-05
