Tool-Reference	CellType	Sample	Prediction	Answer	Error	SqError
Cibersort-ImmunoStates	NK	HD31PBMC3	0.04985	0.049	0.00085	7.225e-07
Cibersort-ImmunoStates	T Cells	HD31PBMC7	0.44022	0.636	0.19578	0.0383298084
Cibersort-ImmunoStates	Monocytes	HD31PBMC7	0.32437	0.144	0.18037	0.0325333369
Cibersort-ImmunoStates	B Cells	HD31PBMC7	0.09892	0.097	0.00192	3.6864e-06
Cibersort-ImmunoStates	NK	HD31PBMC7	0.05173	0.036	0.01573	0.0002474329
Cibersort-LM22	T Cells	HD30PBMC0	0.32152	0.514	0.19248	0.0370485504
Cibersort-LM22	Monocytes	HD30PBMC0	0.40013	0.155	0.24513	0.0600887169
Cibersort-LM22	B Cells	HD30PBMC0	0.02298	0.043	0.02002	0.0004008004
Cibersort-LM22	NK	HD30PBMC0	0.23313	0.178	0.05513	0.0030393169
Cibersort-LM22	T Cells	HD30PBMC1	0.27145	0.457	0.18555	0.0344288025
Cibersort-LM22	Monocytes	HD30PBMC1	0.46522	0.214	0.25122	0.0631114884
Cibersort-LM22	B Cells	HD30PBMC1	0.01558	0.048	0.03242	0.0010510564
Cibersort-LM22	NK	HD30PBMC1	0.21974	0.168	0.05174	0.0026770276
Cibersort-LM22	T Cells	HD30PBMC3	0.3677	0.58	0.2123	0.04507129
Cibersort-LM22	Monocytes	HD30PBMC3	0.38172	0.153	0.22872	0.0523128384
Cibersort-LM22	B Cells	HD30PBMC3	0.02379	0.042	0.01821	0.0003316041
Cibersort-LM22	NK	HD30PBMC3	0.20229	0.148	0.05429	0.0029474041
Cibersort-LM22	T Cells	HD30PBMC7	0.39744	0.578	0.18056	0.0326019136
Cibersort-LM22	Monocytes	HD30PBMC7	0.35203	0.135	0.21703	0.0471020209
Cibersort-LM22	B Cells	HD30PBMC7	0.04053	0.066	0.02547	0.0006487209
Cibersort-LM22	NK	HD30PBMC7	0.19619	0.132	0.06419	0.0041203561
Cibersort-LM22	T Cells	HD31PBMC0	0.37215	0.59	0.21785	0.0474586225
Cibersort-LM22	Monocytes	HD31PBMC0	0.46882	0.181	0.28782	0.0828403524
Cibersort-LM22	B Cells	HD31PBMC0	0.06384	0.091	0.02716	0.0007376656
Cibersort-LM22	NK	HD31PBMC0	0.07061	0.045	0.02561	0.0006558721
Cibersort-LM22	T Cells	HD31PBMC1	0.3861	0.623	0.2369	0.05612161
Cibersort-LM22	Monocytes	HD31PBMC1	0.45672	0.17	0.28672	0.0822083584
Cibersort-LM22	B Cells	HD31PBMC1	0.05527	0.093	0.03773	0.0014235529
Cibersort-LM22	NK	HD31PBMC1	0.08872	0.034	0.05472	0.0029942784
Cibersort-LM22	T Cells	HD31PBMC3	0.38977	0.654	0.26423	0.0698174929
Cibersort-LM22	Monocytes	HD31PBMC3	0.45595	0.175	0.28095	0.0789329025
Cibersort-LM22	B Cells	HD31PBMC3	0.03688	0.061	0.02412	0.0005817744
Cibersort-LM22	NK	HD31PBMC3	0.09161	0.049	0.04261	0.0018156121
Cibersort-LM22	T Cells	HD31PBMC7	0.43046	0.636	0.20554	0.0422466916
Cibersort-LM22	Monocytes	HD31PBMC7	0.41837	0.144	0.27437	0.0752788969
Cibersort-LM22	B Cells	HD31PBMC7	0.03547	0.097	0.06153	0.0037859409
Cibersort-LM22	NK	HD31PBMC7	0.0926	0.036	0.0566	0.00320356
Decon-BLUEPRINT	T Cells	HD30PBMC0	0.52475	0.514	0.01075	0.0001155625
Decon-BLUEPRINT	Monocytes	HD30PBMC0	0.45212	0.155	0.29712	0.0882802944
Decon-BLUEPRINT	B Cells	HD30PBMC0	0.0	0.043	0.043	0.001849
Decon-BLUEPRINT	NK	HD30PBMC0	0.0	0.178	0.178	0.031684
Decon-BLUEPRINT	T Cells	HD30PBMC1	0.48359	0.457	0.02659	0.0007070281
Decon-BLUEPRINT	Monocytes	HD30PBMC1	0.42091	0.214	0.20691	0.0428117481
Decon-BLUEPRINT	B Cells	HD30PBMC1	0.0	0.048	0.048	0.002304
Decon-BLUEPRINT	NK	HD30PBMC1	0.0	0.168	0.168	0.028224
Decon-BLUEPRINT	T Cells	HD30PBMC3	0.55446	0.58	0.02554	0.0006522916
Decon-BLUEPRINT	Monocytes	HD30PBMC3	0.44554	0.153	0.29254	0.0855796516
Decon-BLUEPRINT	B Cells	HD30PBMC3	0.0	0.042	0.042	0.001764
Decon-BLUEPRINT	NK	HD30PBMC3	0.0	0.148	0.148	0.021904
Decon-BLUEPRINT	T Cells	HD30PBMC7	0.56076	0.578	0.01724	0.0002972176
Decon-BLUEPRINT	Monocytes	HD30PBMC7	0.43336	0.135	0.29836	0.0890186896
Decon-BLUEPRINT	B Cells	HD30PBMC7	0.00589	0.066	0.06011	0.0036132121
Decon-BLUEPRINT	NK	HD30PBMC7	0.0	0.132	0.132	0.017424
Decon-BLUEPRINT	T Cells	HD31PBMC0	0.53727	0.59	0.05273	0.0027804529
Decon-BLUEPRINT	Monocytes	HD31PBMC0	0.43358	0.181	0.25258	0.0637966564
Decon-BLUEPRINT	B Cells	HD31PBMC0	0.0	0.091	0.091	0.008281
Decon-BLUEPRINT	NK	HD31PBMC0	0.0	0.045	0.045	0.002025
Decon-BLUEPRINT	T Cells	HD31PBMC1	0.55324	0.623	0.06976	0.0048664576
Decon-BLUEPRINT	Monocytes	HD31PBMC1	0.44676	0.17	0.27676	0.0765960976
Decon-BLUEPRINT	B Cells	HD31PBMC1	0.0	0.093	0.093	0.008649
Decon-BLUEPRINT	NK	HD31PBMC1	0.0	0.034	0.034	0.001156
Decon-BLUEPRINT	T Cells	HD31PBMC3	0.54593	0.654	0.10807	0.0116791249
Decon-BLUEPRINT	Monocytes	HD31PBMC3	0.45407	0.175	0.27907	0.0778800649
Decon-BLUEPRINT	B Cells	HD31PBMC3	0.0	0.061	0.061	0.003721
Decon-BLUEPRINT	NK	HD31PBMC3	0.0	0.049	0.049	0.002401
Decon-BLUEPRINT	T Cells	HD31PBMC7	0.5479	0.636	0.0881	0.00776161
Decon-BLUEPRINT	Monocytes	HD31PBMC7	0.4521	0.144	0.3081	0.09492561
Decon-BLUEPRINT	B Cells	HD31PBMC7	0.0	0.097	0.097	0.009409
Decon-BLUEPRINT	NK	HD31PBMC7	0.0	0.036	0.036	0.001296
Decon-HPCA	T Cells	HD30PBMC0	0.29829	0.514	0.21571	0.0465308041
Decon-HPCA	Monocytes	HD30PBMC0	0.35998	0.155	0.20498	0.0420168004
Decon-HPCA	B Cells	HD30PBMC0	0.18337	0.043	0.14037	0.0197037369
Decon-HPCA	NK	HD30PBMC0	0.06925	0.178	0.10875	0.0118265625
Decon-HPCA	T Cells	HD30PBMC1	0.26867	0.457	0.18833	0.0354681889
Decon-HPCA	Monocytes	HD30PBMC1	0.44024	0.214	0.22624	0.0511845376
Decon-HPCA	B Cells	HD30PBMC1	0.14656	0.048	0.09856	0.0097140736
Decon-HPCA	NK	HD30PBMC1	0.03921	0.168	0.12879	0.0165868641
Decon-HPCA	T Cells	HD30PBMC3	0.33765	0.58	0.24235	0.0587335225
Decon-HPCA	Monocytes	HD30PBMC3	0.26922	0.153	0.11622	0.0135070884
Decon-HPCA	B Cells	HD30PBMC3	0.23761	0.042	0.19561	0.0382632721
Decon-HPCA	NK	HD30PBMC3	0.07477	0.148	0.07323	0.0053626329
Decon-HPCA	T Cells	HD30PBMC7	0.38062	0.578	0.19738	0.0389588644
Decon-HPCA	Monocytes	HD30PBMC7	0.22051	0.135	0.08551	0.0073119601
Decon-HPCA	B Cells	HD30PBMC7	0.24087	0.066	0.17487	0.0305795169
Decon-HPCA	NK	HD30PBMC7	0.07213	0.132	0.05987	0.0035844169
Decon-HPCA	T Cells	HD31PBMC0	0.27258	0.59	0.31742	0.1007554564
Decon-HPCA	Monocytes	HD31PBMC0	0.33306	0.181	0.15206	0.0231222436
Decon-HPCA	B Cells	HD31PBMC0	0.24866	0.091	0.15766	0.0248566756
Decon-HPCA	NK	HD31PBMC0	0.05101	0.045	0.00601	3.61201e-05
Decon-HPCA	T Cells	HD31PBMC1	0.29593	0.623	0.32707	0.1069747849
Decon-HPCA	Monocytes	HD31PBMC1	0.29893	0.17	0.12893	0.0166229449
Decon-HPCA	B Cells	HD31PBMC1	0.25937	0.093	0.16637	0.0276789769
Decon-HPCA	NK	HD31PBMC1	0.05735	0.034	0.02335	0.0005452225
Decon-HPCA	T Cells	HD31PBMC3	0.32936	0.654	0.32464	0.1053911296
Decon-HPCA	Monocytes	HD31PBMC3	0.31099	0.175	0.13599	0.0184932801
Decon-HPCA	B Cells	HD31PBMC3	0.23429	0.061	0.17329	0.0300294241
