"gene_symbol","Neutrophils","T_cells_Gamma_Delta","Monocytes","Macrophages","T_cells_CD4.","Fibroblasts","Keratinocytes","Blood_CD34._cells","Vascular_Endothelial_Cells","Platelets"
"CLEC3B",27.196225,37.136836,37.258816,31.382404,24.591681,66.552964,24.462916,31.820881,36,26.357956
"CLEC4A",96.589584,16.842816,94.711824,69.405561,28.826161,19.000881,20.016676,31.36,17.547721,30.5809
"CLEC4C",16.785409,11.744329,12.981609,11.235904,11.512449,11.142244,11.519236,12.6025,11.2225,12.362256
"CLEC4D",61.402896,16.265089,53.202436,28.344976,17.040384,15.984004,16.176484,19.088161,17.048641,20.857489
"CLEC4E",93.799225,19.954089,72.7609,50.5521,21.095649,19.509889,18.5761,21.977344,18.879025,25.745476
"CLEC4F",30.382144,36.505764,34.000561,28.793956,27.217089,27.973521,26.091664,25.633969,28.504921,27.499536
"CLEC4G",19.439281,16.273156,24.147396,20.875761,17.065161,17.614809,17.438976,21.132409,17.156164,19.731364
"CLEC4GP1",32.364721,27.321529,29.116816,30.658369,27.510025,28.015849,26.020201,26.327161,28.611801,36.929929
"CLEC4M",21.022225,19.829209,19.722481,20.493729,18.931201,18.558864,18.3184,19.518724,34.786404,21.986721
"CLEC5A",33.166081,12.716356,69.488896,59.5984,14.2129,11.957764,12.780625,21.818241,11.7649,17.338896
"CLEC7A",87.647044,19.289664,64.096036,48.762289,18.774889,15.342889,21.031396,22.420225,15.217801,21.696964
"CLECL1",16.337764,20.142144,23.804641,25.593481,20.25,15.335056,15.888196,17.749369,15.721225,19.492225
"CLGN",13.046544,11.553201,15.233409,14.607684,11.2225,31.259281,11.978521,51.1225,11.812969,13.741849
"CLIC1",146.942884,149.866564,139.783329,130.8736,106.337344,138.2976,129.322384,132.779529,138.509361,110.965156
"CLIC2",19.236996,14.017536,37.393225,54.110736,16.394401,22.534009,21.123216,43.599609,49.252324,18.335524
"CLIC3",19.758025,28.858384,24.472809,17.952169,23.011209,46.840336,88.7364,16.040025,26.183689,17.1396
"CLIC4",41.847961,22.934521,63.218401,77.668969,29.084449,105.719524,65.674816,46.335249,93.7024,65.642404
"CLIC5",23.222761,27.112849,21.566736,21.8089,28.569025,19.105641,20.912329,20.142144,19.140625,26.030404
"CLIC6",22.174681,22.420225,21.132409,22.667121,21.409129,22.6576,19.474569,20.629764,19.035769,22.572001
"CLINT1",52.461049,57.532225,57.775201,51.279921,54.140164,54.066609,55.2049,56.010256,53.523856,41.589601
"CLIP1",39.526369,34.374769,37.4544,35.928036,34.539129,38.601369,43.086096,30.647296,32.890225,37.601424
"CLIP2",24.651225,30.924721,45.400644,37.994896,25.836889,59.013124,40.220964,42.497361,58.232161,52.287361
"CLIP3",27.973521,27.573001,26.8324,26.543104,26.388769,54.037201,25.765776,26.790976,40.043584,31.775769
"CLIP4",27.857284,57.577744,51.351556,64.657681,53.231616,59.490369,70.459236,43.217476,38.019556,35.212356
"CLK2",59.274601,81,74.269924,67.371264,83.302129,63.473089,72.488196,81.378441,66.928761,54.449641
"CLK3",76.003524,67.930564,69.973225,61.277584,70.930084,60.886809,66.487716,64.496961,63.457156,46.036225
"CLK4",45.603009,35.034561,37.871716,31.640625,43.2964,29.942784,34.445161,40.972801,28.901376,29.5936
"CLLU1",12.496225,11.519236,12.432676,11.888704,11.316496,11.015761,11.0889,11.249316,10.653696,21.827584
"CLMN",24.611521,19.333609,45.522009,37.6996,19.998784,20.286016,25.664356,23.921881,20.349121,22.9441
"CLN3",72.114064,67.765824,71.284249,73.085401,62.473216,64.096036,62.173225,59.228416,66.716224,46.362481
"CLN5",34.117281,45.185284,48.288601,61.3089,45.6976,58.171129,54.331641,41.190724,60.031504,24.433249
"CLN6",34.727449,40.030929,35.497764,38.763076,32.787076,32.959081,32.959081,35.200489,33.895684,30.614089
"CLN8",29.2681,28.206721,46.1041,59.382436,33.558849,41.757444,54.287424,36.385024,48.776256,32.353344
"CLNK",15.077689,17.505856,15.397776,15.382084,16.394401,14.5924,15.531481,16.760836,14.953689,16.370116
"CLNS1A",32.775625,62.805625,59.845696,54.700816,71.385601,56.295009,59.490369,77.176225,56.942116,51.782416
"CLOCK",25.250625,33.860761,31.114084,33.431524,30.603024,37.173409,34.082244,26.956864,37.515625,25.897921
"CLP1",35.844169,34.609689,34.269316,33.779344,33.039504,32.706961,33.64,33.108516,31.990336,30.780304
"CLPB",29.138404,38.950081,35.0464,35.988001,30.8025,33.535681,35.820225,33.500944,35.557369,30.217009
"CLPP",45.873529,88.454025,55.130625,58.752225,70.913241,73.599241,72.7609,66.846976,80.317444,34.245904
"CLPS",22.591009,23.377225,23.155344,22.867524,23.338561,22.714756,23.059204,21.977344,22.915369,25.755625
"CLPTM1",57.9121,70.476025,61.058596,65.431921,49.815364,68.178049,60.155536,40.538689,66.308449,42.497361
"CLPTM1L",51.6961,68.5584,59.706529,61.544025,59.105344,64.096036,64.080025,57.532225,64.096036,45.1584
"CLPX",47.720464,68.790436,53.071225,55.428025,64.176121,58.767556,74.373376,68.128516,60.84,47.720464
"CLRN1",20.4304,17.673616,18.809569,18.792225,18.215824,17.5561,17.480761,17.631601,17.297281,19.8916
"CLRN1OS",16.459249,14.523721,15.745024,15.484225,15.303744,15.0544,14.220441,15.800625,15.476356,16.426809
"CLRN3",15.816529,13.461561,15.124321,15.816529,13.793796,14.122564,14.0625,13.359025,17.280649,15.327225
"CLSPN",15.642025,26.286129,15.046641,15.437041,15.824484,16.990884,15.8404,17.264025,16.434916,16.966161
"CLSTN1",48.038761,86.508601,72.216004,71.132356,89.6809,91.259809,102.495376,81.450625,93.8961,65.464281
"CLSTN2",20.9764,17.131321,18.524416,18.472804,17.918289,18.601969,20.7936,17.197609,18.870336,21.003889
"CLSTN3",38.081241,50.098084,38.975049,36.144144,36.942084,34.316164,33.593616,34.3396,35.940025,55.726225
"CLTA",56.145049,69.355584,66.5856,68.956416,61.074225,70.476025,68.029504,65.189476,73.410624,59.351616
"CLTB",51.724864,56.070144,50.424201,50.282281,47.651409,62.378404,88.378801,44.368921,61.136761,33.2929
"CLTC",37.908649,37.271025,36.881329,39.400729,32.970564,38.675961,37.552384,36.566209,38.303721,31.663129
"CLTCL1",41.486481,33.315984,36.084049,32.2624,31.427236,42.994249,40.157569,29.8116,34.539129,33.977241
"CLU",31.8096,53.655625,41.049649,35.105625,28.708164,72.692676,41.705764,52.258441,115.949824,114.9184
"CLUAP1",24.344356,30.6916,26.604964,30.184036,38.875225,43.877376,34.445161,33.9889,37.994896,29.844369
"CLUL1",17.280649,16.104169,16.793604,17.5561,16.248961,17.673616,17.297281,16.703569,16.630084,20.502784
"CLVS1",26.347689,21.353641,22.791076,24.7009,22.915369,21.827584,22.857961,21.958596,22.391824,22.982436
"CLVS2",16.370116,15.968016,16.088121,15.752961,15.303744,15.202201,15.626209,15.163236,15.888196,15.713296
"CLYBL",19.873764,22.924944,21.095649,26.553409,27.888961,18.913801,22.553001,27.321529,21.8089,25.230529
"CMA1",19.971961,19.307236,19.395216,19.333609,18.130564,18.122049,17.740944,18.584721,17.497489,28.8369
"CMAH",21.307456,52.070656,22.033636,23.251684,31.382404,22.344529,16.168441,28.376929,19.088161,35.153041
"CMAS",24.830289,45.657049,36.457444,39.513796,38.415204,38.775529,45.900625,43.046721,41.7316,30.747025
"CMBL",52.099524,47.458321,49.392784,50.808384,50.339025,64.6416,48.650625,70.526404,63.3616,69.739201
"CMC1",31.483321,95.316169,50.013184,67.930564,66.699889,65.464281,70.442449,68.459076,70.660836,52.969284
"CMIP",67.141636,53.684929,56.987401,51.236964,40.119556,44.142736,51.638596,39.8161,50.083929,58.997761
"CMKLR1",30.294016,24.920064,38.502025,40.094224,24.790441,25.684624,23.639044,25.040016,30.769209,30.958096
"CMPK1",40.806544,66.846976,57.957769,58.690921,65.318724,64.144081,63.457156,60.668521,60.155536,82.047364
"CMPK2",80.712256,83.795716,79.9236,75.724804,56.927025,20.967241,32.672656,83.137924,26.9361,89.529444
