gene_symbol	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells
FZD7	17.181025	32.410249	28.462225	26.224641	85.969984	41.357761	17.816841	27.071209	17.114769	16.4836	16.491721	38.167684	15.848361	18.844281	48.706441	13.039321	15.437041	16.443025	15.578809	14.0625	13.373649
GABRB1	15.515721	13.793796	12.306064	24.147396	12.397441	12.938409	11.840481	12.659364	13.140625	13.682601	14.371681	12.680721	15.460624	15.563025	11.303044	17.089956	16.1604	17.564481	14.508481	27.920656	11.662225
GAGE1	15.335056	13.771521	14.699556	72.7609	13.830961	14.258176	15.241216	14.753281	15.046641	15.586704	16.597476	17.614809	17.189316	25.847056	12.124324	14.784025	14.032516	17.581249	15.007876	14.333796	13.359025
GALT	38.378025	32.901696	32.467204	33.7561	33.039504	32.421636	39.262756	31.775769	32.798529	33.965584	28.068804	33.315984	33.895684	40.589641	35.271721	49.350625	44.262409	39.012516	36.469521	38.254225	35.772361
GAN	15.100996	17.859076	14.653584	69.956496	16.265089	37.380996	13.9876	13.5424	14.485636	18.931201	13.1769	12.1104	13.897984	11.370384	11.655396	13.446889	14.531344	19.642624	18.045504	13.432225	15.007876
GAPT	55.041561	61.355889	18.913801	130.827844	11.102224	11.175649	10.923025	32.6041	80.389156	15.784729	81.036004	13.586596	52.490025	14.447601	14.243076	21.603904	15.077689	15.563025	10.837264	11.0889	11.819844
GAS2	15.952036	15.9201	11.8336	15.976009	12.524521	14.318656	13.483584	11.847364	11.999296	12.938409	12.3201	33.120025	18.8356	14.714896	16.4836	14.607684	14.791716	15.0544	11.881809	15.547249	16.305444
GAS2L3	17.757796	34.175716	62.2521	14.615329	43.441281	34.4569	37.933281	60.6841	37.075921	23.609881	19.140625	22.118209	23.746129	25.230529	34.199104	17.715681	19.254544	16.916769	19.018321	16.999129	58.583716
GATA3	19.8025	27.646564	20.3401	21.921124	17.4724	80.658361	27.8784	25.522704	21.613201	77.018176	24.860196	20.930625	39.112516	23.059204	25.090081	64.304361	78.641424	66.863329	66.9124	86.471401	21.538881
GBA3	14.577124	13.586596	13.875625	17.1396	13.053769	13.520329	13.337104	13.860729	15.413476	13.801225	14.055001	39.137536	14.326225	15.928081	11.751184	13.490929	13.169641	13.778944	13.483584	13.256881	12.559936
GBP5	35.378704	37.638225	37.9456	23.561316	18.974736	19.430464	20.866624	45.454564	51.1225	84.125584	81.036004	28.976689	48.734361	21.031396	21.780889	71.656225	70.425664	75.099556	95.0625	96.059601	17.564481
GCET2	24.01	16.933225	17.3889	13.293316	13.446889	14.799409	13.623481	15.108769	16.0	15.241216	15.2881	22.667121	20.439441	18.5761	12.666481	23.541904	27.994681	19.201924	17.288964	16.769025	13.823524
GEN1	49.056016	32.581264	21.855625	12.215025	21.2521	25.816561	16.329681	22.287841	18.045504	29.713401	13.897984	18.653761	18.992164	11.329956	17.791524	18.957316	22.118209	18.774889	39.476089	20.133169	23.222761
