Gene	CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell
SH3BP2	49.547104	48.388988	42.298241	101.992607	79.399162	56.056652	27.352167	26.532515	82.502571	42.780045	24.922846	33.249577	26.337246	26.757652	51.621704	32.345612	86.296898	69.319519	27.352167	22.967094
SIDT1	21.399233	28.812832	91.284546	81.318825	127.059723	97.926567	17.990255	51.621704	45.065201	117.313843	55.130535	36.996227	15.753381	16.293543	193.870102	25.649586	243.949341	30.230354	80.29747	58.582626
SIGLEC6	19.954008	28.401363	24.776411	27.352167	31.229664	22.13479	203.580429	40.255306	32.183662	26.337246	15.753381	32.183662	18.945938	21.897953	73.572762	21.776926	42.298241	25.426506	18.837408	91.284546
SLC12A3	18.727728	26.337246	16.643427	11.812012	17.896976	18.453339	20.501995	15.527487	17.362093	15.884336	20.837421	20.753363	13.583591	13.339705	29.139278	17.4568	21.503334	18.453339	22.525253	70.662674
SLC15A3	231.14064	375.271942	46.223537	29.00341	41.440552	26.998066	31.229664	33.53194	19.050083	11.942526	54.508545	793.726746	1283.386353	1283.386353	78.17527	569.837585	96.398735	293.394714	64.368958	47.972385
SLC17A5	42.298241	41.055653	54.026958	34.6744	45.686771	47.972385	82.502571	21.153776	33.249577	55.130535	60.340691	225.375961	22.785128	32.682171	52.109005	31.680347	50.710217	54.026958	124.126831	25.649586
SLC1A4	34.39127	47.398479	36.660488	54.026958	57.106258	47.398479	81.318825	91.284546	42.298241	129.484024	72.499123	87.639282	96.398735	48.738468	92.680656	52.576218	72.499123	26.757652	293.394714	137.642548
SLC38A1	25.649586	24.666662	424.066406	203.580429	508.444244	508.444244	47.398479	76.026848	330.502472	330.502472	167.175339	21.399233	21.776926	22.862003	330.502472	105.168152	424.066406	47.972385	261.633698	80.29747
SLC4A1AP	58.582626	40.624195	82.502571	87.639282	217.685989	103.535278	60.340691	94.463287	73.572762	97.926567	70.662674	72.499123	56.056652	61.806778	101.992607	54.026958	94.463287	58.582626	78.17527	22.2642
SLC6A13	25.051746	22.785128	23.860415	37.646557	23.391291	30.688305	38.9128	37.646557	31.229664	30.230354	16.539188	25.051746	31.680347	31.680347	31.937752	18.727728	24.776411	25.308821	90.182289	182.220596
SLC7A7	950.926147	1283.386353	76.026848	69.894371	61.086529	35.513618	59.57922	35.240398	57.691223	27.352167	94.463287	243.949341	793.726746	508.444244	170.333893	167.175339	193.870102	137.642548	231.14064	13.239426
SLC9A3R1	137.642548	313.591827	330.502472	508.444244	193.870102	375.271942	120.032059	375.271942	375.271942	424.066406	163.1707	57.691223	92.680656	87.639282	105.168152	94.463287	92.680656	203.580429	176.582184	15.414994
SLCO2B1	20.178867	23.993692	14.829544	15.619143	14.829544	14.927616	85.041138	20.278244	19.671268	19.750544	26.998066	375.271942	117.313843	231.14064	16.643427	35.240398	14.468279	17.796587	25.426506	26.532515
SMARCD3	64.368958	39.279461	32.975945	22.13479	33.53194	34.949799	41.440552	23.095299	15.198966	21.254532	31.229664	15.527487	29.972618	32.183662	23.993692	22.862003	20.935862	25.834925	19.374172	24.575848
SOCS2	18.229898	16.796598	69.319519	69.319519	68.344315	50.208652	96.398735	950.926147	69.894371	105.168152	117.313843	23.498703	41.440552	28.096432	32.682171	40.255306	23.391291	32.345612	41.055653	13.716675
SPAG4	13.816945	12.727759	18.453339	18.112009	20.599075	20.753363	45.686771	30.688305	15.414994	33.53194	19.160997	20.501995	21.653194	20.599075	11.812012	16.293543	11.564937	21.776926	273.328735	30.969177
STAB2	16.454206	22.525253	17.712387	10.187995	13.583591	14.370027	18.837408	16.975634	20.058748	13.931892	19.558275	22.967094	10.371782	9.181261	18.229898	15.110243	21.153776	11.400105	29.309015	24.131315
STEAP4	31.229664	16.376865	11.042014	9.988274	12.117452	8.62093	15.994379	22.525253	14.695355	12.117452	10.371782	11.942526	14.370027	15.110243	10.187995	17.166605	8.243716	163.1707	5.551838	11.812012
SYNE1	15.414994	13.339705	21.254532	41.440552	149.063263	45.686771	17.4568	18.945938	273.328735	26.532515	15.007893	13.444147	17.610331	21.399233	48.738468	18.837408	74.89193	21.04863	20.935862	13.583591
TAGLN	39.620373	76.026848	26.337246	30.969177	31.680347	23.860415	24.776411	52.576218	34.39127	32.345612	25.993835	19.954008	35.920647	39.620373	45.686771	34.082596	57.106258	29.565622	25.834925	23.095299
TBC1D8	60.340691	101.992607	30.230354	27.673843	41.949062	24.131315	50.208652	39.954044	44.500584	28.812832	27.551815	45.065201	69.894371	66.105049	34.949799	115.355324	36.996227	33.53194	22.13479	26.337246
TCL1A	24.417809	21.776926	28.679478	21.254532	16.376865	30.969177	19.750544	19.558275	45.686771	27.903774	50.710217	23.258432	16.643427	15.619143	76.026848	17.610331	793.726746	27.352167	72.499123	793.726746
TFEC	76.026848	23.860415	11.942526	21.653194	14.468279	12.850965	14.927616	17.610331	18.329815	20.837421	52.962521	54.508545	34.39127	48.388988	42.780045	42.298241	15.753381	22.13479	14.025251	55.130535
TGM3	18.453339	21.653194	15.198966	15.110243	17.610331	19.954008	20.362188	32.975945	20.837421	25.993835	14.370027	24.417809	20.058748	18.229898	19.050083	23.391291	21.776926	112.568771	26.998066	33.756168
TLL1	5.551838	14.263503	5.551838	9.181261	12.555463	5.551838	8.243716	16.376865	15.994379	13.444147	5.551838	9.181261	8.243716	9.748645	8.62093	9.532182	9.988274	13.931892	9.748645	131.738464
TLR5	105.168152	85.041138	40.255306	29.565622	25.426506	25.308821	22.400589	19.050083	29.00341	26.998066	22.042309	91.284546	32.345612	85.041138	20.278244	34.949799	23.763468	73.572762	21.776926	14.927616
TLR8	217.685989	117.313843	23.993692	31.680347	25.993835	11.400105	13.002691	18.572136	15.619143	14.695355	19.254171	74.89193	127.059723	77.238762	9.988274	69.894371	9.181261	243.949341	11.564937	18.453339
TM4SF5	14.695355	14.025251	13.931892	7.650875	16.293543	17.896976	22.2642	8.243716	12.555463	16.376865	16.18446	14.587454	7.650875	8.62093	14.468279	15.619143	13.716675	13.239426	61.086529	17.4568
TMC6	65.056778	131.738464	198.738663	217.685989	78.17527	163.1707	88.529335	124.126831	92.680656	74.89193	54.026958	120.032059	115.355324	149.063263	139.456406	107.397041	182.220596	52.109005	86.296898	99.472412
TMEM9B	273.328735	459.515839	231.14064	243.949341	459.515839	209.98024	225.375961	313.591827	424.066406	209.98024	170.333893	508.444244	193.870102	261.633698	261.633698	375.271942	330.502472	90.182289	225.375961	101.992607
TMF1	48.738468	35.920647	94.463287	91.284546	231.14064	85.041138	52.109005	87.639282	86.296898	80.29747	83.578552	43.115932	35.240398	41.440552	68.344315	50.710217	78.17527	68.344315	61.806778	43.324879
TNFRSF10C	29.565622	30.535194	19.254171	20.837421	14.025251	19.468847	29.972618	38.9128	68.344315	14.370027	21.254532	18.329815	26.532515	27.153866	25.308821	22.785128	25.649586	92.680656	13.12596	29.309015
