Gene symbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
CD160	415.04068	256.268402	155.725891	863.071533	145.768585	133.538162	158.557175	88.628784	215.730316	2746.701172	2602.697266	788.016907	100.362663	112.582191	71.304649	37.687332	89.880508	91.486671	64.674812	82.469223	118.833199	149.026138
CD180	1384.61438	2198.781738	2198.781738	79.628654	24.949003	39.051083	94.884102	56.972141	164.080719	89.880508	33.503876	29.827385	622.792786	288.690521	119.958435	3170.206787	145.768585	103.74852	65.279793	46.748817	71.304649	79.628654
CD19	5335.622559	5335.622559	2992.81665	132.276779	167.068863	56.57526	104.839767	168.917679	198.334778	103.74852	77.739517	102.017166	178.360687	131.257629	108.613419	145.768585	165.811829	198.334778	129.063187	113.605453	275.834808	165.811829
CD1A	1116.786987	947.45874	826.968384	192.217972	184.859802	211.234772	139.854202	184.859802	422.879303	175.873199	126.726799	157.021622	351.045685	318.910461	155.725891	158.557175	19182.162109	990.938416	117.086044	158.557175	168.917679	284.818665
CD1B	1188.973755	304.395172	480.992065	56.086121	24.181501	213.947983	51.687199	24.181501	40.869915	168.917679	129.063187	108.613419	217.648285	234.001724	80.563194	130.110428	26056.392578	1749.887451	133.538162	138.674103	78.145706	247.349472
CD1C	1137.147827	2899.61084	38.693993	43.791424	93.755974	222.45314	36.614388	49.624992	13.140173	32.014259	32.606316	29.342499	542.601257	37.687332	23.231144	172.26033	12117.945313	767.913879	27.166094	29.342499	15.730737	167.068863
CD1D	219.593933	402.207336	247.349472	17.270029	33.843536	13.415968	7.871305	56.57526	40.281143	192.217972	14.148811	16.882568	3170.206787	67.159706	392.378967	41.651775	117.086044	55.651569	72.005432	20.10404	28.968689	98.808739
CD1E	64.674812	61.775917	62.602283	52.564182	98.172882	57.56839	36.239407	70.331421	64.264938	21.668028	44.20126	32.809681	94.884102	65.279793	46.071384	106.30899	11181.758789	1068.119873	46.748817	43.791424	27.697506	33.503876
CD2	379.010162	386.983765	574.789612	6308.292969	7878.514648	11181.758789	16311.804688	16311.804688	12117.945313	5335.622559	4856.819824	2992.81665	244.041504	202.197449	114.302994	204.177948	271.723083	181.495316	441.402924	119.958435	468.494446	398.577698
CD209	81.148239	33.503876	29.827385	21.435146	123.377251	20.857456	25.65695	28.306686	137.760452	79.212257	38.354115	31.305862	85.671661	451.44223	188.412186	2992.81665	2992.81665	260.853912	67.159706	151.624985	59.421028	93.013641
