Symbol	A	B	C	D	E	F	G	H	I	J	K	L
LOC644191	258.957886	284.169281	293.756836	310.70401	288.750854	298.82724	250.037064	257.28067	248.343552	293.777405	338.46579	316.626556
LOC283267	88.149963	86.157906	86.197914	83.568794	91.893166	102.086311	81.377533	91.267319	96.039658	81.261589	96.864532	86.182793
AKAP4	26.979563	16.625511	20.015585	21.319742	29.256672	18.94665	21.169304	26.279713	26.545799	30.25654	14.3508	29.249434
AKAP5	19.964209	24.158863	12.194036	19.993677	26.701466	18.207542	17.791595	27.308332	27.529699	25.557022	25.804054	16.637098
AKAP6	18.085205	7.741666	11.383959	14.93885	13.970299	16.141449	9.4113	18.282396	7.38741	15.433937	11.917534	15.24713
AKAP7	143.640228	140.796524	181.296478	183.718216	170.179276	171.451553	121.010803	118.202629	121.342674	187.890396	184.128677	170.040207
AKAP1	23.221895	28.483635	24.650593	29.449736	32.200115	25.856823	31.242945	36.847481	17.201143	37.038792	38.891388	34.540024
AKAP2	26.424427	33.72274	26.654762	40.30217	29.071737	27.625696	36.932762	21.245508	29.093512	41.216888	34.512558	34.830544
AKAP3	21.982941	16.369427	17.66643	17.666803	35.637146	20.482094	12.261043	13.883699	13.082317	15.130952	16.661739	17.232714
AKAP8	125.179962	129.861221	137.154587	150.011368	146.57869	142.837784	124.61982	135.752853	145.398361	147.047043	153.279251	148.141327
AKAP9	24.18857	27.610153	29.057171	29.885159	30.773943	24.002325	24.370857	21.679527	22.869724	28.192533	19.331337	26.478079
EIF2A	250.22905	270.535767	308.656281	293.370911	266.2117	205.692871	220.42395	265.966339	273.120544	293.784241	289.26944	277.918549
LOC100133293	16.406206	14.473966	13.882176	17.395071	19.842821	18.4554	10.402873	17.64789	14.720737	23.366594	15.158263	14.248644
TUBE1	27.349852	42.25502	41.413883	48.467854	23.955614	26.116596	29.563883	30.988935	37.754654	49.139996	42.040424	33.322918
LOC100133298	41.054573	43.908459	42.929016	39.71537	39.826344	50.699554	44.950939	36.411976	24.729156	38.128166	37.319199	46.268997
TMEM98	21.598492	28.890383	16.021349	17.829388	22.060217	27.698128	24.106514	20.782076	13.839427	20.422035	25.944145	52.214638
LOC650577	21.978203	18.315123	16.624893	17.823763	17.564394	22.35729	14.402949	16.799984	25.113621	21.502445	17.711773	23.592093
PMFBP1	14.406534	11.503554	13.639375	16.859135	12.53124	15.111437	9.205899	21.463257	17.976597	15.541272	18.332773	21.048868
MORG1	74.129517	67.631195	81.480347	78.175186	74.828682	72.177216	73.928871	71.078468	68.975639	79.918159	71.498573	74.63356
OVGP1	64.946152	62.297707	74.598282	77.449493	68.195511	50.75523	53.790409	54.026108	52.108112	81.421799	74.533455	75.429771
FLJ43080	21.555382	17.204767	20.832434	13.868596	18.370607	22.877579	28.333164	23.265345	18.356247	15.750364	20.52746	21.432404
CETN3	70.370613	74.859047	88.779167	81.759598	78.111649	66.137367	60.356365	61.088623	53.611996	82.346901	80.114594	81.496315
