gene_symbol	ACD	ACN	ALO	ATD	BCC	BU	CHA	DLE	ENL	ICD	LL	MEL	MF	NS	PS	RR	SAR	SCC	SJS	WA	WPO
ABCA1	196.333328	342.333344	190.384613	190.5	248.730774	289.774231	209.590912	249.75	437.388336	158.5	583.400024	196.800003	138.333328	240.25	214.666672	387.625	317.181824	244.333328	823.25	168.0	343.5
ABCA11P	48.0	40.599998	24.90909	56.0	40.5	36.666668	41.0	23.461538	31.666666	65.599998	31.666666	36.400002	31.200001	69.36364	37.0	29.666666	37.666668	45.0	20.0	65.272728	49.76923
ABCA12	94.083336	279.0	207.75	155.363632	365.0	184.666672	134.666672	164.882675	19.363636	948.372986	20.923077	78.666664	24.0	312.395172	938.666687	28.181818	169.666672	912.418762	9.75	61.5	198.600006
ABCA13	7.666667	13.423077	22.125	7.666667	10.375	7.4	8.181818	8.0	7.0	8.125	7.166667	9.727273	9.545455	12.0	7.8	7.333333	8.545455	20.5	7.0	29.799999	12.666667
ABCA17P	19.666666	20.0	15.666667	15.75	11.833333	13.090909	18.583334	15.75	16.166666	17.5	15.5	18.545454	31.0	15.0	14.0	14.75	31.5	12.8	13.5	31.272728	21.375
ABCA2	48.0	46.400002	115.666664	40.666668	33.5	45.5	41.0	119.666664	38.5	55.75	35.0	38.0	74.375	42.799999	42.75	36.153847	54.5	38.666668	82.0	37.5	36.799999
ABCA3	90.400002	91.75	108.969757	90.833336	52.833332	55.125	71.5	109.0	74.0	74.0	57.0	72.5	77.5	78.400002	61.81818	75.5	68.625	45.0	80.807693	124.583336	62.75
ABCA4	27.799999	39.200001	46.18182	31.9375	36.25	29.0	21.666666	34.375	21.0	32.416668	23.0	29.0	27.833334	36.625	25.25	25.799999	21.666666	47.5	25.333334	35.25	32.599998
ABCA5	219.454544	74.5	80.36364	353.399994	78.5	76.599998	137.0	77.454544	51.0	313.916656	85.0	99.599998	31.666666	233.800003	96.083336	85.400002	374.25	94.333336	38.0	108.5	70.083336
ABCA6	50.0	60.333332	112.400002	49.545456	13.5	33.23077	21.181818	63.3125	28.875	12.166667	50.0	25.0	71.599998	76.333336	39.4375	31.666666	87.0	12.727273	10.625	115.666664	60.0
ABCA7	82.272011	85.595032	171.800003	166.399994	57.833332	79.0	96.583336	249.333328	81.0	107.199997	62.0	72.125	110.199997	71.5	71.599998	65.5625	76.5	73.25	287.666656	74.5	82.199997
ABCA8	140.0	267.087616	75.599998	90.5	29.181818	50.909092	71.199997	43.73077	53.75	20.166666	142.083328	66.333336	21.5	281.800964	125.599998	136.5	136.5	19.75	16.333334	585.25	121.800003
ABCA9	35.200001	34.833332	52.0	21.75	12.25	25.625	18.25	35.090908	24.5	13.666667	23.0	15.545455	13.5	44.166668	28.0	19.666666	77.666664	12.5	13.333333	43.400002	25.5
ABCB1	27.6	26.0	27.75	33.0	16.0	19.333334	23.200001	22.166666	20.833334	16.0	24.4	17.5	33.666668	27.0	23.416666	31.5	40.0	17.636364	32.727272	43.0	31.666666
ABCB1 /// ABCB4	69.851845	55.346153	130.75	46.400002	23.666666	36.375	46.875	164.800003	94.5	20.166666	75.727272	39.333332	56.400002	46.25	43.5	63.875	139.166672	19.25	35.5	92.92308	64.333336
ABCB10	164.333328	193.600006	77.189507	221.0	143.958298	193.25	128.0	75.5	81.083336	159.850525	255.845123	157.0	339.0	193.600006	239.833328	142.199997	351.625	226.625	226.666672	342.0	429.399994
ABCB11	13.833333	13.0	12.636364	11.6	14.916667	12.416667	13.0	11.375	13.25	12.5	12.5	12.272727	12.25	12.666667	13.833333	13.172905	13.5	12.4	16.166666	11.875	11.6
ABCB4	31.666666	27.0	25.666666	26.181818	19.833334	25.625	27.375	27.454546	16.894361	18.0	19.5	29.333334	21.0	28.0	27.3125	24.09091	50.166668	17.0	20.5	33.400002	28.636364
ABCB5	16.4	17.333334	13.0	16.666666	16.5	15.974277	15.25	14.0	15.625	19.5	17.0	52.272728	15.636364	16.799999	16.4	17.818182	10.75	16.666666	21.333334	19.666666	17.799999
ABCB6	73.75	64.0	253.5	90.0	88.094727	94.0	116.625	358.610687	91.166664	84.545456	62.333332	97.0	59.833332	66.318184	88.0	62.75	57.0	106.181816	67.0	66.0	72.333336
ABCB7	214.0	283.833344	294.86319	165.5	141.0	137.416672	163.333328	261.399994	309.244781	183.5	194.0	133.666672	196.0	237.75	265.333344	175.666672	455.5	180.241974	219.192307	337.919586	262.375
ABCB8	52.666668	49.125	38.125	48.799999	42.666668	50.333332	48.166668	40.333332	41.75	71.0	37.400002	48.833332	56.0	40.75	45.363636	39.0	41.5	44.81818	70.36364	38.599998	40.599998
ABCB9	36.583332	28.166666	30.727272	29.65992	35.625	38.0	36.363636	27.272728	45.75	34.333332	35.727272	34.615383	34.625	30.125	33.375	35.799999	24.59091	33.125	41.427921	26.75	25.5
ABCC1	307.666656	284.0	419.597656	334.727264	789.0	397.666656	163.0	581.818176	302.181824	253.833328	288.333344	289.25	297.666656	204.199997	354.82019	291.200012	1537.800049	484.125	605.666687	161.875	359.727264
ABCC10	184.090912	110.25	134.083328	400.67865	159.346161	216.0	147.333328	170.128296	429.399994	170.5	260.125	506.666656	202.545456	176.399994	159.0	162.363632	182.5	191.912521	450.149506	107.625	174.833328
ABCC11	23.0	18.916666	20.0	29.5	31.799999	22.0	21.799999	21.5	23.75	36.0	25.200001	36.25	30.0	26.0	21.375	26.415834	14.6	33.0	29.625	19.799999	20.0
ABCC12	11.875	12.333333	27.0	12.666667	71.333336	12.125	12.090909	23.90909	13.25	15.0	13.666667	14.125	14.125	13.0	13.75	12.6	11.25	14.666667	17.333334	11.4	11.333333
ABCC13	14.6	12.25	14.333333	13.833333	15.2	13.333333	16.666666	14.0	17.0	15.4	16.6875	16.6	14.4	13.416667	13.5	15.5	11.863636	15.5	14.4375	12.454545	12.375
ABCC2	30.333334	23.681818	37.0	27.5	23.6	23.454546	23.416666	42.666668	20.125	29.833334	22.363636	50.833332	24.4	23.666666	28.615385	21.666666	34.25	25.799999	31.75	21.954546	24.0
ABCC3	72.5	58.272728	64.5	80.583336	55.18182	73.599998	58.833332	66.400002	59.5625	132.75	95.833336	55.5	61.894863	80.66584	60.0625	72.5	65.0	59.0	104.0	45.0	58.0
ABCC4	38.5	43.0	28.875	30.75	29.333334	39.5	57.666668	26.0	54.0	26.4	61.416668	27.5	37.333332	35.3125	33.125	50.666668	58.25	33.666668	19.833334	29.636364	50.0
ABCC5	91.25	61.666668	53.25	129.545456	78.5	101.5	73.800003	54.0	58.636364	112.0	186.081543	136.800003	60.569172	84.333336	81.400002	101.666664	159.800003	97.5	85.25	68.199997	83.625
ABCC6	20.5	24.333334	31.799999	20.625	17.375	19.75	24.200001	24.25	17.125	18.25	16.333334	18.333334	18.0	24.125	20.772728	16.75	22.799999	19.0	31.0	54.083332	22.0
ABCC6P1	10.833333	10.0	9.666667	9.75	10.0	10.0	9.875	9.25	9.75	10.5	9.0	9.75	9.75	9.75	9.625	9.375	11.375	10.0	11.333333	11.5	10.333333
ABCC8	35.333332	33.666668	67.666664	31.625	33.0	33.0	31.25	79.666664	29.75	34.0	31.5	36.333332	40.666668	34.166668	38.0	34.599998	23.799999	35.0	40.599998	32.68182	31.346153
ABCC9	17.9375	20.200001	25.166666	16.727272	12.166667	14.5	16.0	19.333334	15.333333	14.8	15.6	14.416667	12.333333	19.09091	14.6	14.5	17.666666	12.5	12.666667	23.75	22.0
ABCD1	40.75	33.599998	32.666668	42.875	44.454544	43.666668	38.0	33.5	30.0	51.75	43.666668	63.0	53.0	39.666668	43.0	54.083332	41.5	52.75	96.800003	33.5	34.5
ABCD2	8.0	7.666667	8.666667	8.0	7.8	7.5	8.166667	9.666667	8.25	7.666667	8.666667	7.875	11.909091	8.833333	7.5	9.590909	15.0	8.333333	8.318182	18.666666	7.833333
ABCD3	544.666687	670.5	647.847412	752.75	683.682922	442.833344	549.0	360.0	475.25	707.578857	403.200012	363.333344	185.333328	839.0	892.0	451.5	384.834808	679.625	165.931732	707.200012	603.0
ABCD4	103.166664	75.0	43.5	119.75	91.0	86.75	95.5	39.833332	74.0	78.0	94.5	97.42308	87.0	91.5	79.25	75.0	66.375	81.0	111.0	97.666664	87.199997
ABCE1	570.398376	456.568787	593.666687	599.090881	642.41748	591.893982	603.0	597.0	588.0	459.942169	470.799988	496.375	734.75	559.239624	725.916687	513.774841	925.25	730.666687	203.5	389.471924	714.8125
ABCF1	521.5	455.75	442.083344	799.902893	826.290588	749.193787	1082.397339	520.040466	638.666687	945.203125	608.817322	930.746948	814.657104	585.454529	550.875	875.5	296.375	831.0	658.946289	417.666656	574.5
ABCF2	144.800003	105.375	412.0	117.375	152.343796	223.25	122.5	593.666687	80.0	142.25	68.5	223.875	201.0	113.400002	181.0	90.833336	80.13636	199.399994	115.666664	74.199997	101.04274
ABCF3	165.22728	155.770798	107.599998	175.630508	143.0	185.833328	92.0	101.538506	77.199997	220.454544	101.454544	148.086212	165.333328	148.0	173.0	121.63636	176.833328	173.800003	221.163361	169.800003	159.636368
ABCG1	67.666664	105.833336	108.875	107.599998	162.583328	138.916672	164.800003	229.0	315.454559	406.916656	385.533661	116.199997	370.666656	161.5	270.166656	281.0	389.471924	350.600006	521.75	127.5	163.666672
ABCG2	25.833334	36.26923	23.0	44.5	31.0	32.333332	31.166666	28.375	70.333336	28.26923	90.0	33.333332	68.75	32.625	27.666666	36.636364	41.125	32.5	23.5	44.333332	48.090908
ABCG4	38.666668	41.0	33.666668	45.166668	42.909092	49.5	54.666668	40.333332	38.5	39.75	39.625	35.272728	35.5	35.5	54.799999	47.599998	23.833334	60.125	55.5	32.090908	34.909092
ABCG5	12.0	12.375	14.0	11.583333	12.3125	12.0	13.5625	15.8	13.333333	12.2	14.333333	23.125	12.333333	11.8	12.25	15.0	11.676196	13.833333	15.333333	10.636364	11.4
ABCG8	18.625	18.25	13.0	16.125	17.6875	19.0	15.818182	12.8	15.666667	22.666666	17.038462	15.0	16.818182	16.799999	18.583334	18.0	11.333333	17.125	20.5	16.200001	16.75
ABHD1	31.666666	27.333334	21.0	25.6	32.333332	29.833334	30.459814	20.0	28.73077	32.333332	34.666668	33.25	28.833334	28.666666	33.333332	39.400002	16.363636	33.5	38.25	26.666666	23.5
ABHD10	167.0	170.5	145.0	113.400002	119.666664	120.818184	205.166672	125.800003	284.916656	115.166664	349.399994	186.600006	218.600006	179.583328	130.5	280.5	326.0	120.75	157.083328	274.799988	160.833328
ABHD11	91.666664	79.727272	97.839043	99.75	90.410362	76.833336	67.25	98.833336	84.375	136.166672	94.25	149.454544	99.666664	90.599998	82.0	91.199997	57.333332	99.5	114.916664	93.5	78.625
ABHD12	181.27272	299.0	245.333328	147.44928	253.25	260.818176	110.125	158.0	188.666672	655.328186	328.178741	379.836975	277.670074	299.863647	279.375	300.799988	249.75	303.0	639.333313	192.089859	163.800003
ABHD12B	15.333333	51.625	59.5	17.333334	36.333332	20.75	23.181818	43.090908	11.125	299.0	16.25	29.75	9.6	53.636364	25.0	20.0	38.333332	69.199997	9.4	36.25	19.666666
ABHD13	27.5	38.5	43.5	27.09091	35.25	28.09091	34.0	38.400002	28.833334	32.0	52.375	22.4	29.0	40.666668	40.96154	31.17635	58.18182	48.363636	30.0	53.875	47.25
ABHD14A	121.599998	147.600006	184.0	102.333336	77.625	114.666664	50.583332	179.0	257.75	86.0	150.833328	196.333328	363.25	139.5	129.0	127.0	76.166664	98.75	238.399994	347.75	145.115387
ABHD14A /// ACY1	133.0	205.800003	168.0	187.666672	131.181824	296.75	141.75	137.583328	82.875	197.0	114.199997	337.399994	266.25	173.333328	263.5	191.625	98.666664	272.818176	151.5	236.666672	150.666672
ABHD14B	251.333328	354.218567	576.583862	326.0	309.0	266.0	76.199997	245.125	67.333336	494.0	107.666664	412.799988	649.5	328.75	206.0	167.758835	415.166626	242.0	398.590271	499.626526	179.0
ABHD15	54.599998	56.799999	49.0	52.666668	43.200001	56.25	50.0	40.0	50.400002	35.25	54.545456	40.75	97.0	47.666668	39.9375	53.4375	86.333336	38.333332	85.666664	78.5	60.125
ABHD2	127.694542	208.666672	417.181824	92.666664	126.375	116.625	202.416672	357.0	190.384613	92.800003	281.200012	168.8125	105.375	131.600006	138.181824	285.0	225.0	111.0	193.0	182.5	167.166672
ABHD3	199.0	349.666656	122.75	166.333328	151.399994	441.399994	106.333336	74.416664	595.5	77.875	686.914551	242.5	651.12323	154.923859	155.333328	195.021774	167.399994	183.5	745.467834	293.728973	685.5
ABHD4	93.25	85.5	37.333332	134.827011	91.400002	98.25	75.666664	30.861279	70.545456	141.125	123.400002	110.333336	91.599998	115.666664	119.5	148.166672	52.0	102.53846	124.583336	96.0	91.333336
ABHD5	138.538467	509.547363	987.909546	83.75	110.5	106.800003	109.682549	387.75	62.333332	398.0	76.125	118.666664	48.799999	270.607422	196.5	112.0	109.545456	228.818176	74.0	291.5	127.375
ABHD6	104.25	158.75	270.25	93.416664	56.799999	82.75	100.75	124.0	108.333336	124.382675	113.333336	82.199997	55.375	157.0	86.916664	62.599998	113.272728	85.199997	71.681816	90.125	65.5
ABHD8	37.666668	40.384617	41.0	31.75	33.23077	35.0	26.375	33.666668	20.75	49.0	24.333334	26.272728	35.0	33.916668	41.5	34.333332	29.227272	33.0	71.338577	29.25	28.333334
ABI1	509.736084	434.0	816.333313	603.333313	775.0	556.666687	734.0	867.75	639.333313	543.191895	989.812195	425.125	664.666687	834.0	736.0	696.833313	517.333313	787.773499	438.435211	441.0	588.0
ABI2	194.166672	154.103333	225.666672	143.25	315.333344	139.25	265.333344	184.600006	204.545456	116.0	192.0	323.818176	134.0	175.090912	138.818176	235.158096	137.0	120.333336	101.199997	219.600006	150.5
ABI3	109.0	73.833336	71.5	81.0	79.5	112.454544	107.0	134.666672	98.0	78.833336	138.5	123.333336	173.0	81.545456	108.5	183.600006	92.0	99.599998	534.840088	68.0	96.083336
ABI3BP	682.0	619.25	79.25	310.875	2229.560059	349.666656	292.333344	81.400002	354.416656	35.625	305.666656	221.0	362.736816	469.42215	299.200012	732.666687	270.084747	63.166668	10.0	1010.0	993.805786
ABL1	494.962921	654.42218	185.333328	781.398132	657.625	697.200012	476.166656	200.0	311.333344	387.5	422.379913	670.799988	425.333344	677.0	460.833344	881.415405	142.0	435.175812	308.0	656.0	646.819031
ABL2	163.75	138.0	86.083458	118.75	93.25	208.0	213.0	98.5	231.125	96.8125	212.272018	248.5	93.25	85.545456	82.166664	156.459641	214.75	82.199997	133.881958	90.0	197.171387
ABLIM1	1328.0	1507.25	1786.811646	1722.0	2162.409424	1137.109253	2215.0	1471.0	206.042847	2215.0	389.0	619.0	350.060608	1913.199951	1551.263916	1175.0	1706.312256	2283.755859	409.0	1103.488647	900.0
ABLIM2	47.875	45.799999	77.5	55.666668	44.125	47.666668	76.599998	95.199997	81.333336	60.666668	55.166668	51.0	50.333332	48.333332	41.875	46.0	44.0	53.0	53.0	36.863636	39.0
ABLIM3	83.25	78.5	70.0	77.0	64.5	90.63636	71.87635	79.083336	126.5	68.333336	122.905197	92.625	64.5	105.75	60.5	105.090912	115.666664	57.76923	71.800003	279.75	112.166664
ABO	25.0	40.0	57.333332	24.0	19.75	39.166668	40.833332	77.0	61.0	20.5	35.875	23.0	33.25	26.0	28.125	28.25	37.5	21.799999	32.0	21.083334	22.406275
ABP1	20.0	28.125	28.875	47.875	22.0	27.666666	18.4	27.538462	14.333333	27.799999	12.833333	22.333334	50.0	26.415834	28.25	18.083334	37.333332	24.0	114.333336	45.81818	42.0
ABR	250.666672	214.666672	190.5	508.399994	192.25	291.5	238.0	197.25	186.333328	261.812195	332.375	280.399994	235.600006	230.0	239.666672	268.0	358.667633	227.166672	448.0	184.600006	212.0
ABRA	8.666667	8.666667	12.0	8.333333	8.636364	8.727273	8.666667	12.5	8.333333	8.333333	8.416667	8.875	9.0	8.8	9.0	8.666667	10.666667	8.8125	9.0	10.4	8.625
ABT1	240.5	239.595581	74.916664	181.0	256.666656	225.416672	114.199997	72.875	129.75	254.72728	127.75	347.181824	459.600006	247.75	277.670074	142.0	78.0	305.625	246.666672	161.72728	179.0
ABTB1	53.083332	43.799999	39.166668	54.0	44.153847	65.454544	41.666668	39.863636	43.363636	54.0	43.0	42.363636	63.25	49.188103	50.0	48.333332	33.916668	46.666668	121.599998	40.666668	39.0
ABTB2	68.800003	69.333336	94.199997	51.799999	86.0	54.916668	77.794479	63.0	64.125	69.800003	64.400002	62.5	48.599998	65.333336	68.666664	69.5	39.333332	61.599998	76.25	67.36364	56.5
