CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V191	0.13809	0.42644	0.09713	0.05462	0.12669	0.15703
V192	0.30239	0.19964	0.17144	0.07433	0.16026	0.09194
V193	0.2211	0.11967	0.13136	0.04002	0.12434	0.36352
V194	0.04656	0.01967	0.0581	0.14433	0.69239	0.03896
V195	0.03509	0.01236	0.61153	0.11626	0.18571	0.03905
V196	0.04307	0.01372	0.06299	0.68335	0.17052	0.02635
V197	0.13655	0.01395	0.07286	0.06588	0.65723	0.05353
V198	0.11056	0.28515	0.09757	0.16584	0.2939	0.04699
V199	0.06185	0.16745	0.12726	0.13237	0.47493	0.03614
V200	0.0796	0.02074	0.50403	0.2216	0.09689	0.07713
V201	0.05267	0.01422	0.04665	0.71428	0.13695	0.03523
V202	0.10469	0.06107	0.40527	0.06811	0.22685	0.134
V203	0.31916	0.05826	0.09797	0.32766	0.11651	0.08043
V204	0.20279	0.05873	0.14307	0.18083	0.1231	0.29149
V205	0.03309	0.03075	0.7764	0.04746	0.06959	0.04272
V206	0.04606	0.0483	0.13131	0.59321	0.15627	0.02484
V207	0.23566	0.16371	0.12121	0.24279	0.13588	0.10074
V208	0.22879	0.09143	0.38884	0.08304	0.13879	0.06911
V209	0.20783	0.36096	0.09955	0.0791	0.11951	0.13305
V210	0.08567	0.03497	0.72519	0.03189	0.07097	0.0513
V211	0.30965	0.05663	0.18197	0.05489	0.25165	0.14521
V212	0.06129	0.20248	0.2099	0.32734	0.16212	0.03687
V213	0.05938	0.05996	0.24599	0.07407	0.5228	0.0378
V214	0.4447	0.06317	0.139	0.10314	0.1415	0.1085
V215	0.13362	0.45753	0.09522	0.07772	0.11322	0.12269
V216	0.12256	0.36132	0.30133	0.05535	0.11243	0.04701
V217	0.18829	0.01494	0.11935	0.11844	0.36471	0.19426
V218	0.08365	0.2342	0.06444	0.44257	0.14545	0.02969
V219	0.469	0.04871	0.14481	0.04975	0.1171	0.17064
V220	0.08989	0.02447	0.06375	0.65333	0.13144	0.03712
V221	0.11987	0.49274	0.11097	0.11389	0.11905	0.04347
V222	0.09055	0.20517	0.08842	0.16721	0.39952	0.04913
V223	0.12449	0.24566	0.29469	0.04452	0.12027	0.17036
V224	0.03609	0.00764	0.35186	0.04934	0.52122	0.03386
V225	0.27044	0.02895	0.14779	0.03899	0.11727	0.39656
V226	0.17114	0.05991	0.22954	0.26712	0.20273	0.06956
V227	0.35957	0.03738	0.1096	0.24032	0.12201	0.13112
V228	0.11462	0.19111	0.42219	0.0862	0.12008	0.0658
V229	0.12088	0.02429	0.34149	0.24104	0.21255	0.05975
V230	0.06701	0.13891	0.62455	0.04147	0.07603	0.05203
V231	0.06671	0.02937	0.05347	0.66726	0.15577	0.02742
V232	0.27035	0.03526	0.09635	0.28784	0.12577	0.18442
V233	0.45342	0.05424	0.14154	0.11075	0.12477	0.11528
V234	0.26064	0.02532	0.07554	0.07227	0.49089	0.07534
V235	0.08119	0.01654	0.06854	0.6513	0.14668	0.03575
V236	0.08773	0.00772	0.20303	0.06317	0.5273	0.11105
V237	0.03441	0.0138	0.69841	0.12196	0.09118	0.04024
V238	0.37059	0.03487	0.15124	0.12241	0.1431	0.17779
V239	0.29427	0.05495	0.17832	0.16242	0.21489	0.09515
V240	0.05491	0.17327	0.04736	0.1471	0.54614	0.03122
V241	0.30711	0.15493	0.1013	0.19892	0.1528	0.08493
V242	0.22612	0.06248	0.13016	0.19234	0.19201	0.19689
V243	0.06831	0.29006	0.40364	0.07982	0.11946	0.0387
V244	0.13535	0.02541	0.07227	0.05119	0.57489	0.14089
V245	0.44362	0.04358	0.13655	0.04699	0.12762	0.20163
V246	0.04513	0.04638	0.21526	0.32791	0.33077	0.03456
V247	0.2409	0.08755	0.1099	0.20045	0.13321	0.22799
V248	0.16154	0.04015	0.06025	0.22726	0.4443	0.0665
V249	0.1689	0.14768	0.37615	0.11012	0.09292	0.10424
V250	0.04889	0.02755	0.05204	0.70799	0.13697	0.02657
V251	0.08174	0.39945	0.17992	0.18523	0.11537	0.03828
V252	0.04414	0.02048	0.0774	0.65838	0.17006	0.02954
V253	0.11362	0.05824	0.07557	0.36023	0.23627	0.15607
V254	0.07755	0.193	0.11391	0.19476	0.36566	0.05513
V255	0.22942	0.24687	0.14928	0.10269	0.16305	0.1087
V256	0.09753	0.5682	0.09194	0.06531	0.13335	0.04367
V257	0.08948	0.29251	0.08917	0.07673	0.39283	0.05929
V258	0.06499	0.18085	0.16027	0.44164	0.11613	0.03612
V259	0.0753	0.4017	0.3189	0.06126	0.09669	0.04615
V260	0.10524	0.0393	0.06693	0.07029	0.63144	0.0868
V261	0.29676	0.04546	0.12252	0.08166	0.3067	0.14691
V262	0.06993	0.02402	0.68902	0.04276	0.13009	0.04417
V263	0.04956	0.05948	0.54379	0.20926	0.09409	0.04382
V264	0.3475	0.05186	0.19358	0.07877	0.16599	0.1623
V265	0.05433	0.00607	0.03892	0.08239	0.78216	0.03613
V266	0.26018	0.056	0.14313	0.04028	0.12474	0.37567
V267	0.14975	0.47594	0.09055	0.11596	0.12088	0.04691
V268	0.50585	0.05215	0.13165	0.06164	0.10885	0.13986
V269	0.05531	0.04898	0.1403	0.57867	0.14722	0.02952
V270	0.19316	0.35676	0.10798	0.07076	0.2124	0.05893
V271	0.15404	0.12414	0.30534	0.0471	0.11553	0.25385
V272	0.05642	0.00588	0.04164	0.1229	0.71216	0.061
V273	0.06759	0.00784	0.08335	0.12231	0.66394	0.05498
V274	0.18855	0.02448	0.25222	0.08163	0.11677	0.33635
V275	0.38262	0.18672	0.12429	0.06833	0.11623	0.1218
V276	0.163	0.21862	0.15757	0.11205	0.14873	0.20003
V277	0.31657	0.04517	0.11689	0.05205	0.2458	0.22352
V278	0.10932	0.10157	0.12939	0.236	0.37321	0.05052
V279	0.19533	0.06198	0.27213	0.08357	0.11942	0.26757
V280	0.09524	0.01759	0.05796	0.64962	0.1385	0.04108
V281	0.09799	0.55482	0.11288	0.08284	0.11277	0.03871
V282	0.05014	0.03317	0.04555	0.1103	0.72403	0.03682
V283	0.06837	0.30244	0.0596	0.06715	0.46515	0.0373
V284	0.0776	0.08934	0.30026	0.30644	0.1421	0.08427
V285	0.04893	0.02755	0.04602	0.70635	0.14461	0.02654
V286	0.35806	0.06361	0.16708	0.21261	0.10808	0.09054
V287	0.05187	0.01295	0.06677	0.12303	0.69356	0.05183
V288	0.16715	0.23076	0.10896	0.04969	0.22556	0.21788
V289	0.03929	0.08202	0.6136	0.12188	0.10229	0.04091
V290	0.04186	0.01344	0.2172	0.56525	0.12741	0.03484
V291	0.05903	0.03562	0.04696	0.68402	0.14339	0.03098
V292	0.11247	0.0812	0.06689	0.47822	0.22205	0.03917
V293	0.04211	0.03913	0.0646	0.06776	0.75035	0.03605
V294	0.29539	0.05232	0.08901	0.06816	0.36891	0.12621
V295	0.27524	0.02061	0.1485	0.03007	0.12579	0.39979
V296	0.08695	0.27933	0.13384	0.25617	0.16627	0.07746
V297	0.23421	0.07817	0.12866	0.03901	0.12628	0.39366
V298	0.09007	0.51422	0.19153	0.06122	0.10609	0.03686
V299	0.11148	0.08297	0.62714	0.04232	0.08388	0.05221
V300	0.40581	0.13037	0.15168	0.05743	0.10732	0.14739
V301	0.2763	0.31994	0.1442	0.06971	0.11609	0.07376
V302	0.06494	0.21067	0.1056	0.41934	0.16459	0.03487
V303	0.08654	0.46843	0.12552	0.06897	0.20956	0.04097
V304	0.05001	0.00559	0.05751	0.06155	0.78944	0.0359
V305	0.08664	0.01944	0.19933	0.38186	0.19451	0.11822
V306	0.31442	0.11479	0.12276	0.04692	0.11338	0.28772
V307	0.12598	0.01901	0.06064	0.07185	0.64803	0.07449
V308	0.04306	0.02097	0.04494	0.72346	0.14471	0.02286
V309	0.07653	0.37166	0.07415	0.32195	0.12136	0.03435
V310	0.12338	0.29645	0.28878	0.04846	0.11393	0.12901
V311	0.36358	0.03565	0.13522	0.04701	0.11395	0.30458
V312	0.10287	0.02058	0.04908	0.32635	0.45207	0.04905
V313	0.2902	0.03437	0.12519	0.0789	0.11726	0.35407
V314	0.1597	0.0298	0.06692	0.5649	0.13377	0.04491
V315	0.14394	0.47956	0.09783	0.05772	0.15956	0.06139
V316	0.25581	0.03019	0.1334	0.10524	0.13419	0.34117
V317	0.0892	0.01454	0.062	0.575	0.16692	0.09234
V318	0.04628	0.02109	0.0714	0.69396	0.13519	0.03208
V319	0.21448	0.16448	0.27442	0.16264	0.10727	0.07672
V320	0.16815	0.1685	0.33175	0.13562	0.10307	0.09292
V321	0.08152	0.43717	0.07318	0.25172	0.12535	0.03107
V322	0.07108	0.00678	0.11749	0.06776	0.64942	0.08747
V323	0.0701	0.21163	0.05363	0.32771	0.30576	0.03116
V324	0.10104	0.04094	0.09199	0.21721	0.43523	0.11358
V325	0.12152	0.55149	0.11188	0.05866	0.11254	0.0439
V326	0.1479	0.50467	0.10655	0.05846	0.13233	0.05009
V327	0.0747	0.01826	0.75622	0.03127	0.06955	0.05
V328	0.1293	0.16206	0.20151	0.16196	0.29731	0.04787
V329	0.03881	0.00946	0.47911	0.04294	0.38453	0.04515
V330	0.03299	0.01526	0.78042	0.03981	0.08513	0.0464
V331	0.37836	0.09588	0.15689	0.12362	0.11567	0.12957
V332	0.11389	0.06444	0.1888	0.0513	0.42384	0.15774
V333	0.04777	0.02651	0.39818	0.31309	0.16806	0.04639
V334	0.06188	0.30652	0.36322	0.13759	0.09453	0.03625
V335	0.10495	0.03389	0.65847	0.03817	0.07524	0.08927
V336	0.21559	0.42725	0.12036	0.05699	0.117	0.06281
V337	0.07993	0.14029	0.09407	0.06508	0.58503	0.0356
V338	0.39169	0.04054	0.14216	0.06081	0.25267	0.11213
V339	0.10136	0.08519	0.36346	0.2447	0.121	0.08428
V340	0.33873	0.22798	0.10863	0.09255	0.1326	0.09951
V341	0.16089	0.05148	0.09581	0.47908	0.16054	0.05219
V342	0.08961	0.02098	0.06998	0.54652	0.17433	0.09858
V343	0.19674	0.15092	0.20731	0.05914	0.12227	0.26361
V344	0.09453	0.43349	0.0789	0.07465	0.24315	0.07527
V345	0.04074	0.00485	0.04324	0.07059	0.80906	0.03152
V346	0.11346	0.02249	0.06506	0.37302	0.37201	0.05398
V347	0.26403	0.12509	0.10377	0.12306	0.30877	0.07527
V348	0.09853	0.11819	0.55252	0.05284	0.12752	0.0504
V349	0.38915	0.09785	0.14401	0.13367	0.14088	0.09444
V350	0.25715	0.06127	0.1967	0.2413	0.10843	0.13515
V351	0.24974	0.08257	0.15699	0.05968	0.13003	0.32099
V352	0.11575	0.25019	0.08325	0.04829	0.34994	0.15257
V353	0.04897	0.15134	0.65101	0.03394	0.07484	0.03989
V354	0.14035	0.05255	0.25631	0.04138	0.36289	0.14651
V355	0.03209	0.03882	0.78111	0.03959	0.06905	0.03935
V356	0.28659	0.1246	0.11922	0.23945	0.13652	0.09362
V357	0.18438	0.02884	0.38438	0.05938	0.27479	0.06823
V358	0.22369	0.01693	0.18104	0.06489	0.12416	0.38929
V359	0.114	0.0814	0.06202	0.50941	0.18531	0.04787
V360	0.27404	0.02767	0.08818	0.21863	0.30262	0.08886
V361	0.09715	0.57952	0.09241	0.07173	0.12075	0.03844
V362	0.0804	0.37421	0.09273	0.29591	0.12583	0.03092
V363	0.39736	0.0911	0.15543	0.05229	0.19054	0.11327
V364	0.1739	0.16826	0.11275	0.07137	0.21479	0.25893
V365	0.23891	0.30934	0.10014	0.16941	0.11425	0.06796
V366	0.0954	0.19959	0.41028	0.09538	0.15114	0.04821
V367	0.05522	0.01097	0.056	0.48823	0.34808	0.0415
V368	0.15486	0.12694	0.16032	0.07001	0.23827	0.2496
V369	0.06228	0.02714	0.04356	0.10895	0.69646	0.06161
V370	0.06177	0.07474	0.54839	0.1544	0.09932	0.06137
V371	0.09785	0.19977	0.07151	0.41971	0.12165	0.08951
V372	0.09897	0.45736	0.08005	0.07604	0.22753	0.06004
V373	0.4677	0.05708	0.13191	0.04971	0.1107	0.1829
V374	0.13043	0.02663	0.24499	0.42489	0.1305	0.04257
V375	0.23522	0.03161	0.23472	0.09665	0.32451	0.07729
V376	0.18162	0.05583	0.12444	0.14698	0.18669	0.30444
V377	0.06301	0.0174	0.3577	0.04713	0.46757	0.04719
V378	0.19171	0.07859	0.26966	0.02973	0.13783	0.29249
V379	0.32813	0.03927	0.23667	0.03606	0.10544	0.25442
V380	0.04146	0.03224	0.06415	0.07469	0.75138	0.03609
V381	0.20448	0.04889	0.31394	0.26802	0.10677	0.0579
V382	0.04455	0.02729	0.04502	0.21209	0.63919	0.03185
V383	0.13646	0.05066	0.3685	0.27968	0.1122	0.0525
V384	0.05305	0.03089	0.7079	0.04972	0.11369	0.04475
V385	0.25537	0.02734	0.15775	0.02795	0.11751	0.41407
V386	0.33183	0.06216	0.30996	0.05386	0.14511	0.09708
V387	0.15153	0.02901	0.10007	0.55139	0.12413	0.04387
V388	0.42241	0.07814	0.24014	0.0493	0.10714	0.10285
V389	0.29538	0.09608	0.13178	0.03603	0.12245	0.31827
V390	0.07712	0.04266	0.05935	0.5929	0.1588	0.06917
V391	0.06297	0.01848	0.05845	0.48403	0.32736	0.04871
V392	0.1034	0.04727	0.45503	0.13152	0.09197	0.17082
V393	0.0935	0.1289	0.3615	0.09347	0.20812	0.11451
V394	0.04649	0.01385	0.07027	0.66553	0.17666	0.02721
V395	0.03126	0.06113	0.76013	0.03974	0.06988	0.03786
V396	0.27692	0.07695	0.08947	0.33037	0.15688	0.06941
V397	0.19664	0.16612	0.14086	0.04373	0.15451	0.29814
V398	0.09643	0.44772	0.08931	0.07714	0.2463	0.0431
V399	0.03772	0.01439	0.73518	0.07261	0.08821	0.0519
V400	0.14825	0.03764	0.08415	0.37911	0.13227	0.21858
V401	0.10983	0.03273	0.56999	0.04383	0.17207	0.07154
V402	0.0749	0.02342	0.05541	0.67507	0.13403	0.03716
V403	0.14786	0.00793	0.09096	0.0754	0.43879	0.23906
V404	0.02978	0.02349	0.80744	0.0312	0.06786	0.04022
V405	0.2139	0.27362	0.15394	0.09739	0.19865	0.0625
V406	0.14996	0.06332	0.22657	0.1222	0.26022	0.17772
V407	0.08257	0.03115	0.65669	0.02729	0.08482	0.11748
V408	0.07308	0.09224	0.07914	0.56672	0.12553	0.06329
V409	0.49777	0.07797	0.13056	0.05457	0.10943	0.1297
V410	0.5077	0.06079	0.12972	0.05525	0.1255	0.12104
V411	0.18035	0.02201	0.10806	0.26669	0.12036	0.30253
V412	0.3108	0.17029	0.14587	0.09174	0.20254	0.07876
V413	0.05282	0.09524	0.07203	0.60433	0.14858	0.027
V414	0.09131	0.06456	0.06325	0.49049	0.25147	0.03892
V415	0.06599	0.01877	0.3078	0.34663	0.19172	0.06909
V416	0.07282	0.11594	0.0585	0.24738	0.43332	0.07204
V417	0.22441	0.01892	0.17533	0.1475	0.11324	0.3206
