B_cells	NK_cells	T_cells_CD4.	Monocytes
V229	0.06619	0.06385	0.82846	0.0415
V230	0.09138	0.07682	0.02831	0.80348
V231	0.05868	0.3235	0.09856	0.51926
V232	0.08876	0.64831	0	0.26293
V233	0.57739	0.09838	0.1844	0.13984
V234	0.08932	0.84806	0.03343	0.0292
V235	0.40264	0.08037	0.48392	0.03307
V236	0.0865	0.10672	0.73235	0.07443
V237	0.23842	0.02949	0.02987	0.70222
V238	0.17192	0.53525	0.24991	0.04291
V239	0.11787	0.4339	0	0.44822
V240	0.507	0.05373	0.38624	0.05303
V241	0.06114	0.03883	0.83084	0.06919
V242	0.17792	0.71532	0.09421	0.01256
V243	0.27681	0.06835	0.58129	0.07354
V244	0.24705	0.01755	0.65249	0.08292
V245	0.60702	0.2835	0.04359	0.06589
V246	0.09774	0.18024	0.69896	0.02306
V247	0.20361	0.05593	0.74046	0
V248	0.09994	0.07632	0.04638	0.77735
V249	0.01706	0.08796	0.82277	0.07221
V250	0.76169	0	0.20723	0.03108
V251	0.90725	0.04838	0.00088	0.04348
V252	0.05532	0.7924	0.15228	0
V253	0.4094	0.08889	0.15089	0.35081
V254	0.06191	0.86447	0.05593	0.01769
V255	0.09621	0.85388	0	0.04991
V256	0.21295	0.23355	0.47354	0.07996
V257	0.45171	0.11665	0.21571	0.21593
V258	0.21366	0.28159	0.39027	0.11448
V259	0.07504	0.31148	0.57858	0.03489
V260	0.02227	0.30682	0.66206	0.00885
V261	0.62697	0.03864	0.18487	0.14953
V262	0.1785	0.09937	0	0.72213
V263	0.07276	0.88598	0	0.04126
V264	0.21096	0.06548	0.40727	0.31629
V265	0.10564	0.01297	0.1414	0.73999
V266	0.67245	0.32753	2e-05	0
V267	0.02264	0.22461	0.27567	0.47708
V268	0.43399	0.03649	0.13421	0.39531
V269	0.04019	0.54852	0.36815	0.04314
V270	0.64816	0.0319	0.22758	0.09236
V271	0.79208	0.06906	0.02301	0.11585
V272	0.10335	0.79247	0.00503	0.09915
V273	0.14264	0.05883	0.03888	0.75965
V274	0.70699	0	0.17326	0.11975
V275	0.0256	0.07537	0.85937	0.03966
V276	0.52562	0.32739	0	0.14699
V277	0.08246	0.24971	0.14915	0.51868
V278	0.09107	0.09596	0.27905	0.53392
V279	0.69112	0.063	0.10245	0.14344
V280	0.10792	0.00124	0.0715	0.81934
V281	0.56975	0.04	0.13049	0.25975
V282	0.09846	0.10635	0.7349	0.06028
V283	0.25059	0.56107	0.05462	0.13372
V284	0.08153	0.84373	0.06372	0.01102
V285	0.11547	0.03977	0.84476	0
V286	0.28121	0.52607	0.10223	0.09049
V287	0.14686	0.81094	0.00924	0.03295
V288	0.04853	0.30966	0.40313	0.23867
V289	0.31042	0.23462	0.38323	0.07173
