Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V232	0.04572	0.38799	0.34872	0.06658	0	0.00728	0.0191	0.05114	0.07346	0
V233	0	0.1315	0.01476	0.03517	0.51729	0.00942	0	0	0.27017	0.02167
V234	0.01152	0.04073	0.02309	0.00527	0.19935	0.04558	0.27083	0.32078	0.07527	0.00758
V235	0.05134	0.02935	0.34599	0.06388	0.0078	0.02918	0.05365	0.33758	0.0636	0.01763
V236	0.02031	0.02609	0.23188	0.2681	0.0273	0.35049	0.02142	0.00673	0.04768	0
V237	0.05945	0.06794	0.33918	0.18903	0.23324	0.02565	0	0.0192	0.05572	0.0106
V238	0.0334	0.06279	0.28228	0.05211	0.02686	0.03231	0.05469	0.37827	0.07266	0.00463
V239	0.03185	0.15532	0.12557	0.45358	0.02556	0.02545	0.02961	7e-04	0.05001	0.10235
V240	0.0598	0	0.05222	0.01215	0.04995	0.26629	0.48217	0.02168	0.03454	0.02121
V241	0.19927	0.00463	0.15551	0.53497	0.02658	0.0237	0	0.02052	0.0316	0.00321
V242	0.00749	0.06102	0.08319	0.04711	0.05802	0.00758	0.04055	0.01139	0.68366	0
V243	0.00857	0.03674	0.0826	0.12178	0.04105	0.06946	0.07921	0.0118	0.46482	0.08398
V244	0.04997	0	0.31189	0.06368	0.03825	0.03121	0.4026	0.04295	0.0518	0.00766
V245	0.1615	0.1546	0.14823	0.03313	0.00749	0.4027	0.04059	0.0222	0.02956	0
V246	0	0.18918	0.04238	0.00995	0.04558	0.03967	0.56951	0.01641	0.08733	0
V247	0.07658	0.03615	0.67914	0.12431	0.01805	0	0	0	0.03876	0.02701
V248	0.47837	0.06175	0.05848	0.01379	0.02836	0.03299	0.15646	0.12937	0.04042	0
V249	0.07351	0.02878	0.55558	0.1007	0.07164	0	0	0	0.03955	0.13024
V250	0.01553	0.05869	0.07731	0.27676	0.02739	0.26791	0.0504	0.17611	0.04941	0.00048
V251	0.5529	0.17757	0.04077	0.03653	0.06343	0.00092	0.00631	0.0443	0.07728	0
V252	0.0508	0.51413	0.01089	0.04726	0	0.21091	0.0558	0.03765	0.07256	0
V253	0.02268	0.04364	0.29173	0.05756	0.04415	0.07116	0.03053	0.00609	0.43246	0
V254	0.00251	0.15094	0.00351	0.04818	0.63008	0.00295	0	0	0.06876	0.09305
V255	0	0.16651	0	0	0.72833	0.00045	0	0	0.08154	0.02318
V256	0.01912	0.01368	0.1842	0.68392	0.01679	0.03335	0	0.00295	0.03815	0.00785
V257	0.40057	0.01153	0.33455	0.09079	0.01444	0.11934	0.00817	0.00123	0.01938	0
V258	0	0.13871	0	0.00606	0.61526	0.00184	0.00734	0	0.06214	0.16865
V259	0.07244	0.0299	0.03178	0.09874	0.13815	0.04039	0.08082	0.42882	0.07793	0.00103
V260	0.00013	0.22043	0.00778	0.00466	0	0.04561	0.08979	0.527	0.10461	0
V261	0.19378	0.01499	0.04456	0.0118	0.04706	0.2632	0.32881	0.01715	0.07561	0.00306
V262	0	0.4653	0.07643	0.02774	0	0.29979	0.05024	0.00975	0.07074	0
V263	0.41678	0.40826	0.02569	0.01089	0.00714	0.00534	0.05929	0	0.05629	0.01033
V264	0.02422	0.04944	0.12702	0.4917	0.22258	0.0187	0	0.00046	0.05035	0.01553
V265	0.02255	0.28661	0.083	0.25973	0	0.03142	0.15211	0.00138	0.06078	0.10243
V266	0.00685	0.68672	0.08032	0.0201	0	0	0.04646	0.0052	0.15436	0
V267	0.00031	0.19092	0.01613	0.02842	0	0.01038	0.05867	0.00142	0	0.69375
V268	5e-05	0.36725	0.03395	0.12244	0.32062	0.00107	0.02007	0.00502	0.11663	0.01291
V269	0.05572	0.00909	0.31222	0.54039	0.02507	0	0	0.00515	0.04871	0.00365
V270	0.01655	0.16108	0	0	0.71308	0	0	0	0.0771	0.03219
V271	0.03169	0.06507	0.18094	0.02903	0.07918	0.00831	0.05758	0.00791	0.54029	0
V272	0.01066	0.20019	0.07267	0.02058	0.01869	0.15582	0.0787	0.13902	0.24377	0.05991
