mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V237	0.09479	0.1292	0.20801	0.35703	0.21098
V238	0.00263	0.02938	0.01059	0.2784	0.679
V239	0.05252	0.28783	0.04962	0.23483	0.3752
V240	0.07029	0.72891	0.02409	0.07403	0.10268
V241	0.05633	0.84858	0.01804	0.05562	0.02142
V242	0.03063	0.27808	0.25255	0.36021	0.07853
V243	0.3703	0.14817	0.25061	0.06488	0.16604
V244	0.02466	0.31622	0.17422	0.12078	0.36411
V245	0.05208	0.80182	0.04587	0.09396	0.00628
V246	0.52382	0.26484	0.03403	0.05142	0.12589
V247	0.16267	0.23628	0.46408	0.09494	0.04204
V248	0.08802	0.46005	0.03303	0.04628	0.37261
V249	0.18748	0.12641	0.16282	0.12526	0.39802
V250	0.01885	0.18179	0.47121	0.05821	0.26993
V251	0.15758	0.07343	0.07397	0.63331	0.06172
V252	0.02211	0.20682	0.42314	0.19117	0.15676
V253	0.28815	0.48072	0.09187	0.11094	0.02833
V254	0.47104	0.33224	0.01009	0.159	0.02764
V255	0.64323	0.16709	0.00848	0.07297	0.10822
V256	0.03795	0.61868	0.02945	0.05272	0.2612
V257	0.38198	0.29218	0.13169	0.08544	0.10871
V258	0.13329	0.23887	0.04858	0.56166	0.0176
V259	0.45931	0.29691	0.15812	0.05054	0.03512
V260	0.18801	0.0896	0.08578	0.10332	0.53328
V261	0.01831	0.13969	0.37332	0.32838	0.1403
V262	0.70521	0.15888	0.05027	0.06753	0.01811
V263	0.6247	0.16681	0.01984	0.17937	0.00928
V264	0.07483	0.77259	0.02564	0.12034	0.0066
V265	0.65092	0.18914	0.06982	0.073	0.01712
V266	0.00871	0.04495	0.06528	0.0382	0.84286
V267	0.03184	0.03441	0.0105	0.15633	0.76692
V268	0.17733	0.34793	0.13461	0.26965	0.07048
V269	0.07789	0.30348	0.30447	0.26825	0.04591
V270	0.03576	0.03465	0.02999	0.88887	0.01072
V271	0.23952	0.59872	0.02146	0.08395	0.05634
V272	0.11393	0.69809	0.04166	0.07304	0.07328
V273	0.21383	0.09547	0.13912	0.36766	0.18392
V274	0.06428	0.06254	0.03413	0.20405	0.635
V275	0.04484	0.58373	0.16493	0.17687	0.02963
V276	0.0119	0.18183	0.49485	0.2787	0.03273
V277	0.29124	0.19478	0.43276	0.04065	0.04057
V278	0.00446	0.11013	0.25155	0.49305	0.14081
V279	0.10505	0.04006	0.01655	0.77496	0.06339
V280	0.14021	0.05959	0.03432	0.65513	0.11075
V281	0.01943	0.1551	0.039	0.76814	0.01833
V282	0.06824	0.83737	0.0178	0.05532	0.02128
V283	0.26328	0.08751	0.09025	0.05032	0.50864
V284	0.02159	0.20776	0.40409	0.02395	0.34261
V285	0.48532	0.39529	0.01128	0.08995	0.01816
V286	0.07122	0.23953	0.60096	0.07479	0.01351
V287	0.18274	0.1165	0.13537	0.33467	0.23073
V288	0.16138	0.18541	0.4599	0.03558	0.15773
V289	0.12234	0.16719	0.0256	0.66703	0.01784
V290	0.40244	0.41228	0.13296	0.04546	0.00686
V291	0.32627	0.18811	0.01354	0.45443	0.01766
V292	0.08923	0.1332	0.30154	0.05551	0.42053
V293	0.00821	0.27995	0.6007	0.08728	0.02385
V294	0.00267	0.0354	0.01156	0.02537	0.925
V295	0.01123	0.10318	0.23997	0.55528	0.09035
V296	0.68264	0.19345	0.00941	0.0689	0.0456
V297	0.01999	0.20457	0.55509	0.16886	0.0515
V298	0.2117	0.05309	0.01087	0.59671	0.12763
V299	0.19484	0.04861	0.01687	0.72978	0.00991
V300	0.75863	0.15263	0.01027	0.0667	0.01177
V301	0.7353	0.14202	0.01515	0.08806	0.01946
V302	0.00293	0.0276	0.01042	0.40789	0.55116
V303	0.08266	0.17133	0.17435	0.21323	0.35843
V304	0.1564	0.23004	0.54321	0.0386	0.03174
V305	0.17273	0.25176	0.08566	0.15253	0.33732
V306	0.33515	0.54689	0.01336	0.07385	0.03075
V307	0.1746	0.10479	0.20295	0.51004	0.00763
V308	0.18809	0.19879	0.4784	0.12123	0.01349
V309	0.50259	0.14131	0.04781	0.17191	0.13638
V310	0.01757	0.04306	0.0108	0.10311	0.82546
V311	0.01228	0.02888	0.03651	0.90232	0.02
V312	0.06856	0.22311	0.20615	0.02515	0.47704
V313	0.04612	0.19975	0.01948	0.38065	0.354
V314	0.05477	0.03799	0.01009	0.38395	0.51321
V315	0.73632	0.14395	0.02087	0.05348	0.04538
V316	0.10605	0.47515	0.24075	0.0796	0.09845
V317	0.31479	0.2259	0.38444	0.04271	0.03216
V318	0.69794	0.13349	0.01405	0.04965	0.10487
V319	0.09053	0.25781	0.59895	0.04813	0.00458
V320	0.0592	0.02753	0.01123	0.88229	0.01976
V321	0.11635	0.30431	0.26234	0.28135	0.03566
V322	0.01183	0.30813	0.461	0.08702	0.13202
V323	0.20951	0.27303	0.35111	0.05944	0.10691
V324	0.02892	0.05554	0.03662	0.85982	0.01909
V325	0.49549	0.17233	0.07613	0.17564	0.08041
V326	0.03116	0.04881	0.04619	0.13656	0.73729
V327	0.30568	0.41459	0.11216	0.0718	0.09577
V328	0.03854	0.22637	0.13914	0.56947	0.02648
V329	0.00546	0.12774	0.28716	0.56388	0.01576
V330	0.07066	0.23863	0.60123	0.02809	0.06139
V331	0.09362	0.06848	0.07129	0.09957	0.66705
V332	0.37099	0.20377	0.34045	0.04337	0.04141
V333	0.309	0.14463	0.23813	0.20941	0.09883
V334	0.03906	0.32366	0.44977	0.13188	0.05563
