Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V222	0.01203	0.10126	0.02203	0.30779	0.55688
V223	0.58632	0	0.26409	0.08288	0.06671
V224	0.10853	0.51767	0.0155	0.11246	0.24585
V225	0.7722	0.07972	0.09934	0	0.04874
V226	0.55135	0.37814	0	0	0.07051
V227	0.13785	0.20577	0	0.50548	0.1509
V228	0.65224	0	0.22931	0.04468	0.07377
V229	0.35581	0.31753	0.23439	0	0.09227
V230	0.01082	0.09177	0.02444	0.31237	0.5606
V231	0.14186	0.53016	0.04421	0.13105	0.15273
V232	0.83085	0	0.13064	0	0.0385
V233	0.06877	0.09269	0.15538	0.27359	0.40957
V234	0.06328	0.32813	0.19066	0.29071	0.12722
V235	0.93611	0	0	0	0.06389
V236	0.10489	0.02895	0.59451	0.16994	0.10171
V237	0.16199	0.08559	0.24154	0.32691	0.18397
V238	0.00144	0.06926	0.01125	0.46842	0.44963
V239	0.1236	0.38676	0.03569	0.2099	0.24405
V240	0.16216	0.70764	0.00328	0	0.12692
V241	0.14812	0.75026	0.00197	0	0.09966
V242	0.07822	0.28539	0.27065	0.23417	0.13157
V243	0.55269	0	0.29368	0.03407	0.11955
V244	0.08113	0.39272	0.18417	0.11471	0.22727
V245	0.14402	0.73226	0.02257	0	0.10115
V246	0.69294	0.18721	0.00946	0	0.11039
V247	0.24587	0.08797	0.56506	0.02227	0.07883
V248	0.18065	0.55289	0.01609	0.02855	0.22183
V249	0.31428	0.08085	0.19286	0.17047	0.24154
V250	0.02924	0.07469	0.63281	0.07872	0.18454
V251	0.25679	0.00375	0.06045	0.53546	0.14355
V252	0.04387	0.13223	0.52391	0.15342	0.14656
V253	0.39439	0.44841	0.06357	0	0.09363
V254	0.60434	0.26741	0	0.03634	0.09191
V255	0.86706	0.01017	0	0.02079	0.10198
V256	0.12942	0.6724	0.01345	0	0.18474
V257	0.53342	0.22792	0.11879	0.01101	0.10885
V258	0.22484	0.2605	0.02127	0.3699	0.12349
V259	0.61312	0.18142	0.14528	0	0.06018
V260	0.32274	0.06071	0.0976	0.20526	0.31368
V261	0.02845	0.04504	0.48305	0.28999	0.15348
V262	0.92478	0	0.01674	0	0.05848
V263	0.84487	0.00829	0	0.07616	0.07069
V264	0.16482	0.72167	0.00548	0	0.10803
V265	0.86979	0.01639	0.05258	0	0.06125
V266	0.00901	0.08856	0.10171	0.28683	0.5139
V267	0.05293	0.07821	0.00765	0.37842	0.48278
V268	0.27913	0.35402	0.11593	0.13191	0.11901
V269	0.14285	0.27995	0.3249	0.14541	0.10689
V270	0.05431	0	0.00713	0.77615	0.16241
V271	0.3254	0.57124	0	0	0.10335
V272	0.20235	0.67053	0.01583	0	0.11129
V273	0.34317	0.00814	0.15012	0.33151	0.16706
V274	0.11508	0.09393	0.03063	0.36218	0.39818
V275	0.12806	0.59408	0.13647	0.02586	0.11554
V276	0.01518	0.03494	0.64912	0.20094	0.09981
V277	0.42182	0	0.52262	0	0.05556
V278	0.00661	0.05468	0.31673	0.44696	0.17501
V279	0.16048	0	0	0.67404	0.16548
V280	0.2292	0.00692	0.00862	0.5821	0.17317
V281	0.05542	0.18815	0.01754	0.58894	0.14995
V282	0.15769	0.74294	0.00097	0	0.0984
V283	0.43698	0.02415	0.10476	0.14205	0.29206
V284	0.04539	0.15903	0.52505	0.05684	0.21369
V285	0.59664	0.3225	0	0	0.08086
V286	0.10236	0.04582	0.76818	0.01183	0.0718
V287	0.29902	0.06143	0.14442	0.30829	0.18685
V288	0.24923	0.02761	0.58846	0.01359	0.12112
V289	0.2087	0.17121	0	0.48757	0.13253
V290	0.51619	0.32155	0.10824	0	0.05402
V291	0.47665	0.12671	0	0.29114	0.1055
V292	0.15202	0.07016	0.40325	0.12257	0.25201
V293	0.01823	0.12123	0.75129	0.0233	0.08594
V294	0	0.10324	0.02666	0.30534	0.56476
V295	0.0181	0.03826	0.30193	0.48548	0.15623
V296	0.8911	0.02864	0	0.00025	0.08002
V297	0.02722	0.04217	0.72346	0.10921	0.09793
V298	0.32148	0	0	0.51029	0.16823
V299	0.28288	0	0	0.59046	0.12666
V300	0.93944	0	0	0	0.06056
V301	0.93224	0	0	0.00277	0.06499
V302	0.0034	0.05183	0.00603	0.54771	0.39103
V303	0.15092	0.18468	0.19887	0.22946	0.23607
V304	0.22862	0.03627	0.67446	0	0.06065
V305	0.2827	0.29064	0.07564	0.13691	0.21411
V306	0.42183	0.491	0	0	0.08717
V307	0.27667	0	0.22895	0.39579	0.09859
V308	0.28163	0.01318	0.59742	0.04265	0.06512
V309	0.7192	0.02037	0.02588	0.11359	0.12095
V310	0.0289	0.10684	0.01177	0.34272	0.50976
V311	0.01496	0	0.01969	0.79298	0.17237
V312	0.13539	0.26613	0.24778	0.08125	0.26945
V313	0.10588	0.28573	0	0.3515	0.25689
V314	0.09603	0.04537	0	0.50167	0.35693
V315	0.93456	0	0	0	0.06544
V316	0.19046	0.46811	0.22541	0	0.11601
V317	0.45077	0.04804	0.44864	0	0.05255
V318	0.90866	0	0	0	0.09134
V319	0.13106	0.06336	0.74602	0	0.05957
V320	0.07969	0	0	0.75825	0.16207
V321	0.19751	0.27972	0.27181	0.14829	0.10268
V322	0.04101	0.24711	0.54379	0.03853	0.12956
V323	0.32024	0.17878	0.39712	0	0.10386
V324	0.05088	0.02732	0.01739	0.74263	0.16177
V325	0.69998	0.05176	0.05816	0.09286	0.09723
V326	0.05386	0.08687	0.05905	0.34304	0.45718
V327	0.42536	0.38206	0.08752	0	0.10506
V328	0.08808	0.24799	0.13822	0.3963	0.12941
V329	0.01006	0.05218	0.35815	0.45809	0.12151
V330	0.10246	0.04731	0.76883	0	0.0814
V331	0.16722	0.07977	0.08854	0.26572	0.39875
V332	0.53348	0.01623	0.39537	0	0.05493
