Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V112	0	0.11662	0	0	0	0.12318	0.471	0.03445	0.1083	0.14645
V113	0.02949	0.04699	0.0281	0.00257	0.00204	0.04896	0.01522	0.02782	0.71114	0.08767
V114	0.03326	0.05587	0.02436	0.00942	0	0	0.00359	0.00167	0.87182	0
V115	0.01518	0.70963	0.02276	0	0.24136	0	0.01107	0	0	0
V116	0.44014	0.04662	0	0	0	0	0	0.51324	0	0
V117	0	0.12377	0	0	0	0.16545	0.61088	0.04166	0.05825	0
V118	0.01765	0.00144	0	0	0	0.88515	0.06076	0.03087	0.00124	0.00291
V119	0.00606	0.04834	0.00151	0.6255	0	0.20131	0.02876	0.01252	0.07599	0
V120	0.71729	0	0.18731	0	0	0.09539	0	0	0	0
V121	0.06584	0.13541	0.27352	0	0.00583	0.19281	0.24119	0.04108	0.01706	0.02727
V122	0.02569	0.06848	0.12228	0	0	0.07495	0.09448	0.0011	0.61302	0
V123	0.03614	0	0.00752	0.01566	0.41093	0	0	0.52976	0	0
V124	0.70434	0.00893	0	0	0	0	0	0.28673	0	0
V125	0.02969	0.11579	0.09671	0.02899	0.02405	0.09215	0	0.61264	0	0
V126	0.02225	0.04505	0.02621	0	0.84624	0	0	0.06025	0	0
V127	0.05803	0.02631	0.59312	0	0	0.03839	0.15145	0.00649	0.12622	0
V128	0.04912	0.10774	0.43176	0	0.37178	0.0396	0	0	0	0
V129	0.02991	0.08835	0.05534	0.24764	0.08831	0.01111	0.00174	0	0.4776	0
V130	0.05341	0	0.43725	0	0	0	0	0.50934	0	0
V131	0.06682	0.32638	0.49333	0.00764	0.08642	0.00654	0.00292	0.00304	0.00692	0
V132	0.11143	0.10634	0	0	0.00272	0.12365	0.46725	0.15906	0.02954	0
V133	0.01396	0.01887	0	0.22237	0	0.10464	0.02009	0.62007	0	0
V134	0.03591	0.05494	0.27304	0.00822	0.31985	0.03167	0.11986	0.01781	0.00965	0.12906
V135	0.03295	0.18059	0.17356	0	0.03535	0	0.00863	0	0.56893	0
V136	0.00898	0.49895	0.03319	0.16897	0.1929	0	0	0	0	0.09701
V137	0.00433	0.08574	0.00102	0	0	0.43698	0.34774	0.03145	0.09274	0
V138	0.01585	0.1315	0.01372	0	0.00425	0.10866	0.42281	0.03185	0.0828	0.18856
V139	0.62375	0.01645	0	0	0.04865	0.08239	0	0	0.22877	0
V140	0.05025	0.02306	0.31443	0.52198	0.00558	0.06628	0.00884	0.00957	0	0
V141	0.01361	0.03817	0.00128	0.86719	0	0.04681	0.00664	0.01388	0	0.01243
V142	0	0.09853	0.00176	0.25312	0	0.12814	0.44536	0.03688	0.03589	0.00031
V143	0.01351	0.67579	0.02573	0.04532	0.23622	0.00212	0.00028	0.00103	0	0
V144	0	0.07144	0	0	0	0.45698	0.38727	0.05729	0.02703	0
V145	0.04417	0.08651	0.00107	0.60038	0	0.0249	0	0.24297	0	0
V146	0.0551	0	0.5551	0	0.01617	0.00881	0.01727	0.17445	0	0.1731
V147	0.01852	0.03413	0.03826	0.00681	0.18416	0	0	0.02323	0.57794	0.11696
V148	0.03017	0.06466	0.0109	0.00705	0	0.04686	0.02683	0	0.81352	0
V149	0.00822	0.03729	0	0.66963	0	0.00998	0	0.13965	0.13523	0
V150	0.0775	0.01182	0.05343	0	0.27427	0	0	0.01055	0.02225	0.55019
V151	0.00915	0.0096	0.09353	0	0.14444	0.07192	0	0.00408	0	0.66728
V152	0.02654	0	0	0.02711	0	0	0	0.87486	0	0.07149
V153	0.02232	0	0.01963	0	0.84992	0	0	0.10812	0	0
V154	0.10073	0.0011	0.62268	0.24619	0	0.02348	0	0.00582	0	0
V155	0.06473	0	0	0.0228	0	0.06009	0	0.65601	0.19637	0
V156	0.12422	0.02113	0.17589	0	0	0.4909	0.03605	0.06339	0.08842	0
V157	0.01298	0.33944	0.03016	0.0374	0.34963	0.22323	0.00696	2e-04	0	0
V158	0.2964	0.45674	0.00073	0	0.2029	0	0	0.04322	0	0
V159	0.05414	0.01478	0.30133	0	0.41651	0.01434	0	0.11609	0	0.08282
