Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V219	1	0	0	0	0	0
V220	0.09096	0.00195	0	0.90709	0	0
V221	0.01202	0.85025	0.00536	0.13237	0	0
V222	0.04398	0.28038	0.00324	0.22857	0.38294	0.06088
V223	0	0.27385	0.27618	0.00258	0	0.44739
V224	0	0	0.45247	0	0.54753	0
V225	0.01952	0	0	0	0	0.98048
V226	0.31513	0.04309	0.1977	0.37956	0.06452	0
V227	0.72848	0	0	0.27152	0	0
V228	0.10774	0.21384	0.51927	0.08517	0	0.074
V229	0.20098	0.00509	0.37585	0.33472	0.08336	0
V230	0	0.1503	0.7975	0.00573	0	0.04647
V231	0.03475	0.01153	0	0.95372	0	0
V232	0.34646	0	0	0.33996	0	0.31357
V233	0.90913	0	0	0.08788	0.00298	0
V234	0.53181	0	0	0.01153	0.45665	0
V235	0.07463	0	0	0.92537	0	0
V236	0.00043	0	0.17686	0.01736	0.53365	0.27171
V237	0	0	0.8567	0.1433	0	0
V238	0.76481	0	0.00528	0.12062	0.00549	0.10381
V239	0.61517	0.01959	0.08481	0.18631	0.09412	0
V240	0	0.22216	0	0.16614	0.6117	0
V241	0.62713	0.11825	0	0.24529	0.00934	0
V242	0.25672	0.03382	6e-04	0.2432	0.03352	0.43215
V243	0	0.38574	0.5368	0.07165	0	0.00581
V244	0.10794	0.00953	0	0	0.5673	0.31523
V245	0.85852	0.00454	0	0	0	0.13693
V246	0	0.04443	0.22918	0.49645	0.22995	0
V247	0.20728	0.05427	0	0.22709	0	0.51136
V248	0.30663	0.0178	0	0.29667	0.3789	0
V249	0.23658	0.13497	0.39773	0.11072	0	0.12
V250	0	0.00836	0	0.99164	0	0
V251	0	0.59434	0.13463	0.27103	0	0
V252	0	0.00774	0.02258	0.96968	0	0
V253	0	0.03917	0	0.51418	0.05793	0.38872
V254	0	0.25109	0.04807	0.29136	0.31247	0.09701
V255	0.46195	0.30866	0.04395	0.10612	0.02624	0.05308
V256	0	0.98583	0	0.01417	0	0
V257	0	0.45982	0	0.039	0.40644	0.09474
V258	0	0.19297	0.11534	0.68504	0	0.00665
